month,code,numerator,denominator
2018-06-01,00Q,122400.0,370400.0
2022-01-01,00Q,114000.0,414400.0
2022-07-01,00Q,116800.0,460800.0
2018-01-01,00Q,92725.0,362725.0
2022-09-01,00Q,134400.0,502400.0
2021-05-01,00Q,91200.0,276400.0
2020-04-01,00Q,84400.0,268500.0
2021-11-01,00Q,162000.0,408000.0
2019-05-01,00Q,78800.0,348400.0
2022-10-01,00Q,129600.0,444400.0
2019-10-01,00Q,98000.0,358000.0
2022-05-01,00Q,122000.0,426400.0
2022-06-01,00Q,114400.0,461200.0
2021-03-01,00Q,74400.0,294400.0
2021-10-01,00Q,112000.0,378400.0
2018-02-01,00Q,101270.0,332470.0
2019-01-01,00Q,102000.0,385200.0
2019-07-01,00Q,76800.0,272800.0
2022-12-01,00Q,118800.0,457200.0
2019-11-01,00Q,109600.0,348000.0
2019-02-01,00Q,76000.0,284000.0
2019-12-01,00Q,99200.0,328800.0
2021-02-01,00Q,75200.0,271200.0
2018-07-01,00Q,124800.0,369600.0
2018-11-01,00Q,120400.0,367600.0
2018-04-01,00Q,106400.0,361600.0
2019-06-01,00Q,45200.0,300400.0
2020-08-01,00Q,50800.0,206800.0
2020-12-01,00Q,70800.0,237200.0
2020-05-01,00Q,75230.0,247230.0
2023-01-01,00Q,121600.0,471200.0
2020-03-01,00Q,133600.0,356000.0
2021-08-01,00Q,92800.0,296000.0
2020-06-01,00Q,60800.0,234400.0
2020-07-01,00Q,80000.0,282800.0
2021-12-01,00Q,113200.0,414400.0
2018-03-01,00Q,107780.0,337780.0
2021-04-01,00Q,100400.0,280000.0
2021-06-01,00Q,89200.0,311600.0
2022-11-01,00Q,140800.0,457200.0
2019-03-01,00Q,56400.0,329600.0
2019-09-01,00Q,86800.0,289200.0
2020-11-01,00Q,75600.0,217200.0
2018-05-01,00Q,110120.0,336520.0
2018-10-01,00Q,138000.0,378400.0
2020-09-01,00Q,78000.0,255600.0
2022-08-01,00Q,136400.0,464800.0
2020-01-01,00Q,104000.0,344000.0
2019-04-01,00Q,83200.0,344800.0
2021-07-01,00Q,109200.0,310400.0
2021-09-01,00Q,111200.0,366400.0
2018-12-01,00Q,101200.0,332400.0
2020-02-01,00Q,78400.0,255200.0
2020-10-01,00Q,60400.0,217200.0
2021-01-01,00Q,56400.0,198400.0
2022-03-01,00Q,132000.0,430400.0
2019-08-01,00Q,63600.0,293600.0
2022-04-01,00Q,122400.0,397600.0
2018-08-01,00Q,143200.0,372000.0
2018-09-01,00Q,151675.0,392075.0
2022-02-01,00Q,85600.0,328400.0
2019-03-01,00R,100800.0,304500.0
2019-02-01,00R,121600.0,312800.0
2020-01-01,00R,183600.0,372800.0
2020-05-01,00R,173200.0,355200.0
2018-10-01,00R,125600.0,308900.0
