month,code,numerator,denominator
2022-10-01,07G,16679.399999963996,185.094
2021-10-01,07G,18912.533333287,183.822
2021-11-01,07G,19347.866666613005,183.918
2021-09-01,07G,19904.388000005,183.811
2022-01-01,07G,18693.599999954997,184.224
2022-08-01,07G,18310.599999955004,184.88000000000002
2023-01-01,07G,17510.733333367,185.61099999999996
2020-10-01,07G,21439.333333273004,182.19
2020-09-01,07G,21469.466666636,182.15300000000002
2022-03-01,07G,19018.166666656,184.35999999999999
2020-12-01,07G,21690.099999906,182.44299999999998
2022-02-01,07G,17872.333333268,184.316
2021-08-01,07G,18946.466666553,183.60999999999996
2022-09-01,07G,17717.566666627998,184.99400000000003
2020-08-01,07G,19766.666666736,182.05100000000004
2021-04-01,07G,20522.633333273003,182.624
2021-03-01,07G,21473.333333221995,182.37900000000005
2022-07-01,07G,17201.866666599,184.829
2020-11-01,07G,20720.666666674006,182.264
2022-04-01,07G,17782.533333176998,184.541
2022-06-01,07G,17443.333333334995,184.60899999999998
2021-12-01,07G,20093.999999972,184.10100000000006
2022-05-01,07G,18388.033333247,184.563
2021-02-01,07G,19933.599999822,182.34999999999997
2022-12-01,07G,17189.466666694003,185.48199999999997
2021-06-01,07G,19723.966666633,183.24300000000002
2019-03-01,72Q,260178.1233329841,1989.705000000001
2018-04-01,72Q,267876.4466663892,1959.323
2019-04-01,72Q,252123.68666718676,1992.1729999999993
2018-11-01,72Q,264969.97000027605,1979.2379999999985
2019-08-01,72Q,258391.806666982,2004.8150000000005
2019-11-01,72Q,245829.72333319395,2013.7119999999998
2018-05-01,72Q,283920.3766665429,1961.38
2021-05-01,72Q,213661.4933333412,2020.919000000001
2019-09-01,72Q,242824.43399964806,2007.731999999999
2018-10-01,72Q,284653.8199994289,1975.6750000000002
2019-05-01,72Q,268344.9300000872,1995.4739999999993
2018-12-01,72Q,259603.21666603597,1982.9700000000014
2018-08-01,72Q,276040.19666605996,1971.3159999999996
2020-03-01,72Q,250451.30999997814,2023.9550000000008
2020-04-01,72Q,247027.82666677568,2024.5179999999991
2020-07-01,72Q,246166.62000028804,2022.1239999999998
2018-09-01,72Q,253095.81666724998,1974.9450000000002
2018-07-01,72Q,269884.3166671919,1967.0009999999986
2019-02-01,72Q,244997.13666670115,1986.9569999999999
2019-07-01,72Q,259957.08666705678,2001.0510000000008
2020-06-01,72Q,241296.12666686391,2021.6350000000004
2020-01-01,72Q,253831.6566664758,2018.389000000001
2020-02-01,72Q,229697.39666677208,2021.338
2018-02-01,72Q,260499.55333345314,1957.0059999999994
2018-01-01,72Q,291541.63933328993,1953.9859999999999
2018-03-01,72Q,283300.05666710215,1957.9460000000013
2021-07-01,72Q,224998.89306653093,2030.7189999999994
2019-12-01,72Q,250321.95999989394,2017.0930000000005
2019-10-01,72Q,262152.5666667829,2010.1509999999996
2021-01-01,72Q,232935.57999971803,2016.1310000000008
2020-05-01,72Q,234665.27666665005,2022.0510000000006
2018-06-01,72Q,266291.22000015894,1964.1589999999997
2019-01-01,72Q,276795.7233328531,1984.0109999999997
2019-06-01,72Q,246995.35399985913,1997.9399999999998
2022-11-01,A3A8R,233136.51000043598,2386.2150000000006
2019-11-01,01X,107474.446671229,198.36899999999994
2023-01-01,01X,95991.10001464402,200.53400000000002
2020-08-01,01X,101284.170005004,198.615
2022-03-01,01X,105059.95667615603,200.31600000000006
2019-06-01,01X,106765.780004611,198.00600000000003
2020-01-01,01X,113952.42000535897,198.30100000000002
2022-02-01,01X,95595.45667212902,200.19399999999996
2022-08-01,01X,100611.66668195403,200.62100000000004
2021-02-01,01X,101516.95667135002,199.085
2019-01-01,01X,118457.69000449797,197.98600000000005
2020-03-01,01X,115410.85667246704,198.388
2022-09-01,01X,97674.12334825401,200.636
2021-06-01,01X,102097.66667262101,199.67
2022-06-01,01X,97769.53334866802,200.49299999999997
2021-10-01,01X,99237.02333895401,200.083
2018-05-01,01X,117960.16667071903,197.56600000000006
2018-09-01,01X,108044.28000433203,197.91699999999997
2021-03-01,01X,107922.56667220398,199.142
2021-12-01,01X,108075.833339482,200.11599999999999
2021-11-01,01X,101210.333339691,200.05200000000005
2019-02-01,01X,108112.52000339898,198.04000000000005
2020-05-01,01X,107040.28000499199,198.394
2020-07-01,01X,113774.81333940197,198.55300000000005
2020-11-01,01X,108622.74667211401,198.83999999999997
2022-04-01,01X,97946.40001169103,200.34899999999996
2018-01-01,01X,120426.66667017598,197.42500000000004
2021-09-01,01X,103889.333339633,200.107
2022-05-01,01X,101417.09001567704,200.37200000000004
2022-12-01,01X,103968.40001538603,200.58399999999997
2018-07-01,01X,117918.59000400899,197.71800000000005
2019-05-01,01X,119446.36000416997,198.04100000000003
2022-11-01,01X,93440.93334821901,200.651
2018-03-01,01X,125590.933337074,197.454
2018-11-01,01X,118190.42333753301,197.88899999999995
2019-07-01,01X,109309.42333766402,198.07400000000004
2020-04-01,01X,113168.72667228397,198.52500000000003
2020-10-01,01X,108592.59333956301,198.79100000000005
2018-06-01,01X,112600.63333715999,197.68000000000004
2021-07-01,01X,106455.66667278201,199.87700000000004
2018-04-01,01X,111139.766670376,197.52499999999998
2022-01-01,01X,97242.633339943,200.08600000000004
2018-10-01,01X,120823.516671392,197.82999999999998
2019-03-01,01X,114375.54333753897,197.96600000000007
2020-12-01,01X,111579.90000601004,198.91400000000004
2020-06-01,01X,111351.01333932902,198.42800000000003
2018-02-01,01X,104002.033336325,197.35700000000006
2021-04-01,01X,104838.50000674797,199.421
2020-02-01,01X,105124.04667127402,198.41000000000005
2019-04-01,01X,113126.18000461803,198.01299999999998
2021-05-01,01X,98171.06667216198,199.53299999999996
2022-10-01,01X,96598.623348023,200.67899999999997
2018-12-01,01X,117602.54667078602,197.94300000000007
2019-12-01,01X,115511.31333767397,198.35300000000007
2019-09-01,01X,109089.31333820599,198.31900000000005
2020-09-01,01X,110921.36667245202,198.653
2021-01-01,01X,103311.66667220303,198.97499999999997
2019-08-01,01X,117524.126672417,198.21400000000003
2019-10-01,01X,119459.20667193602,198.37300000000002
2018-08-01,01X,116560.356670026,197.82000000000002
2021-08-01,01X,99398.490005351,200.04700000000003
2022-07-01,01X,96095.39001558899,200.56600000000003
2022-05-01,01H,41922.60000025399,329.33200000000016
2020-12-01,01H,49765.399999853,326.23699999999997
2021-06-01,01H,44651.333333297,327.514
2022-01-01,01H,42735.700000051984,329.0159999999999
2022-07-01,01H,39889.133333819,329.97299999999996
2020-01-01,01H,53940.46666646301,326.2
2020-10-01,01H,49117.623333311,326.25699999999995
2020-02-01,01H,47794.799999725015,326.296
2022-11-01,01H,40825.033333609004,331.29299999999995
2022-12-01,01H,40595.566667060004,331.4529999999999
2021-02-01,01H,43276.20000000601,326.54699999999997
2019-12-01,01H,52135.199999834,326.22200000000004
2020-11-01,01H,46300.966666707005,326.27700000000004
2021-12-01,01H,47740.50000004601,328.6980000000001
2019-09-01,01H,50487.166666461,326.20500000000004
2021-04-01,01H,45346.666666727,327.11100000000005
2022-02-01,01H,39623.466666819004,329.11000000000007
2019-02-01,01H,51309.133333281,325.17099999999994
2020-06-01,01H,48436.56666651702,326.0519999999999
2020-08-01,01H,45853.09999991,326.29099999999994
2020-03-01,01H,51176.93333332,326.35400000000004
2020-07-01,01H,50413.63333312899,326.1780000000001
2022-03-01,01H,44726.43333361201,329.142
2021-09-01,01H,44525.866666663984,328.3589999999999
2021-03-01,01H,47908.233333169985,326.623
2020-09-01,01H,49766.366666667,326.281
2021-08-01,01H,43853.266666614,328.03200000000004
2022-04-01,01H,41615.333333542,329.17100000000005
2019-10-01,01H,53584.09999990301,326.156
2020-04-01,01H,52366.33333315501,326.3419999999999
2021-05-01,01H,43310.36666674299,327.20300000000003
2023-01-01,03Q,44862.30000054399,369.673
2022-10-01,03Q,44641.070000363,366.559
2021-07-01,10Q,106559.30999979199,782.639
2022-09-01,10Q,98923.21999981401,797.55
2018-04-01,10Q,131423.749999442,743.7809999999998
2019-04-01,10Q,122452.66999964499,759.02
2018-02-01,10Q,124193.85666679898,743.1980000000002
2022-08-01,10Q,101738.61666642298,797.4539999999998
2021-11-01,10Q,100671.24999964397,790.6890000000001
2022-06-01,10Q,97887.21666665199,796.2599999999999
2019-08-01,15A,94714.816333519,551.5380000000001
2018-03-01,15A,99580.9000003,543.4310000000002
2018-01-01,15F,170558.680000248,878.7759999999998
2018-08-01,15F,157514.95666635313,878.709
2018-10-01,15F,159006.7233333401,885.897
2020-05-01,15F,135619.55666659304,894.5799999999999
2021-01-01,15F,132795.793333039,897.1960000000003
2018-05-01,15F,157481.05666659804,879.8
2018-09-01,15F,146275.95666700287,879.0409999999998
2018-07-01,15F,154129.090000162,878.97
2019-06-01,15F,138390.45666682097,888.3770000000002
2019-03-01,15F,147779.24666683108,889.8139999999997
2018-12-01,15F,150283.27999983705,888.8460000000001
2019-01-01,15F,156730.636666834,888.4689999999996
2019-11-01,15F,141340.84666711194,895.9300000000003
2018-06-01,15F,154044.39999973896,879.6560000000001
2018-11-01,15F,151022.35000007306,888.7070000000003
2021-10-01,15F,118606.69333333403,903.2970000000003
2019-05-01,15F,152462.98999973203,889.0840000000001
2019-07-01,W2U3Z,411347.1466665645,2536.9699999999993
2020-03-01,01D,43118.870000467985,238.32699999999997
2021-06-01,01D,38087.72666753901,240.25500000000002
2020-07-01,01D,41744.873333843985,238.52800000000008
2019-07-01,01E,37961.733333717995,210.86100000000002
2019-06-01,01E,36506.833333507995,210.83800000000002
2020-12-01,01E,37834.300000051,215.70600000000002
2022-08-01,01E,32619.166666574998,222.22999999999996
2020-08-01,01E,33656.46666676101,214.16599999999997
2019-02-01,01E,36122.46666684299,210.97400000000002
2022-04-01,02X,47566.01999975099,328.25500000000005
2022-06-01,02X,47012.226666725,328.79000000000013
2022-02-01,02X,46420.939999706,327.809
2022-07-01,02X,46093.06666637001,329.03400000000005
2021-10-01,02X,48972.74333297701,327.1160000000001
2021-01-01,02X,53083.85666606599,325.78999999999996
