"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02Y",1,2,2,2,2,2,-1.54250713901352,-0.00524480709589873,0.516666666666667,295.644294070264,203.093865729453,92.5504283408113,0.313046556950682
"2","ratio_quantity.03F",2,14,14,14,14,14,-3.72696321238895,-0.0150047093463388,0.515052234394447,281.699208366771,165.921802860837,115.777405505934,0.41099655968927
"3","ratio_quantity.03H",1,11,11,11,11,11,-1.42283259674405,-0.00579690047774601,0.509803921568628,246.86996459534,174.305502161394,72.5644624339466,0.293937995061049
"4","ratio_quantity.03K",1,2,2,2,2,2,-1.58290035434008,-0.00572403813526683,0.516666666666667,278.118506325857,183.144485065452,94.9740212604051,0.341487600070486
"5","ratio_quantity.03L",1,4,4,4,4,4,-1.51637562590567,-0.00504604196060064,0.517241379310345,302.024305949413,214.074519646884,87.9497863025289,0.291201021143179
"6","ratio_quantity.03N",1,2,2,2,2,2,-1.16841253343594,-0.00463063037345211,0.516666666666667,253.490977541987,183.386225535831,70.1047520061566,0.27655718829103
"7","ratio_quantity.03Q",3,11,11,11,11,11,-1.20905205928567,-0.00761477330278265,0.503803954377303,160.773516321771,117.576282798583,43.1972335231884,0.268683764039431
"8","ratio_quantity.03R",1,2,2,2,2,2,-1.71390037155179,-0.00536637702324398,0.516666666666667,321.09145512184,218.257432828733,102.834022293108,0.320263964215698
"9","ratio_quantity.03W",1,2,2,2,2,2,-0.577641696031722,-0.0023034358623126,0.516666666666667,251.351585734475,216.693083972572,34.6585017619033,0.137888534343747
"10","ratio_quantity.04C",1,2,2,2,2,2,-1.16142835280988,-0.00415303235615111,0.516666666666667,280.819339298211,211.133638129618,69.6857011685926,0.248151360738696
"11","ratio_quantity.04V",1,2,2,2,2,2,-0.647064968280128,-0.00222887087792707,0.516666666666667,290.957721672593,252.133823575786,38.8238980968077,0.133434843638538
"12","ratio_quantity.04Y",5,2,2,2,2,2,-3.19187350516574,-0.0088843339409683,0.501164990296388,362.754206294225,216.26933197091,146.484874323315,0.403813027613809
"13","ratio_quantity.05D",1,2,2,2,2,2,-1.31911612555836,-0.00538645969835048,0.516666666666667,246.213944905643,167.066977372141,79.1469675335019,0.321456071725887
"14","ratio_quantity.05G",1,18,18,18,18,18,-1.87004815367938,-0.00553031486821644,0.522727272727273,340.015017878067,257.732899116174,82.2821187618926,0.241995542653942
"15","ratio_quantity.05Q",1,14,14,14,14,14,-1.07631767750768,-0.00469179324403306,0.520833333333333,230.480645942936,178.817397422567,51.6632485203685,0.224154389662548
