month,code,numerator,denominator
2022-06-01,00Q,489,7839
2020-11-01,00Q,565,6540
2021-01-01,00Q,507,6520
2021-07-01,00Q,550,7427
2023-07-01,00Q,455,7563
2024-02-01,00Q,460,8969
2024-12-01,00Q,435,8821
2022-10-01,00Q,497,8715
2022-12-01,00Q,516,14096
2022-01-01,00Q,467,8037
2022-09-01,00Q,512,7574
2024-09-01,00Q,412,6919
2020-07-01,00Q,565,6512
2022-03-01,00Q,513,8718
2022-05-01,00Q,475,7948
2020-04-01,00Q,561,6732
2024-07-01,00Q,410,7490
2020-12-01,00Q,592,7010
2019-12-01,00Q,489,9113
2022-11-01,00Q,544,10795
2023-05-01,00Q,495,7990
2023-01-01,00Q,548,10886
2023-12-01,00Q,478,9403
2021-03-01,00Q,594,6812
2021-09-01,00Q,549,8194
2024-08-01,00Q,431,6945
2023-06-01,00Q,481,7914
2024-05-01,00Q,464,7813
2024-04-01,00Q,431,8077
2020-02-01,00Q,480,7416
2022-02-01,00Q,451,7362
2023-09-01,00Q,466,7452
2024-11-01,00Q,423,7899
2024-03-01,00Q,415,8920
2020-08-01,00Q,476,5612
2023-08-01,00Q,509,7435
2023-02-01,00Q,416,8600
2023-04-01,00Q,432,7563
2024-10-01,00Q,447,8046
2024-06-01,00Q,426,7260
2020-01-01,00Q,570,8918
2020-05-01,00Q,540,5993
2021-06-01,00Q,528,7460
2023-03-01,00Q,491,9790
2021-10-01,00Q,525,9525
2020-06-01,00Q,565,5981
2020-10-01,00Q,597,7109
2022-08-01,00Q,538,7509
2023-11-01,00Q,503,9833
2020-09-01,00Q,515,6946
2021-08-01,00Q,506,6721
2021-11-01,00Q,539,9254
2022-07-01,00Q,471,8212
2023-10-01,00Q,497,9554
2021-04-01,00Q,477,6281
2020-03-01,00Q,537,8307
2022-04-01,00Q,502,8040
2021-02-01,00Q,526,5696
2021-05-01,00Q,472,6526
2021-12-01,00Q,516,9177
2024-01-01,00Q,527,10749
2022-07-01,00R,705,8879
2021-04-01,00R,612,7093
2023-04-01,00R,649,8724
2023-05-01,00R,734,9094
2020-01-01,00R,720,10765
2024-03-01,00R,710,9719
2021-02-01,00R,587,6672
2021-01-01,00R,637,7248
2022-02-01,00R,629,7551
2022-10-01,00R,668,9650
2023-12-01,00R,734,10420
2020-09-01,00R,667,8098
2021-06-01,00R,779,8290
2024-07-01,00R,684,8612
2021-08-01,00R,661,7666
2023-01-01,00R,797,11512
2024-12-01,00R,783,9483
2022-12-01,00R,796,13974
2020-02-01,00R,598,8529
2021-03-01,00R,681,7524
2023-03-01,00R,825,10873
2022-09-01,00R,686,8526
2023-10-01,00R,761,9598
2024-06-01,00R,627,8008
2019-12-01,00R,640,10241
2021-07-01,00R,721,8391
2024-08-01,00R,710,7489
2024-10-01,00R,728,9143
2024-11-01,00R,676,8939
2020-04-01,00R,728,8167
2022-04-01,00R,692,8447
2023-06-01,00R,764,8841
2020-08-01,00R,673,6860
2023-02-01,00R,739,9704
2024-09-01,00R,696,8054
2020-05-01,00R,650,6666
2020-12-01,00R,683,7717
2022-08-01,00R,683,8202
2020-11-01,00R,669,7545
2021-10-01,00R,708,10256
2020-03-01,00R,620,9143
2023-08-01,00R,778,9011
2021-09-01,00R,755,9656
2022-06-01,00R,652,8408
2023-09-01,00R,707,8644
2023-11-01,00R,757,10140
2021-12-01,00R,716,9920
2024-01-01,00R,761,11315
2020-10-01,00R,660,8063
2024-04-01,00R,663,9414
2023-07-01,00R,774,8966
2022-11-01,00R,736,10338
2021-05-01,00R,648,7655
2022-03-01,00R,727,9654
2024-02-01,00R,667,10258
2020-07-01,00R,689,7304
2022-05-01,00R,713,9565
2024-05-01,00R,678,8808
2020-06-01,00R,670,6883
2021-11-01,00R,737,10472
2022-01-01,00R,685,8713
2020-09-01,00X,686,7180
2021-01-01,00X,654,6677
2021-04-01,00X,647,6523
2021-09-01,00X,749,8522
2021-03-01,00X,740,6943
2024-05-01,00X,634,8433
2021-08-01,00X,679,7054
2020-05-01,00X,661,6503
2023-08-01,00X,618,8070
2022-10-01,00X,691,9188
2024-06-01,00X,592,7530
2021-06-01,00X,710,7545
2022-01-01,00X,716,8290
2022-09-01,00X,638,7879
2022-12-01,00X,788,14268
2021-10-01,00X,755,9191
2024-01-01,00X,712,11361
2024-04-01,00X,622,9081
2022-06-01,00X,663,8162
2020-01-01,00X,814,10397
2022-07-01,00X,623,8303
2024-11-01,00X,613,8770
2020-11-01,00X,731,6803
2020-02-01,00X,674,8526
2020-04-01,00X,725,7374
2021-11-01,00X,804,9770
2023-05-01,00X,666,8011
2022-05-01,00X,674,8305
2020-07-01,00X,704,6773
2023-01-01,00X,760,11185
2021-12-01,00X,788,9843
2023-02-01,00X,689,9199
2021-02-01,00X,652,5989
2024-08-01,00X,608,7016
2024-10-01,00X,620,9086
2023-04-01,00X,677,7943
2020-03-01,00X,740,9162
2023-10-01,00X,704,9187
2020-10-01,00X,700,7186
2022-11-01,00X,692,9587
2023-03-01,00X,757,10077
2024-02-01,00X,594,9843
2024-03-01,00X,629,9422
2020-08-01,00X,623,6085
2023-09-01,00X,638,7711
2023-11-01,00X,626,9729
2019-12-01,00X,811,11334
2024-09-01,00X,612,7566
2024-07-01,00X,608,8170
2020-06-01,00X,633,6379
2021-05-01,00X,632,6853
2023-06-01,00X,623,7910
2022-04-01,00X,658,8112
2022-08-01,00X,702,7957
2023-12-01,00X,662,10345
2020-12-01,00X,777,7288
2021-07-01,00X,691,7520
2022-03-01,00X,787,9114
2023-07-01,00X,652,7878
2024-12-01,00X,668,9932
2022-02-01,00X,697,7398
2020-12-01,01A,967,13897
2019-12-01,01A,1017,19594
2024-08-01,01A,832,13703
2024-05-01,01A,903,16679
2020-01-01,01A,1067,19845
2020-02-01,01A,973,15893
2020-09-01,01A,869,14066
2021-05-01,01A,882,13778
2021-08-01,01A,933,13148
2023-06-01,01A,950,16262
2024-11-01,01A,923,15965
2022-06-01,01A,910,15971
2024-09-01,01A,863,14688
2022-02-01,01A,849,14853
2022-04-01,01A,894,15979
2023-08-01,01A,987,15877
2024-06-01,01A,907,15348
2020-07-01,01A,958,13216
2023-05-01,01A,937,16100
2023-11-01,01A,946,19156
2020-05-01,01A,984,12310
2021-07-01,01A,955,14895
2024-12-01,01A,950,17874
2023-01-01,01A,1016,20363
2020-04-01,01A,1067,14691
2021-09-01,01A,1035,16898
2022-09-01,01A,903,15456
2023-02-01,01A,897,16585
2021-02-01,01A,877,11877
2021-10-01,01A,971,18721
2022-08-01,01A,916,15020
2022-11-01,01A,1030,20436
2021-01-01,01A,898,13087
2021-11-01,01A,1057,19509
2020-06-01,01A,983,12624
2022-03-01,01A,947,17546
2023-07-01,01A,952,15647
2022-10-01,01A,993,18398
2023-03-01,01A,1005,18520
2020-03-01,01A,1028,18167
2024-02-01,01A,921,18673
2020-10-01,01A,958,13968
2024-07-01,01A,956,16107
2022-07-01,01A,885,16308
2020-11-01,01A,942,13543
2023-10-01,01A,999,19068
2024-04-01,01A,873,17554
2020-08-01,01A,827,11865
2023-09-01,01A,942,16062
2024-03-01,01A,807,18006
2024-01-01,01A,991,20474
2024-10-01,01A,957,16853
2022-01-01,01A,960,16320
2022-12-01,01A,1013,27004
2023-04-01,01A,854,15054
2023-12-01,01A,902,18889
2022-05-01,01A,922,16800
2021-03-01,01A,973,13909
2021-04-01,01A,947,13014
2021-06-01,01A,939,15189
2021-12-01,01A,894,18607
2021-12-01,01E,1026,12119
2023-03-01,01E,1057,13264
2020-05-01,01E,797,7314
2020-02-01,01E,787,9992
2021-04-01,01E,811,8176
2021-07-01,01E,853,9200
2022-08-01,01E,884,9658
2022-10-01,01E,842,11493
2024-06-01,01E,762,9394
2021-09-01,01E,908,10666
2022-05-01,01E,887,10388
2023-09-01,01E,844,9963
2022-06-01,01E,812,9964
2023-07-01,01E,842,9794
2021-08-01,01E,855,8584
2021-10-01,01E,981,11500
2023-01-01,01E,1071,14661
2023-12-01,01E,916,13000
2024-12-01,01E,848,12787
2024-10-01,01E,894,11257
2020-01-01,01E,926,12113
2020-03-01,01E,861,10426
2021-03-01,01E,853,8286
2022-01-01,01E,857,10032
2021-05-01,01E,815,8218
2023-05-01,01E,878,10250
2021-11-01,01E,1030,12237
2020-12-01,01E,933,8564
2024-08-01,01E,841,8914
2022-12-01,01E,1095,17007
2022-03-01,01E,912,11282
2022-11-01,01E,951,12568
2023-08-01,01E,851,9739
2024-09-01,01E,783,9237
2024-01-01,01E,1006,14733
2024-04-01,01E,850,11622
2022-09-01,01E,831,9663
2020-06-01,01E,792,7508
2020-09-01,01E,841,8786
2020-10-01,01E,846,8706
2020-08-01,01E,780,7341
2023-02-01,01E,944,12028
2024-11-01,01E,823,11566
2023-11-01,01E,880,12629
2023-06-01,01E,853,10083
2024-03-01,01E,932,12511
2020-04-01,01E,897,8749
2021-01-01,01E,883,8168
2019-12-01,01E,929,12281
2023-04-01,01E,851,9956
2023-10-01,01E,882,11887
2022-02-01,01E,779,9132
2022-04-01,01E,820,9828
2022-07-01,01E,858,10577
2024-07-01,01E,871,10000
2020-11-01,01E,880,8392
2021-02-01,01E,721,7355
2021-06-01,01E,847,9224
2024-05-01,01E,889,11211
2020-07-01,01E,863,7761
2024-02-01,01E,933,12871
2020-08-01,01K,1301,11956
2020-05-01,01K,1404,12067
2020-06-01,01K,1469,12412
2021-10-01,01K,1553,16380
2022-11-01,01K,1489,17367
2023-09-01,01K,1456,14212
2020-07-01,01K,1489,12962
2024-02-01,01K,1401,16877
2021-11-01,01K,1668,16879
2023-03-01,01K,1660,18875
2024-03-01,01K,1408,16628
2020-11-01,01K,1494,13142
2023-01-01,01K,1807,20818
2024-08-01,01K,1304,12852
2021-05-01,01K,1356,12119
2021-03-01,01K,1564,13359
2022-09-01,01K,1541,14793
2021-07-01,01K,1495,13506
2023-12-01,01K,1428,17666
2020-02-01,01K,1303,15050
2023-10-01,01K,1585,16171
2023-11-01,01K,1449,17015
2024-10-01,01K,1329,15402
2020-04-01,01K,1638,14493
2021-04-01,01K,1382,12136
2021-06-01,01K,1474,13365
2021-02-01,01K,1397,11751
2023-08-01,01K,1570,14881
2024-01-01,01K,1549,18926
2023-07-01,01K,1450,14433
2021-09-01,01K,1549,15370
2022-02-01,01K,1363,13453
2022-04-01,01K,1440,14187
2020-03-01,01K,1471,16779
2023-05-01,01K,1459,15411
2024-05-01,01K,1393,14963
2019-12-01,01K,1541,17717
2020-10-01,01K,1583,14293
2022-05-01,01K,1631,15131
2022-12-01,01K,1859,25340
2022-08-01,01K,1444,15044
2023-02-01,01K,1563,17133
2024-12-01,01K,1403,16979
2022-07-01,01K,1398,15349
2024-07-01,01K,1420,14372
2020-01-01,01K,1556,18114
2020-09-01,01K,1488,13834
2022-06-01,01K,1450,14630
2021-12-01,01K,1781,17311
2022-10-01,01K,1503,16428
2023-04-01,01K,1385,14452
2020-12-01,01K,1657,13754
2021-01-01,01K,1482,12647
2022-01-01,01K,1521,14562
2022-03-01,01K,1679,16218
2024-09-01,01K,1246,13477
2024-11-01,01K,1375,15056
2021-08-01,01K,1424,13082
2024-04-01,01K,1403,15815
2024-06-01,01K,1246,13612
2023-06-01,01K,1444,14823
2020-06-01,02G,390,3776
2023-05-01,02G,430,4488
2023-07-01,02G,441,4471
2023-10-01,02G,448,5210
2022-07-01,02G,414,4495
2024-03-01,02G,407,5255
2020-03-01,02G,441,5462
2023-11-01,02G,445,5474
2022-06-01,02G,342,4119
2023-06-01,02G,423,4559
2020-02-01,02G,351,4517
