name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,3,18,18,18,18,18,0.455207519157954,0.854018040552009,0.522369324664351,0.0778111028652094,7.920667639385691,-7.84285653652048,-100.793540352545
00N,4,16,16,16,16,40,0.202642292962549,3.7255032007526405,0.502243497275119,0.0189287189896311,8.89536110559751,-8.876432386607881,-468.939942077974
00P,6,15,15,18,18,18,0.22511292205020603,6.72576121645162,0.524818081797136,0.0113066320032352,7.73213931183073,-7.72083267982749,-682.858757375171
00Q,5,14,14,14,14,17,0.159025748655168,2.19173506401378,0.502184545496468,0.039375666305084,6.689402537317231,-6.650026871012139,-168.88671342060601
00R,3,17,17,17,17,47,0.29508521418742895,0.162948296396909,0.5109542297305201,1.6250164731440702,8.65384828842266,-7.02883181527858,-4.32539111537696
00T,3,16,16,16,16,47,0.179102321477388,3.0837156404658197,0.527486144938659,0.0318279995033206,4.7853793955784205,-4.7535513960751,-149.351246394834
00V,1,7,7,7,7,7,0.117944355649915,0.399736063067542,0.509090909090909,0.177111223636126,6.66405078438147,-6.48693956074535,-36.62636069904129
00X,4,17,17,17,17,17,0.447240438276878,0.517131603554954,0.515721665394516,0.0942867537799427,8.76641492459759,-8.67212817081765,-91.97610293231291
00Y,4,4,4,4,4,37,0.0898173898525464,0.46823678846390704,0.508980867660364,0.12704748932285,4.538676469868349,-4.4116289805455,-34.7242515697008
01A,3,17,17,17,17,17,0.265378169181411,0.222560631169784,0.513564655307055,0.0214738367440459,7.25580028453749,-7.234326447793451,-336.890260181349
01D,1,10,10,10,10,10,0.0996930351443269,0.42984150561391293,0.5192307692307689,0.132236719991679,5.316274547496679,-5.1840378275050005,-39.202710320032295
01E,2,17,17,17,17,17,0.19551485932451199,0.345883924377684,0.5144686084822461,0.007231566988535841,6.847818941645929,-6.84058737465739,-945.934316241796
01F,5,6,6,6,6,35,0.145744475298039,0.159765837572923,0.5141959584488389,0.7519151530526801,7.60322127510521,-6.85130612205253,-9.11180748816817
01G,4,16,16,16,16,46,0.16286314015132503,0.24137498049794298,0.508531046349178,0.40538477003327705,5.529575831972769,-5.124191061939491,-12.6403146855242
01H,2,18,18,18,18,18,0.351000583917614,0.433374305589128,0.508258580562144,0.0116184586407593,8.29875254372163,-8.28713408508087,-713.2731062972839
01J,5,7,7,7,7,35,0.14379259229772598,0.871611273117765,0.511403591343807,0.0304381989448213,7.6220939044452205,-7.5916557055004,-249.412119267064
01K,2,16,16,16,16,16,0.424016733683637,0.0938595062661067,0.501839074099049,4.415185074134509,7.58906623928729,-3.1738811651527796,-0.718855747122886
01T,5,7,7,7,7,36,0.164947766831083,1.3436009637817201,0.509868598090068,0.000694179258687626,8.41196318792702,-8.411269008668329,-12116.8544052586
01V,2,7,7,7,7,7,0.30695966601206703,0.7107208898135,0.508726677398997,0.0688284123302789,8.5162629878881,-8.44743457555783,-122.731794756824
01W,4,9,9,9,9,46,0.235888542339099,0.810161353094324,0.507570461798021,0.144921258650314,7.580769010814179,-7.435847752163871,-51.309571980092294
01X,6,8,8,8,8,8,0.18995579290342499,0.113648892982182,0.5030557189518831,1.4599790692891201,6.77671562766716,-5.31673655837804,-3.64165258955858
01Y,4,15,15,15,15,32,0.17328909794798902,0.228285141489642,0.519658545951908,0.37054846481740206,7.039893145007699,-6.669344680190299,-17.9985759311587
02A,2,3,3,3,3,3,0.139046902095471,0.475895190973198,0.511893779621021,0.125427696640679,6.91623604551403,-6.790808348873349,-54.1412186522681
02E,5,7,7,7,7,35,0.1332788011684,0.595185160979229,0.5171230820649559,0.0769939017867942,7.03573884346934,-6.95874494168255,-90.38046884482081
02G,6,15,15,15,15,15,0.17828739236778302,0.3898733838639671,0.500545319164542,0.12561609481574698,7.60552869488278,-7.479912600067039,-59.5458138627742
02H,1,2,2,2,2,2,0.125670422053877,0.176798027690362,0.516666666666667,0.5851430620986271,8.125368385331269,-7.54022532323264,-12.8861227478105
02M,1,17,17,17,17,17,0.17336587329303302,0.7648046997488199,0.5111111111111111,0.053314053425474996,7.854778351611969,-7.801464298186491,-146.33035376107298
02P,2,17,17,17,17,17,0.16109717992386902,0.441049988758181,0.513870569882555,0.164984284473462,6.434935877953009,-6.26995159347955,-38.0033262773466
02Q,3,17,17,17,17,25,0.15264889506467902,1.20862683446017,0.515940150973485,0.0530813835420304,5.3786605344955705,-5.325579150953541,-100.32856710934601
02T,3,18,18,18,18,47,0.22843345584695604,1.25814211757317,0.532517874065315,0.0350435729700231,6.04060420785142,-6.0055606348814,-171.374095901084
02X,2,20,20,20,20,20,0.29165661733676196,0.9167754558041221,0.518347126350184,0.0264764822028022,5.6531425233631305,-5.6266660411603295,-212.515620393287
02Y,6,14,14,14,14,20,0.257329834404537,16.6915912701186,0.517362547511058,0.0114528514336609,7.96965811828205,-7.958205266848379,-694.866716201218
03F,3,21,21,21,21,21,0.25222449964938504,0.189754489267488,0.501639277227677,0.0147817820391014,7.05398934689795,-7.039207564858849,-476.20831820131104
03H,3,19,19,19,19,32,0.14714015526039,0.34739868498867793,0.5017348436847701,0.0459236170900714,5.91117922420654,-5.865255607116469,-127.717631553559
03K,2,19,19,19,19,19,0.193562203873972,0.353884828322348,0.5119549525514739,0.0554289001636899,7.617117791317071,-7.56168889115338,-136.421413176566
03L,4,15,15,15,15,45,0.18215026205630802,0.279565067541589,0.502659915697684,0.32592933876706204,6.48626629473712,-6.16033695597006,-18.9008359274241
03N,3,17,17,17,17,43,0.18887675523209602,0.37675493833849394,0.507150006524236,0.206135225362859,7.28226320178699,-7.0761279764241305,-34.3276020096421
03Q,2,19,19,19,19,19,0.226375053588985,0.26077862101854504,0.500230147251535,0.0529726630277201,7.74618334246649,-7.69321067943877,-145.229826852635
03R,6,14,14,18,18,18,0.214194999645691,0.55115159367262,0.5137122755732,0.00545682396893733,7.093695059883701,-7.088238235914769,-1298.9677285292998
