month,code,numerator,denominator
2022-02-01,00Q,10757.277189999997,10449
2022-07-01,00Q,15392.549669999999,10454
2021-08-01,00Q,10305.9964,10585
2019-02-01,00Q,10608.991539999999,11157
2022-06-01,00Q,14954.519009999998,10409
2021-05-01,00Q,9837.28818,10607
2020-08-01,00Q,6608.69054,10838
2019-12-01,00Q,12270.886559999997,11014
2021-10-01,00Q,12954.408270000002,10560
2023-01-01,00Q,15326.023959999999,10422
2019-07-01,00Q,9961.658190000002,11153
2021-02-01,00Q,9195.98248,10684
2023-06-01,00Q,15020.286900000003,10366
2022-04-01,00Q,13734.462290000001,10438
2023-11-01,00Q,16687.729629999998,10362
2019-04-01,00Q,12042.811399999999,11153
2019-06-01,00Q,9334.51962,11181
2020-09-01,00Q,8890.022369999999,10774
2022-01-01,00Q,13886.76166,10490
2022-09-01,00Q,16042.313959999998,10420
2019-03-01,00Q,10751.838029999999,11155
2022-12-01,00Q,14849.77717,10455
2023-08-01,00Q,14355.103219999999,10335
2021-01-01,00Q,6547.084190000001,10695
2019-10-01,00Q,13013.213850000004,11067
2020-04-01,00Q,10191.72186,10944
2021-11-01,00Q,15191.31983,10527
2019-05-01,00Q,12003.703370000003,11158
2023-10-01,00Q,13775.629250000002,10347
2021-07-01,00Q,11148.69073,10607
2022-03-01,00Q,14993.509390000003,10436
2023-09-01,00Q,15546.602309999997,10349
2020-03-01,00Q,14270.82564,10991
2020-05-01,00Q,8747.97018,10936
2020-11-01,00Q,7894.194430000001,10711
2021-04-01,00Q,10116.49452,10629
2023-05-01,00Q,13734.42745,10381
2020-07-01,00Q,9587.771700000001,10891
2019-09-01,00Q,10915.7434,11134
2020-02-01,00Q,9535.98483,11000
2023-02-01,00Q,13331.0914,10369
2022-08-01,00Q,16289.950770000001,10412
2022-10-01,00Q,14836.901399999999,10430
2023-03-01,00Q,15867.393989999999,10395
2023-04-01,00Q,14263.773700000002,10424
2019-11-01,00Q,13266.839730000002,11030
2019-08-01,00Q,9901.434229999999,11141
2022-05-01,00Q,14560.3181,10450
2022-11-01,00Q,15531.54422,10413
2023-12-01,00Q,16441.322280000004,10381
2021-06-01,00Q,10277.739950000003,10589
2020-12-01,00Q,8269.81671,10693
2023-07-01,00Q,12661.99777,10346
2024-01-01,00Q,16970.55608,10361
2019-01-01,00Q,14453.73246,11139
2020-01-01,00Q,12870.147240000002,10994
2020-06-01,00Q,7538.348989999999,10904
2020-10-01,00Q,7228.112230000002,10709
2021-09-01,00Q,12320.692050000001,10561
2021-03-01,00Q,9426.442780000001,10644
2021-12-01,00Q,13864.55976,10554
2019-10-01,00R,14220.823680000001,8958
2022-08-01,00R,13630.28668,8434
2019-12-01,00R,16616.480519999997,8891
2021-12-01,00R,18198.38587,8410
2019-06-01,00R,12627.85709,9025
2022-05-01,00R,16774.914090000002,8507
2021-11-01,00R,17582.014570000003,8448
2019-08-01,00R,13914.36772,8971
2022-01-01,00R,15453.32583,8425
2022-03-01,00R,17642.381019999997,8507
2020-04-01,00R,17201.81104,8817
2022-06-01,00R,13400.408890000002,8455
2023-12-01,00R,17656.058780000003,8282
2022-02-01,00R,13948.300589999999,8496
2021-07-01,00R,18951.75319,8490
2019-09-01,00R,12127.56572,8952
2021-08-01,00R,14425.70213,8453
2023-07-01,00R,18093.84328,8397
2020-06-01,00R,14923.576310000002,8729
2020-11-01,00R,15321.982179999999,8699
2023-11-01,00R,15755.08482,8294
2019-01-01,00R,13164.191330000001,9037
2021-09-01,00R,19879.68006,8449
2023-02-01,00R,16757.497760000002,8395
2023-01-01,00R,18330.809380000002,8403
2023-05-01,00R,18069.48485,8395
2020-07-01,00R,17961.82227,8741
2024-01-01,00R,18022.113279999998,8235
2020-03-01,00R,21098.555920000003,8832
2020-10-01,00R,18977.89885,8696
2021-02-01,00R,17549.55108,8611
2023-06-01,00R,18185.405960000004,8395
2020-09-01,00R,16564.984539999998,8713
2022-07-01,00R,15113.84318,8502
2021-10-01,00R,18883.696679999997,8418
2019-05-01,00R,13237.965899999997,9024
2021-01-01,00R,17899.44075,8612
2021-03-01,00R,19307.923890000002,8578
2020-08-01,00R,14908.574729999998,8736
2019-03-01,00R,11402.375409999999,9092
2020-02-01,00R,16948.901700000002,8849
2022-09-01,00R,14012.21584,8434
2019-11-01,00R,13450.886299999998,8928
2021-04-01,00R,19499.00472,8555
2023-09-01,00R,17634.60239,8331
2023-08-01,00R,16809.8281,8365
2020-12-01,00R,20813.652100000003,8640
2023-04-01,00R,17501.69241,8431
2022-12-01,00R,18059.53235,8419
2021-06-01,00R,17900.77756,8520
2023-10-01,00R,15787.091900000001,8291
2019-07-01,00R,12059.056690000001,8988
2020-05-01,00R,14556.367949999998,8788
2023-03-01,00R,19602.09025,8402
2022-04-01,00R,14144.535859999998,8525
2019-04-01,00R,14081.66036,9058
2019-02-01,00R,12752.160980000002,9065
2022-11-01,00R,17829.13824,8416
2021-05-01,00R,17300.64249,8539
2022-10-01,00R,15711.091209999999,8433
2020-01-01,00R,16615.492400000003,8837
2019-01-01,00X,19463.192469999998,9980
2019-05-01,00X,19572.0045,9901
2019-07-01,00X,19067.06951,9848
2021-08-01,00X,18612.676319999995,9238
2023-06-01,00X,21589.446570000007,8923
2019-09-01,00X,19140.682839999998,9908
2020-04-01,00X,19637.12608,9673
2023-04-01,00X,20557.601950000004,8967
2023-12-01,00X,21018.87799,8885
2019-11-01,00X,19857.33455,9854
2023-10-01,00X,18274.37006,8895
2020-07-01,00X,16556.56706,9608
2021-03-01,00X,19708.038829999998,9359
2021-04-01,00X,18705.055709999997,9368
2024-01-01,00X,21234.52581,8856
2020-06-01,00X,14641.017420000002,9602
2019-06-01,00X,18772.07613,9861
2019-10-01,00X,19164.653420000002,9870
2020-03-01,00X,26825.511669999996,9733
2021-06-01,00X,19317.820749999995,9279
2020-05-01,00X,15602.45101,9661
2021-02-01,00X,16326.402999999998,9406
2022-10-01,00X,21322.51655,9017
2023-01-01,00X,22477.67274000001,8973
2023-05-01,00X,22132.58333,8947
2019-02-01,00X,19561.21295,10013
2021-10-01,00X,18441.27321,9233
2023-03-01,00X,24307.100500000008,8964
2019-08-01,00X,20079.88145,9869
2022-08-01,00X,21828.710159999995,9003
2019-04-01,00X,18856.00892,9941
2023-02-01,00X,22445.77125,9015
2023-11-01,00X,20446.378260000005,8882
2020-02-01,00X,19729.803650000005,9779
2020-10-01,00X,13363.962669999995,9451
2020-11-01,00X,14569.487509999999,9419
2023-07-01,00X,18483.71453,8918
2022-01-01,00X,21540.58156,9132
2022-06-01,00X,19137.066420000003,9061
2022-07-01,00X,20393.09192,9025
2019-12-01,00X,24558.063960000003,9836
2021-09-01,00X,17774.840640000002,9224
2022-02-01,00X,20874.577779999996,9124
2019-03-01,00X,17576.386619999997,9978
2020-08-01,00X,12853.2922,9584
2022-04-01,00X,20841.34069,9058
2021-11-01,00X,22254.84278,9209
2022-11-01,00X,22240.532450000002,8992
2021-07-01,00X,20503.436370000007,9259
2022-03-01,00X,21945.562289999998,9103
2022-09-01,00X,23091.31622,9004
2021-05-01,00X,18008.249119999997,9359
2020-09-01,00X,13615.62916,9519
2020-01-01,00X,26334.26262,9776
2020-12-01,00X,18114.55689,9409
2021-01-01,00X,17392.90475,9388
2021-12-01,00X,24304.511109999996,9172
2022-05-01,00X,21777.86081,9075
2023-09-01,00X,19182.1581,8894
2023-08-01,00X,19624.346129999998,8897
2022-12-01,00X,23359.792069999992,8976
2019-01-01,01A,29768.020680000005,22364
2019-07-01,01A,29154.44850000001,22455
2020-12-01,01A,22144.126350000002,21962
2019-06-01,01A,27855.58065,22473
2019-09-01,01A,26850.951279999997,22463
2022-07-01,01A,32635.319429999992,21268
2020-10-01,01A,21775.654049999994,22037
2020-05-01,01A,25464.36314,22303
2019-03-01,01A,32304.77328000001,22411
2022-03-01,01A,35952.30707999999,21305
2020-04-01,01A,26255.3287,22303
2023-03-01,01A,42195.273909999996,21036
2020-11-01,01A,20844.576680000002,22010
2023-09-01,01A,34791.83997,21074
2022-12-01,01A,35925.82193,21062
2020-06-01,01A,21751.201530000006,22206
2021-01-01,01A,20837.974519999996,21838
2023-07-01,01A,38874.88007000001,21039
2023-08-01,01A,36405.67718999998,21064
2019-05-01,01A,31533.388189999994,22455
2022-02-01,01A,30089.33842000001,21363
2019-08-01,01A,28698.047949999996,22468
2022-04-01,01A,28166.03765,21300
2021-04-01,01A,27071.25883,21713
2021-10-01,01A,30464.728730000003,21465
2023-06-01,01A,39623.01318999998,21067
2021-12-01,01A,35332.20404,21474
2022-08-01,01A,31870.146470000003,21173
2022-11-01,01A,35074.125980000004,21097
2023-11-01,01A,37600.14273000001,21088
2021-03-01,01A,24649.76987,21738
2023-10-01,01A,34284.84014,21065
2023-12-01,01A,41365.448280000004,21132
2020-01-01,01A,28586.756110000002,22312
2021-06-01,01A,27115.090889999985,21598
2021-07-01,01A,25948.709159999995,21589
2024-01-01,01A,43885.69827999999,21109
2021-09-01,01A,26620.999439999992,21511
2023-04-01,01A,37017.674069999994,21060
2019-02-01,01A,28160.851329999998,22441
2019-12-01,01A,31265.10322,22370
2019-10-01,01A,31721.513980000007,22407
2020-03-01,01A,30692.635710000006,22322
2019-04-01,01A,31842.78735999999,22427
2022-05-01,01A,32465.185530000013,21224
2020-02-01,01A,24743.378049999992,22323
2019-11-01,01A,27226.45676,22399
2020-08-01,01A,19840.5889,22144
2021-02-01,01A,21219.26602,21817
2023-01-01,01A,37094.31918,21016
2023-02-01,01A,33482.78995,21068
2021-11-01,01A,28341.259349999997,21462
2022-01-01,01A,31756.445000000007,21443
2021-05-01,01A,24884.877680000005,21705
2023-05-01,01A,42477.70596,21073
2022-06-01,01A,29481.613789999992,21228
2020-07-01,01A,22338.246169999995,22197
2022-09-01,01A,35527.57678,21100
2022-10-01,01A,34910.40557,21156
2020-09-01,01A,23832.592019999993,22051
2021-08-01,01A,26315.852369999997,21562
2019-02-01,01E,16299.353720000003,11808
2022-01-01,01E,21893.260970000003,11454
2022-02-01,01E,24145.288429999997,11455
2023-03-01,01E,30567.336479999998,11592
2024-01-01,01E,28789.493500000004,11669
2021-07-01,01E,20936.164360000002,11486
2023-02-01,01E,26332.355620000006,11578
2019-12-01,01E,16968.753399999998,11691
2020-07-01,01E,15410.64977,11558
2022-03-01,01E,25495.464509999994,11425
2022-12-01,01E,23351.34185,11493
2023-09-01,01E,29015.11821,11688
2019-08-01,01E,21183.37839,11763
2020-03-01,01E,19848.46109,11704
2020-02-01,01E,15214.393509999996,11726
2021-01-01,01E,21667.798120000003,11525
2023-07-01,01E,27622.521419999997,11685
2019-03-01,01E,18882.828110000002,11788
2020-05-01,01E,12802.40454,11657
2021-05-01,01E,18353.323239999998,11499
2022-05-01,01E,24439.33812,11471
2022-10-01,01E,20590.031479999998,11472
2019-06-01,01E,18951.188690000003,11746
2019-09-01,01E,17053.17467,11698
2023-11-01,01E,28801.401389999995,11722
2019-11-01,01E,17588.84634,11702
2020-09-01,01E,16821.046029999998,11494
2020-12-01,01E,21244.99625,11531
2021-02-01,01E,16646.327429999998,11502
2022-07-01,01E,23755.837999999996,11481
2021-08-01,01E,21433.152539999995,11446
2021-09-01,01E,23753.43036,11437
2020-06-01,01E,16505.65776,11600
2021-04-01,01E,22780.06224,11516
2021-11-01,01E,25112.701999999997,11385
