"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.01K",2,29,29,34,34,34,0.0393987098426418,0.021440640568829,0.555295235467598,1.944682787595,2.51229017661883,-0.567607389023827,-0.291876594293196
"2","ratio_quantity.01T",3,17,17,30,30,17,0.0843497792350885,0.0433217736725876,0.508838265002741,1.86270298625364,3.35462697336123,-1.49192398710759,-0.800945721415424
"3","ratio_quantity.01V",1,30,30,30,30,30,0.0336690991046468,0.0133911785091374,0.53125,2.48060543481132,3.55801660616001,-1.0774111713487,-0.43433395582746
"4","ratio_quantity.01W",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.01X",4,15,15,15,15,47,0.0785578088956843,0.025504884273171,0.527952978304384,2.99282593520985,4.48079573789922,-1.48796980268938,-0.497178865360589
"6","ratio_quantity.01Y",1,38,38,38,38,38,0.0251478076645215,0.0191140969482394,0.541666666666667,1.29052029492077,1.89406767886928,-0.603547383948515,-0.467677560999202
"7","ratio_quantity.02A",1,39,39,39,39,39,0.0264351159274002,0.0236297363363423,0.521739130434783,1.09228730869582,1.70029497502602,-0.608007666330205,-0.55663712421612
"8","ratio_quantity.02E",1,48,48,48,48,48,0.0551587974866121,0.0305745799838127,0.571428571428571,1.74891496299727,2.52113812780984,-0.77222316481257,-0.441544146599984
"9","ratio_quantity.02G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.02H",6,11,11,17,17,16,0.326822871365216,0.202901007439725,0.749543081290562,1.69056556810616,2.12659503662249,-0.43602946851633,-0.257919288516439
"11","ratio_quantity.02M",1,30,30,30,30,30,0.0192425908528528,0.0123966886192719,0.53125,1.53299377192376,2.14875667921505,-0.61576290729129,-0.401673456584607
"12","ratio_quantity.02P",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.02Q",4,2,2,2,2,2,0.0624276868047073,0.0554683406144899,0.536370691267745,1.06303750853231,2.6924845113135,-1.62944700278119,-1.53282173931086
"14","ratio_quantity.02T",2,28,28,31,31,31,0.0307815456656509,0.0265093276500826,0.519633707566278,1.30152399865623,1.83465706326891,-0.533133064612679,-0.409622154614988
"15","ratio_quantity.02X",2,29,29,36,36,36,0.05581174668174,0.029800932764081,0.52833349730225,1.92920906859237,2.98558249497407,-1.05637342638169,-0.547568142602845
