"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.05V",4,2,2,2,2,9,-0.00613112874476668,-0.0599035456191726,0.522762007579225,0.108073286034826,0.00251825735471001,0.105555028680116,0.97669861399515
"2","ratio_quantity.05W",2,3,3,3,3,3,-0.0021028503806074,-0.0308323079762012,0.527344707126257,0.0703056713381091,0.0184666093764021,0.051839061961707,0.737338268379605
"3","ratio_quantity.06H",2,7,7,7,7,7,-0.000334484975514725,-0.0443614351580652,0.511141509724351,0.00787447943969096,0.00133059738058944,0.00654388205910152,0.831024083460981
"4","ratio_quantity.06K",17,2,2,2,2,9,-0.0166827508293894,-0.383135413903499,0.603081230338539,0.0284835842402012,0.000821057220375662,0.0276625270198256,0.971174371404536
"5","ratio_quantity.06L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ratio_quantity.06N",16,2,2,4,4,4,-0.0341035796060667,-2.19843610393525,0.910741329804976,0.0388172839391136,0.00137132811171192,0.0374459558274017,0.964672229157947
"7","ratio_quantity.06Q",2,4,4,4,4,4,-0.00213264902992599,-0.068905152112232,0.547852638827012,0.0330831507638508,0.00583395608725873,0.0272491946765921,0.823657784927989
"8","ratio_quantity.06T",2,26,26,26,26,26,-0.0166184771842739,-0.957627002002724,0.596363569167128,0.0339722873311464,0.00610593525420278,0.0278663520769436,0.820267172631478
"9","ratio_quantity.07G",1,3,3,3,3,3,-0.000685605303540109,-0.014299621842666,0.508474576271186,0.0486313000277501,0.00818058711888369,0.0404507129088664,0.831783499223429
"10","ratio_quantity.07H",1,4,4,4,4,4,-0.000223092265732729,-0.0118749325237002,0.517241379310345,0.0190099161308349,0.00607056471833667,0.0129393514124983,0.680663256136625
"11","ratio_quantity.07K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.09D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.10Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.10R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.11J",1,6,6,6,6,6,-0.000166324464639856,-0.0128263060021512,0.517857142857143,0.0131337731292796,0.00381960310944761,0.00931417001983195,0.709177014719979
