"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.26A",2,22,22,23,23,23,-0.000884341925833611,-0.011413493440162,0.506115761227558,0.0709497925872989,0.0429928074520821,0.0279569851352167,0.394038997377161
"2","ratio_quantity.27D",1,28,28,28,28,28,-0.00248415340432557,-0.015121780416529,0.529411764705882,0.166760669522113,0.0822994537750437,0.0844612157470692,0.506481630165615
"3","ratio_quantity.36J",1,42,42,42,42,42,-0.000525427012386173,-0.0289668942230999,0.55,0.0186643068087285,0.00815576656100504,0.0105085402477235,0.563028691899185
"4","ratio_quantity.36L",2,36,36,36,36,36,-0.00776807320251357,-0.0363889384147013,0.512404798074307,0.252620856923854,0.131340599881654,0.1212802570422,0.480088059707424
"5","ratio_quantity.42D",6,15,15,21,21,21,-0.00283584447776748,-0.060033996010988,0.517470064654204,0.045787776702434,0.0129065183866026,0.0328812583158314,0.718123059993071
"6","ratio_quantity.52R",3,3,3,3,3,3,-0.000552115789401263,-0.0174332369920124,0.515158088304954,0.0322224125710163,0.0172180455095367,0.0150043670614797,0.465650020103582
"7","ratio_quantity.70F",4,6,6,6,6,32,-0.00152449638253376,-0.0158908684878929,0.518712220310357,0.0975015075740517,0.0299044558267508,0.0675970517473008,0.693292374950832
"8","ratio_quantity.71E",3,12,12,12,12,25,-0.0177381178810551,-0.24581062268292,1.67013599463313,0.0702153218124445,0.0595945592290049,0.0106207625834396,0.151259900393381
"9","ratio_quantity.72Q",4,16,16,16,16,47,-0.00498750341865997,-0.0131020189079894,0.517696397073663,0.382195327246284,0.237684854114183,0.144510473132102,0.378106331579978
"10","ratio_quantity.78H",1,4,4,4,4,4,-0.000625879353835837,-0.00879593341615562,0.517241379310345,0.0717814150115154,0.0354804124890369,0.0363010025224785,0.505715894798884
"11","ratio_quantity.84H",3,4,4,4,4,13,-0.00131143538127182,-0.0203795393561434,0.512532946064482,0.0651783028929433,0.0165623603755044,0.0486159425174389,0.745891506216288
"12","ratio_quantity.91Q",2,24,24,30,30,30,-0.00194243031217122,-0.012473802119457,0.50890184414218,0.150450368514916,0.119915123504036,0.0305352450108793,0.202958924675894
"13","ratio_quantity.92A",3,15,15,15,15,28,-0.0106809414864547,-0.0668323874606258,0.500355945204012,0.161273995976825,0.0545405636189887,0.106733432357836,0.661814272731072
"14","ratio_quantity.92G",3,6,6,6,6,6,-0.00122661732549772,-0.0180535160681263,0.514831635648931,0.0694695710230978,0.0194358084261595,0.0500337625969383,0.720225587405782
"15","ratio_quantity.93C",1,30,30,30,30,30,-0.00457554156062116,-0.0122842826798757,0.53125,0.377046745607144,0.230629415667267,0.146417329939877,0.388326730427303
