month,code,numerator,denominator
2018-01-01,00L,105,9540
2018-03-01,00L,96,9664
2021-07-01,00L,49,10104
2018-05-01,00L,85,9262
2020-12-01,00L,55,10626
2021-05-01,00L,46,9591
2020-10-01,00L,50,10187
2021-01-01,00L,47,9783
2019-03-01,00L,68,9508
2021-03-01,00L,45,10241
2021-11-01,00L,40,10101
2020-06-01,00L,64,9916
2020-11-01,00L,53,9492
2020-02-01,01G,33,5267
2019-05-01,01W,47,6331
2019-02-01,11N,102,12420
2023-01-01,13T,45,15038
2020-01-01,13T,99,15196
2022-04-01,13T,60,15059
2022-06-01,13T,61,14957
2021-12-01,13T,59,16163
2018-09-01,13T,113,13331
2020-08-01,13T,89,14242
2019-07-01,13T,97,14165
2022-11-01,13T,44,15327
2022-12-01,13T,49,15671
2018-12-01,13T,104,14351
2019-01-01,13T,109,14792
2019-06-01,13T,111,14059
2021-06-01,13T,77,15312
2019-12-01,13T,111,14960
2022-05-01,13T,58,15278
2019-10-01,13T,103,15364
2021-02-01,13T,64,14127
2020-04-01,13T,110,15276
2018-10-01,13T,113,14988
2019-11-01,13T,94,14250
2022-10-01,13T,44,15075
2021-10-01,13T,63,14745
2022-07-01,13T,48,15077
2018-04-01,13T,156,13569
2019-04-01,13T,105,14486
2018-08-01,13T,115,14520
2022-09-01,13T,55,15088
2020-09-01,13T,86,15147
2021-04-01,13T,79,15028
2018-02-01,13T,142,12313
2019-09-01,13T,93,14752
2018-07-01,13T,124,13931
2021-08-01,13T,62,14945
2019-08-01,13T,99,15753
2021-09-01,13T,61,15084
2022-01-01,13T,65,14914
2022-08-01,13T,53,15582
2018-11-01,13T,114,14089
2018-06-01,13T,114,13704
2022-03-01,13T,55,16093
2020-07-01,99C,42,7133
2020-05-01,99C,47,6780
2022-02-01,99C,28,6539
2020-03-01,99C,35,7173
2022-05-01,02X,198,5378
2018-04-01,03H,387,3501
2022-01-01,03H,157,3764
2020-01-01,03H,249,3751
2022-02-01,03H,137,3607
2018-02-01,03H,344,3179
2021-04-01,03H,194,4019
2021-09-01,03H,166,3980
2022-12-01,03H,137,4233
2018-05-01,03H,344,3528
2018-09-01,03H,283,3472
2021-03-01,03H,182,3891
2019-05-01,03H,269,3777
2022-11-01,03H,152,4058
2018-12-01,03H,282,3658
2019-12-01,03H,249,3786
2019-09-01,03H,239,3564
2020-09-01,03H,219,3770
2021-01-01,03H,189,3702
2018-10-01,03H,272,3793
2019-03-01,03H,269,3551
2020-12-01,03H,223,4050
2019-08-01,03H,285,4146
2019-10-01,03H,250,3824
2019-11-01,03H,263,3766
2023-01-01,03H,145,4162
2020-05-01,03H,218,3529
2020-07-01,03H,220,3719
2020-11-01,03H,206,3691
2022-07-01,03H,153,3840
2021-10-01,03H,151,3722
2019-04-01,03H,257,3725
2021-05-01,03H,154,3665
2022-10-01,03H,140,3883
2018-01-01,03H,359,3477
2021-11-01,03H,164,4021
2020-08-01,03H,224,3661
2022-03-01,03H,176,4240
2022-06-01,03H,165,3939
2021-02-01,03H,168,3449
2019-07-01,03H,227,3436
2020-04-01,03H,246,3932
