month,code,numerator,denominator
2022-12-01,00N,165,5603
2023-01-01,00N,177,5547
2023-04-01,00N,220,5706
2023-09-01,00N,323,5972
2023-10-01,00N,343,5963
2024-01-01,00N,384,6263
2023-02-01,00N,205,5173
2023-08-01,00N,309,6157
2023-03-01,00N,199,5648
2023-05-01,00N,245,5860
2023-06-01,00N,228,5949
2023-11-01,00N,347,5969
2024-03-01,00N,415,6194
2024-05-01,00N,441,6399
2023-07-01,00N,234,5558
2022-04-01,02X,144,7957
2020-03-01,02X,96,7032
2021-03-01,02X,123,7798
2020-01-01,02X,94,6627
2021-09-01,02X,126,7672
2020-04-01,02X,97,7047
2022-11-01,02X,235,8461
2020-07-01,02X,104,7414
2022-02-01,02X,121,7441
2020-09-01,02X,94,7108
2021-04-01,02X,118,7497
2020-11-01,02X,105,7107
2021-08-01,02X,122,7458
2020-08-01,02X,97,6888
2022-07-01,02X,163,8047
2020-12-01,02X,111,7869
2021-05-01,02X,117,7343
2021-07-01,02X,122,7859
2022-01-01,02X,134,7710
2020-10-01,02X,113,7539
2020-06-01,02X,105,7089
2022-09-01,02X,188,8377
2022-03-01,02X,131,8203
2019-12-01,02X,90,6481
2020-02-01,02X,92,6193
2021-01-01,02X,108,7017
2021-06-01,02X,132,7762
2021-11-01,02X,141,7902
2021-12-01,02X,151,8534
2022-06-01,02X,159,7854
2020-05-01,02X,100,6758
2021-10-01,02X,123,7607
2021-02-01,02X,112,6948
2022-08-01,02X,185,8529
2022-05-01,02X,173,8176
2022-10-01,02X,226,8166
2024-08-01,03L,554,8096
2024-11-01,03L,547,8210
2024-02-01,03L,492,7492
2023-12-01,03L,466,7738
2024-07-01,03L,570,8590
2024-06-01,03L,532,7798
2024-10-01,03L,617,8584
2024-09-01,03L,634,8235
2024-12-01,03L,557,8509
2024-04-01,03L,509,8130
2024-08-01,00N,502,6521
2021-10-01,00N,138,4963
2022-11-01,00N,174,5908
2021-08-01,00N,119,4812
2022-06-01,00N,157,5270
2022-08-01,00N,145,5384
2022-10-01,00N,153,5205
2022-07-01,00N,140,5437
2021-12-01,00N,151,5398
2024-04-01,00N,464,6306
2024-09-01,00N,538,6370
2021-09-01,00N,126,5237
2024-10-01,00N,527,6769
2022-04-01,00N,144,5236
2024-06-01,00N,452,6120
2022-03-01,00N,147,5500
2021-11-01,00N,128,5235
2024-12-01,00N,541,6718
2022-05-01,00N,136,5257
2024-07-01,00N,494,6518
2022-02-01,00N,120,5000
2023-12-01,00N,392,6018
2024-02-01,00N,413,5983
2022-09-01,00N,158,5485
2021-04-01,00N,124,4728
2022-01-01,00N,125,5003
2024-11-01,00N,510,6529
2020-02-01,02Q,48,2707
2021-01-01,02Q,63,3039
2020-01-01,02Q,49,2857
2019-12-01,02Q,51,2839
2021-02-01,02Q,61,2942
2020-08-01,02Q,56,2654
2020-12-01,02Q,80,3396
2020-06-01,02Q,52,3076
2021-03-01,02Q,73,3393
2020-07-01,02Q,68,3242
2020-05-01,02Q,44,2724
2020-03-01,02Q,45,2971
2021-05-01,02Q,73,3090
2020-10-01,02Q,65,3116
2020-04-01,02Q,55,2981
2020-11-01,02Q,60,3000
2020-09-01,02Q,66,3364
2021-06-01,02T,134,5273
2022-12-01,02X,264,8747
2023-01-01,02X,299,8338
2023-02-01,02X,313,7767
2023-06-01,03L,415,7657
2023-03-01,03L,407,7627
2021-07-01,03L,175,6365
2023-07-01,03L,443,7446
2023-04-01,03L,366,6974
2023-11-01,03L,463,7726
2024-05-01,03L,569,8226
2023-08-01,03L,455,7687
2024-01-01,03L,525,8087
2024-03-01,03L,528,7639
2023-05-01,03L,398,7422
2023-09-01,03L,445,7617
2023-10-01,03L,514,7774
2020-12-01,00N,130,4833
2020-08-01,00N,108,4310
2020-09-01,00N,122,4622
2021-07-01,00N,136,4903
2021-01-01,00N,127,4649
2021-06-01,00N,133,5033
2020-04-01,00N,113,4429
2020-10-01,00N,109,4720
2021-05-01,00N,123,4509
2021-03-01,00N,122,5053
2020-02-01,00T,115,4502
2019-12-01,00T,126,4817
2020-06-01,00T,132,5326
2020-03-01,00T,138,5212
2020-07-01,00T,133,5168
2020-05-01,00T,128,5048
2021-02-01,01D,86,3086
2022-02-01,02Q,83,3241
2022-07-01,02Q,108,3381
2022-01-01,02Q,89,3341
2021-11-01,02Q,91,3410
2021-08-01,02Q,88,3330
2021-04-01,02Q,93,3307
2021-10-01,02T,150,5164
2023-08-01,02T,574,6561
2022-09-01,02T,202,5866
2020-11-01,02T,119,4653
2022-08-01,02T,200,5758
2023-05-01,02T,493,6080
2022-06-01,02T,161,5346
2022-05-01,02T,180,5810
2023-06-01,02T,535,6405
2022-03-01,02T,156,5658
2023-03-01,02X,495,9085
2023-04-01,02X,628,8287
2022-12-01,03L,336,7366
2023-01-01,03L,331,7101
2021-12-01,03L,190,6792
2023-02-01,03L,316,6545
2022-11-01,03L,304,7059
2022-10-01,03L,286,7034
2021-09-01,03L,165,6446
2022-04-01,03L,196,6617
2024-01-01,13T,1489,15990
2024-08-01,13T,1575,16390
2023-09-01,13T,1375,15267
2024-04-01,13T,1473,16000
2024-03-01,13T,1384,15452
2024-05-01,13T,1547,16386
2024-10-01,13T,1635,16975
2024-12-01,13T,1609,16855
2023-11-01,13T,1371,15390
2023-07-01,13T,1345,15091
2024-06-01,13T,1519,15314
2024-07-01,13T,1521,16745
2023-12-01,13T,1401,15359
2023-10-01,13T,1365,15355
2024-11-01,13T,1515,16503
2024-02-01,13T,1377,15340
2024-09-01,13T,1502,16042
2020-01-01,W2U3Z,802,31387
2020-07-01,00N,129,4744
2020-08-01,00T,141,5201
2020-01-01,00T,127,4939
2020-10-01,00T,152,5396
2020-04-01,00T,134,5198
2020-11-01,01D,91,3197
2022-06-01,02Q,121,3636
2021-12-01,02Q,107,3754
2022-11-01,02Q,171,3770
2023-01-01,02Q,208,3769
