"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00L",4,9,9,9,9,48,-0.00403421935160723,-0.00406573076600659,0.524343166324485,0.995499037369654,0.918560505303219,0.0769385320664348,0.0772863952432588
"2","ratio_quantity.00N",4,3,3,3,3,47,-0.000453486144363194,-0.000454543973068867,0.534132819297395,0.998034384941003,0.985299177667285,0.0127352072737185,0.0127602890901111
"3","ratio_quantity.00P",3,16,16,16,16,57,-0.0172235656795233,-0.0174746717573008,0.628072197471153,0.98589670788258,0.876205078487924,0.109691629394656,0.111260772571441
"4","ratio_quantity.00Q",2,16,16,16,16,47,-0.00432600499616524,-0.00447758764951972,0.515956409837535,0.968110115440041,0.842343531858084,0.125766583581957,0.129909378671032
"5","ratio_quantity.00R",3,14,14,14,14,14,-0.00630353517686432,-0.0069212201071349,0.506380177593935,0.917058442446201,0.730335044026,0.186723398420202,0.203611231059743
"6","ratio_quantity.00T",5,16,16,16,16,56,-0.0251048300959027,-0.0254003319531454,0.540948709961313,0.9887620468699,0.803126480069505,0.185635566800395,0.187745441269775
"7","ratio_quantity.00V",2,16,16,16,16,55,-0.00792002861332355,-0.00805195674847002,0.604302518868968,0.983874115717229,0.918343786403469,0.0655303293137595,0.0666043839012767
"8","ratio_quantity.00X",4,14,14,14,14,14,-0.00633876978949476,-0.0065310675207343,0.501485515678377,0.981554102681501,0.817234287478142,0.164319815203359,0.167407802335556
"9","ratio_quantity.00Y",4,16,16,16,16,47,-0.00205916688572864,-0.00207307750924188,0.504915445791869,0.993678783234757,0.956974614000059,0.036704169234698,0.0369376601915698
"10","ratio_quantity.01A",2,16,16,16,16,47,-0.00661570031605583,-0.00685051970713727,0.528614742390093,0.967365831940479,0.817183861165844,0.150181970774635,0.15524837224546
"11","ratio_quantity.01D",3,16,16,16,16,55,-0.0154647976911406,-0.0155793612682941,0.576877277149427,0.99297301509355,0.858934127589104,0.134038887504446,0.134987442223511
"12","ratio_quantity.01E",3,17,17,17,17,47,-0.00767508432203024,-0.0078112812194479,0.521385459773725,0.987447554591422,0.810800871915741,0.17664668267568,0.178892217469485
"13","ratio_quantity.01F",3,2,2,2,2,2,-0.00385011599911586,-0.0040481800480956,0.506859475419502,0.95492342631966,0.742234795242928,0.212688631076731,0.222728467241031
"14","ratio_quantity.01G",4,16,16,16,16,48,-0.00369611983991666,-0.00370923552935522,0.551820273520845,0.997094838567558,0.943510437743227,0.0535844008243316,0.0537405257270329
"15","ratio_quantity.01H",3,7,7,7,7,47,-0.00215356793712402,-0.00218727276352908,0.534507998684477,0.985947633659835,0.925511645542977,0.0604359881168577,0.061297361090588
"16","ratio_quantity.01J",3,2,2,2,2,47,-0.014087706266851,-0.0149987038476499,0.500994098760804,0.944726134752867,0.579172564517099,0.365553570235768,0.386941312183973
