month,code,numerator,denominator
2021-02-01,99C,3348,9489
2021-01-01,99C,3711,10387
2023-02-01,99C,3230,9315
2023-06-01,99C,3683,10571
2024-01-01,99C,3775,10713
2021-10-01,99C,3888,10208
2019-07-01,99C,3466,9777
2022-08-01,99C,3621,10077
2021-07-01,99C,3856,10500
2023-08-01,99C,3509,10062
2023-12-01,99C,3744,10700
2020-06-01,99C,3570,10365
2020-11-01,99C,3801,10624
2021-06-01,99C,3892,10524
2023-09-01,99C,3410,9890
2023-11-01,99C,3600,10256
2022-11-01,99C,3795,10090
2019-06-01,99C,3447,9782
2019-08-01,99C,3719,10996
2022-12-01,99C,3987,10468
2023-05-01,99C,3651,10122
2019-10-01,99C,3742,10836
2022-05-01,99C,4077,10567
2022-10-01,99C,3834,10165
2021-05-01,99C,3464,9747
2023-10-01,99C,3621,10456
2019-09-01,99C,3413,9884
2020-09-01,99C,3765,10395
2020-07-01,99C,3663,10638
2020-12-01,99C,3971,11101
2020-08-01,99C,3255,9470
2021-11-01,99C,4105,10563
2022-04-01,99C,3749,9766
2024-06-01,99C,3460,9846
2021-12-01,99C,4369,11343
2020-05-01,99C,3610,10292
2021-09-01,99C,4045,10720
2021-04-01,99C,3711,10344
2023-01-01,99C,3917,10759
2020-03-01,99C,5383,13821
2020-10-01,99C,3827,10930
2023-07-01,99C,3542,10223
2022-03-01,99C,4025,10675
2024-04-01,99C,3604,10304
2019-11-01,99C,3512,10091
2020-04-01,99C,4066,11197
2024-03-01,99C,3597,10144
2023-03-01,99C,3827,10666
2023-04-01,99C,3335,9529
2020-02-01,99C,3289,9721
2022-01-01,99C,3873,10041
2020-01-01,99C,3864,11219
2021-08-01,99C,3681,9932
2024-02-01,99C,3578,10273
2021-03-01,99C,3842,10741
2022-06-01,99C,3786,9885
2022-07-01,99C,3860,10025
2019-12-01,99C,3657,10555
2022-02-01,99C,3505,9377
2024-05-01,99C,3840,10897
2022-09-01,99C,3728,9963
2022-11-01,03H,6533,9834
2022-02-01,03H,6040,8959
2022-06-01,03H,6485,9690
2019-12-01,03H,6413,10052
2021-07-01,03H,6562,9867
2021-09-01,03H,6719,9994
2022-03-01,03H,6845,10204
2022-09-01,03H,6489,9733
2021-06-01,03H,6561,9951
2022-10-01,03H,6409,9542
2020-11-01,03H,6187,9429
2021-04-01,03H,6542,9995
2022-05-01,03H,6546,9762
2022-01-01,03H,6447,9559
2021-11-01,03H,6884,10256
2021-10-01,03H,6339,9353
2021-12-01,03H,7127,10560
2022-04-01,03H,6266,9354
2022-12-01,03H,7157,10705
2023-01-01,03H,6696,10204
2022-07-01,03H,6305,9474
2021-08-01,03H,6189,9266
2022-08-01,03H,6517,9842
2019-09-01,03H,5757,9190
2021-05-01,03H,6048,9226
2021-03-01,03H,6233,9511
2019-07-01,06H,24486,39275
2020-05-01,06H,26940,42195
2023-05-01,07G,5016,7776
2023-03-01,07G,5320,8325
2023-12-01,07G,5332,8187
2023-07-01,07G,5046,7790
2024-03-01,07G,4993,7672
2024-06-01,07G,5132,7761
2023-08-01,07G,5010,7808
2023-02-01,07G,4656,7216
2023-10-01,07G,5197,8122
2024-05-01,07G,5393,8225
2023-11-01,07G,5290,8141
2023-04-01,07G,4670,7267
2024-01-01,07G,5408,8391
2024-02-01,07G,4912,7477
2024-04-01,07G,5020,7789
2023-09-01,07G,5074,7865
2023-06-01,07G,5185,8067
2020-04-01,14Y,14865,22946
2021-02-01,78H,21257,32551
2020-12-01,78H,24737,37665
2020-09-01,78H,23792,36376
2020-03-01,78H,29624,44400
2020-08-01,78H,21240,33076
2019-06-01,78H,20768,33315
2019-11-01,78H,22339,35218
2020-07-01,78H,23676,36889
2020-01-01,78H,23594,36867
2020-06-01,78H,23424,36590
2020-10-01,78H,24241,36972
2019-10-01,78H,23149,36466
2020-02-01,78H,20912,32550
2021-01-01,78H,23615,35804
2019-08-01,78H,23233,37028
2021-09-01,00R,6471,13378
2021-12-01,01G,7204,14825
2022-04-01,01G,6559,13695
2021-05-01,01G,5928,12567
2021-11-01,01G,6880,14247
2023-02-01,01Y,5362,11396
2023-03-01,01Y,6316,13465
2019-09-01,02X,9127,21070
2021-04-01,02X,9776,20864
2019-06-01,02X,8633,20428
2019-11-01,02X,9265,21164
2021-01-01,02X,9797,20944
2019-07-01,02X,9368,21810
2019-08-01,02X,9466,22295
2023-10-01,11X,12999,27723
2023-12-01,11X,13346,28341
2024-06-01,11X,12507,26827
2024-04-01,11X,13283,28476
2024-05-01,11X,13324,28623
2024-01-01,15F,16003,34273
2024-03-01,15N,30175,64636
2021-06-01,16C,20258,42655
2022-03-01,16C,21190,44103
2022-09-01,16C,19914,41941
2023-08-01,16C,19262,41915
2022-06-01,16C,19881,41527
2023-11-01,16C,20460,43403
2022-07-01,16C,20050,41993
2022-08-01,16C,19788,42418
2021-08-01,16C,19402,40972
2024-02-01,16C,20222,42888
2021-03-01,16C,20199,43223
2022-05-01,16C,21147,43764
2023-06-01,16C,20210,43618
2021-07-01,16C,20293,42850
2022-02-01,16C,18397,38463
2021-10-01,16C,20668,42303
2023-01-01,16C,20702,43874
