"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.01K",2,19,19,19,19,19,0.00334875708979312,0.00559781478347792,0.653506625846911,0.594877018381923,0.615374176068447,-0.0204971576865242,-0.0344561263137662
"2","ratio_quantity.01T",2,8,8,8,8,8,0.00257723913635764,0.005683246756285,0.509985794069046,0.45070508044543,0.551776097180799,-0.101071016735369,-0.224250892924217
"3","ratio_quantity.01V",1,4,4,4,4,4,0.00118670603226957,0.00242399315540974,0.517241379310345,0.488379871175731,0.557208821047366,-0.068828949871635,-0.140933224184558
"4","ratio_quantity.01W",5,8,8,8,8,17,0.00279898815850008,0.00566940223712594,0.526610128113841,0.492108665658709,0.518684190976891,-0.026575525318182,-0.054003367899668
"5","ratio_quantity.01X",2,10,10,10,10,10,0.00390886087494916,0.00852110307568648,0.518962799808142,0.454818235867071,0.552735064189111,-0.0979168283220401,-0.21528782401473
"6","ratio_quantity.01Y",2,12,12,12,12,12,0.00322771360658034,0.00775962720268795,0.508837105244958,0.412734744675212,0.49519782854435,-0.0824630838691382,-0.199796806382341
"7","ratio_quantity.02A",3,8,8,8,8,8,0.0016805462683504,0.00367678609494036,0.519702912648099,0.455128309362865,0.513334319169837,-0.058206009806972,-0.127889231694804
"8","ratio_quantity.02E",6,10,10,10,10,17,0.00476296972185777,0.00996302552280181,0.549694873840972,0.47350608081366,0.542824096294892,-0.0693180154812315,-0.146393084038366
"9","ratio_quantity.02G",4,8,8,8,8,8,0.00190716967446893,0.00357989160128939,0.509250145495384,0.530290646273979,0.605191741201058,-0.0749010949270791,-0.141245363185948
"10","ratio_quantity.02H",2,4,4,4,4,4,0.00182073838991391,0.00354157629077799,0.542300932715781,0.512283219967551,0.539142674267891,-0.0268594543003401,-0.0524308688112826
"11","ratio_quantity.02M",2,9,9,9,9,9,0.00265436375161018,0.00621996409994536,0.500540232924188,0.419898159189898,0.52595811509407,-0.106059955904173,-0.25258495085759
"12","ratio_quantity.02P",1,18,18,18,18,18,0.00167285213135073,0.00344918570580154,0.522727272727273,0.483326296663968,0.5569317904434,-0.073605493779432,-0.152289445634294
"13","ratio_quantity.02Q",2,5,5,5,5,5,0.00270470663394079,0.00594896663942287,0.512218850354417,0.451946798052121,0.541713140593358,-0.0897663425412374,-0.198621481395881
"14","ratio_quantity.02T",4,9,9,9,9,17,0.00471818250073907,0.0106103232384441,0.502858850921119,0.442329184010198,0.536156358218159,-0.0938271742079607,-0.212120695626083
"15","ratio_quantity.02X",5,8,8,8,8,17,0.00239605455283012,0.00593380856331109,0.521679746852658,0.40175474756037,0.511985803327548,-0.110231055767179,-0.274373996664755
