"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02Y",4,12,12,12,12,31,-0.00434090924177354,-0.0296755225780992,0.509772170551551,0.146455436444644,0.0868477009742314,0.0596077354704124,0.407002545739861
"2","ratio_quantity.03F",5,4,4,4,4,28,-0.00183010105496908,-0.0199346508284785,0.508956001154085,0.0924773833906806,0.0349446756259471,0.0575327077647334,0.622127331627457
"3","ratio_quantity.03H",1,22,22,22,22,22,-0.00098031975247934,-0.0117680378896697,0.525,0.0842839054198823,0.0450711153207087,0.0392127900991736,0.46524647741256
"4","ratio_quantity.03K",4,4,4,4,4,32,-0.00353765034034923,-0.0255467293884339,0.5707522440744,0.139310450177385,0.0897246570129791,0.0495857931644061,0.355937355031644
"5","ratio_quantity.03L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ratio_quantity.03N",2,12,12,12,12,12,-0.00242047789812454,-0.0153000001983974,0.528109979550072,0.160621645658767,0.101038956646856,0.0595826890119117,0.370950557551204
"7","ratio_quantity.03Q",2,25,25,25,25,25,-0.0140449551368473,-0.0605972757749397,0.509640837219557,0.271525471452942,0.188849864764089,0.0826756066888531,0.304485639032144
"8","ratio_quantity.03R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.03W",1,15,15,15,15,15,-0.000847413362583354,-0.00612790939913205,0.51063829787234,0.139134928302569,0.0993065002611518,0.0398284280414176,0.286257581236574
"10","ratio_quantity.04C",4,3,3,3,3,13,-0.00119189908419391,-0.00763356402384307,0.520255803860388,0.157533889152746,0.10942317019037,0.0481107189623759,0.30539916979849
"11","ratio_quantity.04V",2,3,3,3,3,3,-0.00242164768102563,-0.0183776859422808,0.500544129882361,0.134192736197357,0.0809744025860083,0.053218333611349,0.396581328612905
"12","ratio_quantity.04Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.05D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.05G",2,13,13,13,13,13,-0.0368677300188435,-0.127717515820205,0.59943258303324,0.325533930438403,0.14102078719741,0.184513143240993,0.566801571168036
"15","ratio_quantity.05Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
