name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,1,7.0,7.0,7.0,7.0,7.0,0.000963929029249593,0.0019347022191045602,0.509090909090909,0.49726728181607105,0.5502833784247989,-0.0530160966087276,-0.10661489011524601
00N,1,7.0,7.0,7.0,7.0,7.0,-0.00045492891746650495,-0.0004941783642068281,0.509090909090909,0.921031284373011,0.896010193912353,0.0250210904606578,0.027166384991679
00P,1,2.0,2.0,2.0,2.0,2.0,0.000542630300962282,0.000715413289202815,0.516666666666667,0.7579424428054309,0.7905002608631679,-0.0325578180577369,-0.0429555283079651
00Q,4,2.0,2.0,2.0,2.0,2.0,0.0012836735518005,0.00147881818808631,0.501088164165949,0.865999448105719,0.935167287973386,-0.0691678398676671,-0.0798705357364422
00R,5,9.0,9.0,9.0,9.0,9.0,0.00235066650561051,0.0027353618821004,0.500435189865136,0.8405365189629921,0.915692432958376,-0.0751559139953846,-0.0894142161581603
00T,2,3.0,3.0,3.0,3.0,3.0,0.00111278990329118,0.00130892272965681,0.508866521892266,0.849044272907399,0.8752858868965409,-0.0262416139891423,-0.0309072386758851
00V,0,,,,,,,,,,,,
00X,1,2.0,2.0,2.0,2.0,2.0,0.00119058810739603,0.0014367678371609099,0.516666666666667,0.8274666775985691,0.898901964042331,-0.071435286443762,-0.0863301065501244
00Y,2,3.0,3.0,3.0,3.0,3.0,0.00248945706679682,0.00304513276511014,0.520246433267776,0.8150305851855392,0.843741483416902,-0.0287108982313634,-0.0352267740048399
01A,2,8.0,8.0,8.0,8.0,8.0,0.0030293000035606,0.0037469571489349204,0.53149310616728,0.805440048097122,0.8681356873302659,-0.0626956392331436,-0.0778402307921788
01D,2,8.0,8.0,8.0,8.0,8.0,-0.0026899807328516104,-0.0037633017073246,0.652464563273515,0.717482719145515,0.7051143199207869,0.0123683992247282,0.0172386022613316
01E,1,16.0,16.0,16.0,16.0,16.0,0.00130482845431866,0.00175634813120017,0.5217391304347829,0.7416164814724459,0.8016385903711041,-0.0600221088986582,-0.0809341626004415
01F,1,3.0,3.0,3.0,3.0,3.0,0.00105264527011774,0.00124109403823008,0.508474576271186,0.847106509227888,0.909212580164835,-0.0621060709369469,-0.0733155397348495
01G,3,3.0,3.0,3.0,3.0,3.0,0.00208722070110061,0.00436188173777267,0.508247298326866,0.47642660121797203,0.533920443116598,-0.0574938418986259,-0.12067722866784598
01H,4,11.0,11.0,11.0,11.0,44.0,0.00298366762527581,0.00494718016790146,0.509928697472332,0.6005072540996961,0.705827895046518,-0.105320640946823,-0.175386126025611
01J,0,,,,,,,,,,,,
01K,1,3.0,3.0,3.0,3.0,3.0,0.0007657182378633111,0.0011341787583275301,0.508474576271186,0.674364398810395,0.7195417748443299,-0.0451773760339353,-0.0669925282438248
01T,1,6.0,6.0,6.0,6.0,6.0,0.00107886350918986,0.00124094357229318,0.5178571428571429,0.8683107955195358,0.9287271520341679,-0.0604163565146322,-0.0695791838894313
01V,0,,,,,,,,,,,,
01W,0,,,,,,,,,,,,
