"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.05V",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.05W",2,29,29,29,29,29,-0.000908739896854849,-0.196306340308578,4.23190618129243,0.00553793269534716,0.0053231973354585,0.000214735359888653,0.0387753646896195
"3","ratio_quantity.06H",2,2,2,2,2,2,-0.000221378149561554,-0.020933960788596,0.550420145267515,0.0107964504828465,0.00757886258799999,0.00321758789484655,0.298022752937057
"4","ratio_quantity.06K",2,14,14,14,14,14,-0.000309740788254136,-0.0448323412503839,0.780485846975814,0.00721861013603739,0.00642489737505831,0.000793712760979084,0.109953681667422
"5","ratio_quantity.06L",2,9,9,9,9,9,-0.000412825733373269,-0.0483248348701628,0.599670450514305,0.0089555498726783,0.00620186585827198,0.00275368401440632,0.307483521788795
"6","ratio_quantity.06N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.06Q",2,2,2,2,2,2,-0.000158192722914751,-0.0162774530684182,0.536142071385184,0.00987671086268928,0.00751625110610212,0.00236045975658716,0.23899249349337
"8","ratio_quantity.06T",4,2,2,2,2,33,-0.000187029572704556,-0.0181317554318673,0.523349456459304,0.0104079874318967,0.00719165438030804,0.00321633305158863,0.309025454981983
"9","ratio_quantity.07G",4,2,2,2,2,32,-0.000175804427096484,-0.0252216739025485,0.527766313822756,0.00711454322335193,0.00411654997818295,0.00299799324516898,0.421389420381723
"10","ratio_quantity.07H",2,38,38,38,38,38,-0.000523607435093206,-0.0670460431073509,0.82582173402781,0.00833327689246641,0.00769923274768544,0.000634044144780977,0.0760858126956247
"11","ratio_quantity.07K",2,14,14,14,14,14,-0.000148544244117694,-0.0160744639596451,0.562230298903761,0.00938955187526573,0.00859693587214035,0.000792616003125371,0.084414678533627
"12","ratio_quantity.09D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.10Q",1,2,2,2,2,2,-1.70363787423833e-05,-0.0024594583044194,0.516666666666667,0.00694391890070694,0.00592173617616394,0.001022182724543,0.14720545259233
"14","ratio_quantity.10R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.11J",1,53,53,53,53,53,0.000103698881610275,0.0170564584172867,0.555555555555556,0.00597604399778935,0.00690933393228182,-0.000933289934492472,-0.156171864671296
