month,code,numerator,denominator
2022-05-01,00Q,4010.0,1172
2022-06-01,00Q,3887.5,1162
2022-08-01,00Q,4146.75,1256
2023-01-01,00Q,4511.5,1248
2020-10-01,00Q,4624.25,1266
2021-04-01,00Q,4385.75,1111
2022-11-01,00Q,4195.25,1253
2021-03-01,00Q,4664.75,1183
2022-09-01,00Q,4096.5,1273
2019-12-01,00Q,4201.25,1098
2020-06-01,00Q,4292.0,1177
2021-01-01,00Q,4307.75,1138
2019-08-01,00Q,4414.5,1136
2021-12-01,00Q,4201.0,1164
2022-02-01,00Q,4229.25,1144
2018-05-01,00Q,4404.25,1107
2019-02-01,00Q,3946.5,1006
2022-01-01,00Q,4054.25,1190
2020-04-01,00Q,4254.75,1168
2019-10-01,00Q,4313.5,1205
2020-01-01,00Q,4687.25,1207
2022-03-01,00Q,4036.0,1164
2018-09-01,00Q,4579.0,1196
2019-11-01,00Q,4202.25,1109
2021-05-01,00Q,3608.5,935
2018-04-01,00Q,4651.5,1137
2018-10-01,00Q,4883.25,1284
2019-09-01,00Q,4264.75,1152
2021-02-01,00Q,4225.25,1076
2021-11-01,00Q,4208.5,1166
2020-08-01,00Q,4005.5,1071
2018-07-01,00Q,4626.0,1209
2020-12-01,00Q,4717.0,1267
2019-05-01,00Q,4383.75,1092
2021-06-01,00Q,4119.75,1109
2018-02-01,00Q,4261.0,1059
2022-12-01,00Q,3849.5,1178
2022-07-01,00Q,3927.25,1155
2018-12-01,00Q,4228.0,1094
2022-10-01,00Q,3893.75,1191
2018-03-01,00Q,4758.0,1149
2021-07-01,00Q,4014.75,1146
2022-04-01,00Q,4135.5,1092
2018-08-01,00Q,5201.25,1292
2020-02-01,00Q,3709.75,1011
2018-06-01,00Q,4917.5,1148
2019-07-01,00Q,4571.25,1149
2020-05-01,00Q,4637.0,1128
2020-07-01,00Q,4586.0,1308
2018-01-01,00Q,4971.0,1168
2019-01-01,00Q,4477.0,1169
2020-09-01,00Q,3965.0,1164
2021-08-01,00Q,4307.5,1194
2021-09-01,00Q,4271.75,1257
2021-10-01,00Q,4264.5,1235
2018-11-01,00Q,4570.0,1253
2019-03-01,00Q,4166.25,1086
2020-03-01,00Q,4351.0,1198
2020-11-01,00Q,4362.0,1196
2019-04-01,00Q,4054.5,1022
2019-06-01,00Q,4375.25,1075
2021-08-01,00R,4251.75,1258
2023-01-01,00R,4265.5,1246
2018-02-01,00R,4876.75,1163
2019-10-01,00R,4980.5,1429
2018-10-01,00R,5288.5,1368
2022-01-01,00R,4397.0,1302
2019-07-01,00R,4887.0,1391
2020-08-01,00R,4226.5,1291
2022-08-01,00R,4836.25,1420
2022-09-01,00R,4573.25,1373
2021-04-01,00R,4271.5,1176
2021-06-01,00R,4614.75,1288
2019-06-01,00R,4527.75,1301
2018-06-01,00R,4810.5,1257
2018-08-01,00R,5696.25,1419
2018-05-01,00R,4773.25,1217
2020-01-01,00R,5057.5,1483
2020-06-01,00R,4204.75,1223
2020-02-01,00R,4093.25,1213
2019-05-01,00R,4888.75,1287
2019-12-01,00R,4405.5,1292
2022-12-01,00R,4159.75,1239
2019-04-01,00R,4399.5,1223
2019-02-01,00R,4403.5,1148
2021-03-01,00R,4575.25,1326
2021-09-01,00R,4798.25,1438
