month,code,numerator,denominator
2021-07-01,00N,228.8626,158.73100000000002
2025-04-01,00P,27.09769,295.459
2025-02-01,00P,27.09614,295.51899999999995
2020-12-01,00R,430.00813,174.90800000000002
2021-08-01,00T,815.1375599999999,318.1809999999999
2024-10-01,00V,54.1836,212.36300000000006
2021-01-01,01D,31.90922,239.27799999999993
2023-02-01,01E,283.55519,225.56300000000005
2023-12-01,01G,310.01160999999996,314.937
2021-12-01,01H,319.69993,328.6979999999999
2024-01-01,01J,64.62229,171.719
2023-01-01,01J,90.9645,170.42000000000002
2021-03-01,01W,302.61497,317.45700000000005
2022-06-01,01Y,641.30483,220.71699999999996
2021-06-01,02G,255.35112,113.919
2021-11-01,02G,95.91926,114.77799999999999
2024-06-01,02H,308.95495999999997,349.463
2021-05-01,02M,383.00955,180.55200000000002
2021-08-01,02T,207.82533,222.46899999999997
2022-12-01,02X,32.05106,330.79600000000005
2023-08-01,03F,26.71482,311.68100000000004
2022-04-01,03F,58.76777,307.146
2022-04-01,03L,299.20366,267.038
2021-06-01,03N,249.75447999999997,613.4869999999999
2021-11-01,04Y,85.18656,135.87199999999999
2024-08-01,05G,119.31094000000002,231.00700000000003
2021-06-01,05G,303.12233000000003,216.96699999999998
2023-03-01,05G,310.50107,218.50499999999997
2021-10-01,05Q,361.87003,217.56399999999996
2021-06-01,05Q,478.56910000000005,216.55300000000003
2021-07-01,06H,324.78353000000004,1000.0229999999999
2024-10-01,06K,27.098,634.3960000000001
2023-10-01,06N,246.08011,683.1969999999998
2021-04-01,06N,212.76979,662.2549999999997
2023-02-01,06Q,205.05874999999997,410.22500000000014
2022-11-01,06T,314.89056999999997,367.81300000000005
2023-11-01,06T,171.62000000000003,373.5399999999999
2021-07-01,07H,452.59957,322.84799999999996
2024-04-01,07H,173.49250999999998,332.532
2023-04-01,07H,370.65545999999995,328.223
2021-03-01,07H,265.62361999999996,321.0259999999999
2022-01-01,07K,85.44,270.79900000000004
2023-08-01,10Q,32.09723,808.4430000000002
2022-04-01,11M,459.2637500000001,675.049
2024-08-01,11N,25.34151,604.6999999999999
2022-02-01,11X,106.78896,594.0310000000002
2024-07-01,13T,27.09762,556.4500000000002
2021-01-01,14L,420.35758,675.754
2024-11-01,14L,81.27707,750.315
2024-10-01,14L,81.2816,747.2819999999999
2024-04-01,14Y,200.59009,590.2850000000001
2021-07-01,14Y,146.37646,575.1370000000001
2022-01-01,14Y,197.51423,577.3670000000001
2024-02-01,15A,376.86431,584.197
2023-01-01,15A,342.15994,577.084
2021-03-01,15A,520.49048,557.411
2022-07-01,15A,426.88454,570.9019999999999
2021-04-01,15C,223.22961000000004,1042.555
2022-01-01,15F,1000.3641,908.8749999999999
2025-08-01,16C,81.29454,740.2290000000002
2022-01-01,18C,629.9911700000001,814.3560000000001
2023-11-01,18C,675.7550500000001,826.887
2023-05-01,36J,521.6360900000001,657.911
