"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.03F",1,38,38,38,38,38,-0.0166317865278767,-0.0422595533315756,0.541666666666667,0.410194548476184,0.0110316718071439,0.39916287666904,0.973106244712113
"2","ratio_quantity.03H",1,12,12,12,12,12,-0.0296840564662543,-0.0189980746484435,0.52,1.59216115035884,0.107958327046123,1.48420282331272,0.932193844183554
"3","ratio_quantity.03K",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.03L",1,13,13,13,13,13,-0.0138027006645915,-0.00849529844713331,0.510204081632653,1.63854852336716,0.962216190802178,0.676332332564982,0.412763078370815
"5","ratio_quantity.03N",2,17,17,17,17,17,-0.0356311145656959,-0.0425448003361751,0.533824433718512,0.873127454521472,0.205658670496417,0.667468784025055,0.764457446124941
"6","ratio_quantity.03Q",2,12,12,12,12,12,-0.0567510591350673,-0.0804944887378185,0.575123242520013,0.761781428604376,0.26839970674593,0.493381721858446,0.647668351225557
"7","ratio_quantity.03R",1,14,14,14,14,14,-0.00527021097164398,-0.0149436731859158,0.520833333333333,0.357941934053161,0.104971807414249,0.252970126638911,0.706735094640632
"8","ratio_quantity.03W",1,13,13,13,13,13,-0.0136668088234411,-0.00926820309901822,0.510204081632653,1.48825780315424,0.818584170805629,0.669673632348613,0.449971524375209
"9","ratio_quantity.04C",2,2,2,2,2,2,-0.0174770325326094,-0.0245447004789857,0.525359649293161,0.729526158883635,0.23052421166166,0.499001947221975,0.684008299285083
"10","ratio_quantity.04V",1,4,4,4,4,4,-0.0152933526978515,-0.0100070086322002,0.517241379310345,1.54355751833882,0.656543061863437,0.887014456475387,0.574655913975912
"11","ratio_quantity.04Y",1,5,5,5,5,5,-0.0349472072485575,-0.014239432263495,0.508771929824561,2.48920286870144,0.49721205553366,1.99199081316778,0.800252497783339
"12","ratio_quantity.05D",2,2,2,2,2,2,-0.371141975789821,-159.002255285809,1.02048296661774,0.373476168944017,0.00978369397804713,0.36369247496597,0.973803699428239
"13","ratio_quantity.05G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.05Q",1,32,32,32,32,32,-0.0237080028625293,-0.0102510354935357,0.533333333333333,2.33645024997303,1.62521016409715,0.711240085875878,0.304410541540137
"15","ratio_quantity.05V",1,8,8,8,8,8,-0.0174999502529996,-0.0181770088692921,0.518518518518518,0.980251873786671,0.0352545601246919,0.944997313661979,0.964035202515344
