month,code,numerator,denominator
2023-10-01,11J,504.7913699999999,828.2329999999998
2023-08-01,11J,510.1074299999999,826.0639999999997
2024-02-01,11J,520.7403299999999,831.2410000000001
2021-07-01,11J,629.5460500000004,813.786
2026-03-01,11J,1734.36577,828.6720000000003
2021-10-01,11J,532.1059199999999,816.9479999999999
2025-12-01,11J,2683.7434099999996,831.4889999999999
2022-08-01,11J,509.4699100000001,821.2909999999998
2023-05-01,11J,512.07867,825.652
2021-06-01,11J,691.67553,812.9410000000004
2025-08-01,11J,1223.7350800000006,831.7530000000002
2024-08-01,11J,472.86120999999997,831.9480000000002
2023-12-01,11J,590.7004099999999,830.2470000000003
2024-06-01,11J,469.05683000000005,832.6139999999998
2024-12-01,11J,454.44476,833.1379999999996
2024-05-01,11J,491.2209900000001,832.359
2025-01-01,11J,480.30197000000015,832.8080000000001
2023-06-01,11J,501.55867000000006,825.6840000000002
2023-09-01,11J,526.8723800000002,826.6139999999997
2024-01-01,11J,533.4757099999999,830.71
2025-07-01,11J,1150.43774,831.4899999999999
2024-07-01,11J,472.5759799999999,831.7800000000002
2026-02-01,11J,1753.4710700000003,829.714
2023-11-01,11J,568.8287900000001,829.4339999999997
2022-06-01,11J,510.82332,820.7419999999998
2022-05-01,11J,510.64669000000015,820.164
2021-08-01,11J,591.7348399999998,814.403
2022-09-01,11J,518.52833,821.7039999999998
2025-04-01,11J,488.6911600000001,831.9749999999999
2026-05-01,11J,2222.000459999999,827.5130000000001
2022-04-01,11J,496.80497000000014,820.051
2025-09-01,11J,1592.2966000000004,832.2950000000001
2022-01-01,11J,539.6945600000003,819.0040000000002
2023-04-01,11J,508.3053800000001,825.4380000000001
2026-06-01,11J,2210.15433,826.6599999999996
2023-01-01,11J,531.35187,824.754
2022-10-01,11J,457.09001000000006,823.315
2022-02-01,11J,463.2979499999999,819.5670000000001
2021-11-01,11J,619.07521,817.6070000000001
2025-05-01,11J,702.5060900000007,831.9090000000003
2023-07-01,11J,494.23274,825.8939999999999
2021-12-01,11J,619.9446999999999,818.4670000000002
2024-03-01,11J,542.2012000000002,831.5059999999997
2025-02-01,11J,414.82924000000014,832.6649999999997
2022-07-01,11J,482.88538000000017,821.0820000000002
2022-12-01,11J,561.9283399999999,824.5979999999997
2025-10-01,11J,1383.51847,832.5329999999997
2024-09-01,11J,402.08481000000006,831.8719999999995
2026-04-01,11J,2106.5427600000003,828.363
