"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02Y",3,55,55,56,56,56,-3.35832515374701,-0.791081011047825,7.01801427456007,1.44040130692629,0.961872050307253,0.478529256619035,0.332219399078568
"2","ratio_quantity.03F",3,4,4,4,4,10,-0.102199922549834,-0.111231609692419,0.918646161715239,0.796053775202527,0.573552605962321,0.222501169240205,0.279505199486804
"3","ratio_quantity.03H",3,5,5,5,5,9,-0.155507911661052,-0.112131203103731,0.831056394523764,1.05894977770496,0.684708239619772,0.374241538085188,0.353408203074818
"4","ratio_quantity.03K",3,5,5,5,5,9,-0.108701280024232,-0.0734940278366928,0.641409147780572,1.19277357886508,0.853828366124153,0.338945212740929,0.284165594163675
"5","ratio_quantity.03L",3,5,5,5,5,9,-0.100901895935487,-0.0562214211485772,0.931156688665215,1.52629426305681,1.30957048892997,0.216723774126841,0.141993440827585
"6","ratio_quantity.03N",5,2,2,3,3,3,-0.489212223952664,-0.290156697020898,0.677225564435753,1.12587061423214,0.403493536869053,0.722377077363089,0.641616423975822
"7","ratio_quantity.03Q",3,3,3,3,3,14,-0.783234903538618,-0.552583225673032,3.34489513075472,1.30985857840695,1.07570029453815,0.234158283868798,0.178766080345545
"8","ratio_quantity.03R",5,4,4,4,4,9,-0.0992588988132551,-0.0902334836967735,0.671714564454976,0.961780693636809,0.666241772595866,0.295538921040943,0.307283066707664
"9","ratio_quantity.03W",6,5,5,5,5,9,-0.282744031703306,-0.119230575582096,0.922434967800933,1.95008042616806,1.64356122256787,0.306519203600192,0.157182852300358
"10","ratio_quantity.04C",3,52,52,54,54,54,-1.26077914488019,-0.583058232241721,2.88344304300299,1.1132112953024,0.675963489093908,0.437247806208489,0.392780605131853
"11","ratio_quantity.04V",1,9,9,9,9,9,-0.0184049442239954,-0.00733023132025773,0.509433962264151,2.52923215006289,1.55377010619113,0.975462043871758,0.38567517175025
"12","ratio_quantity.04Y",3,5,5,5,5,43,-0.0436820807154773,-0.0222441524782844,0.565882182616237,1.67895682360493,1.4473781555144,0.231578668090533,0.137930091372633
"13","ratio_quantity.05D",3,5,5,5,5,10,-0.338834612332885,-0.129512538602271,0.564628069165111,2.14677104991516,1.54666873329831,0.600102316616854,0.279537175909173
"14","ratio_quantity.05G",8,5,5,5,5,15,-1.63592889725045,-0.995314696941196,5.03925122730159,1.22204086647061,0.897403569487427,0.324637296983182,0.265651751827884
"15","ratio_quantity.05Q",5,5,5,5,5,15,-0.21011288164229,-0.0835839744962751,0.767488885010273,2.01592717946373,1.46839382557164,0.547533353892092,0.271603736221139
