"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.11M",5,5,5,5,5,5,-0.861885172150563,-0.0437538022279834,0.539731899772236,20.5604057180823,2.99476452167157,17.5656411964107,0.854343121301455
"2","ratio_quantity.11N",2,2,2,2,2,2,-0.391677064114687,-0.0175229256175888,0.510094442643354,22.9904801842948,13.0084035180509,9.98207666624394,0.434183043861036
"3","ratio_quantity.11X",2,4,4,4,4,4,-0.327186063734312,-0.0177164204618139,0.507053443056393,18.7951415087708,5.24448440839803,13.5506571003727,0.720965952506892
"4","ratio_quantity.12F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.13T",1,2,2,2,2,2,-0.105610657074441,-0.00600066715703326,0.516666666666667,17.7054298622869,11.3687904378204,6.33663942446648,0.357892436035328
"6","ratio_quantity.14L",1,6,6,6,6,6,-0.284083138850615,-0.00785982253170296,0.517857142857143,36.4277921990428,20.5191364234084,15.9086557756344,0.43671753941905
"7","ratio_quantity.14Y",2,6,6,6,6,6,-0.916339620130973,-0.0731311175845369,0.561986264441029,13.4464314660776,8.55481927849652,4.89161218758111,0.363785157416788
"8","ratio_quantity.15A",1,4,4,4,4,4,-0.184967764061942,-0.00995413108975176,0.517241379310345,18.7669778254298,8.03884750983718,10.7281303155926,0.57164933082916
"9","ratio_quantity.15C",2,2,2,2,2,2,-0.806421691094969,-0.0500962095270558,0.537059638891747,16.9038809341828,3.38993444803165,13.5139464861511,0.799458215469527
"10","ratio_quantity.15E",2,2,2,2,2,2,-0.448224140450233,-0.0117909126545239,0.518159597892795,38.462596189781,19.4319131145148,19.0306830752661,0.494784152930435
"11","ratio_quantity.15F",5,2,2,2,2,19,-0.960010643788937,-0.0289577946740442,0.521508196021548,33.3885043488242,9.45764676218618,23.9308575866381,0.716739430332727
"12","ratio_quantity.15M",4,2,2,2,2,2,-0.129865532495617,-0.036656542292549,0.545353582837147,3.67263100827849,1.29132213670191,2.38130887157658,0.648393172689787
"13","ratio_quantity.15N",3,16,16,16,16,32,-1.45530458837012,-0.0647420018987839,0.555873887702332,22.7451799287449,4.41884306716164,18.3263368615833,0.805723978398729
"14","ratio_quantity.16C",2,4,4,4,4,4,-0.682980581830695,-0.0233160191752536,0.527838314474391,29.9753128919523,11.8604320971561,18.1148807947962,0.604326662413577
"15","ratio_quantity.18C",3,2,2,2,2,2,-0.954310365309727,-0.0778640233837689,0.54012927141299,13.2104245993021,2.60951386384175,10.6009107354604,0.802465557088937
