month,code,numerator,denominator
2022-04-01,00N,313.22715,158.827
2026-03-01,00N,980.75054,159.097
2025-07-01,00X,868.75196,194.489
2021-06-01,00X,251.56421999999998,187.281
2023-12-01,00Y,538.55774,266.87500000000006
2023-12-01,01A,969.60265,404.17400000000004
2022-12-01,01A,577.14141,398.55599999999987
2025-09-01,01A,469.67536,411.90700000000004
2023-01-01,01D,462.81870000000004,244.52099999999996
2023-09-01,01D,658.53899,247.03300000000002
2024-09-01,01D,429.32824,251.525
2022-11-01,01E,1524.51834,224.24100000000007
2025-12-01,01J,456.34719,174.35999999999999
2023-08-01,01K,1394.32665,355.2229999999999
2021-06-01,01T,111.86978,156.774
2022-03-01,01V,626.12552,126.572
2024-07-01,01W,1157.76356,327.7260000000001
2023-02-01,02G,203.6844,116.68599999999998
2023-03-01,02G,97.97401,116.78400000000002
2021-07-01,02H,2907.75485,335.86199999999997
2022-05-01,02H,3900.5893,338.64899999999994
2023-07-01,02M,872.1478,184.58800000000002
2024-02-01,02M,1083.58752,185.44400000000002
2022-01-01,02Y,1366.4352999999999,307.77400000000006
2022-08-01,03K,671.66122,183.781
2024-08-01,03K,613.18268,185.39600000000002
2022-03-01,03R,1374.7092899999998,388.365
2021-12-01,03R,483.38828,387.757
2026-03-01,04Y,1550.1197900000002,140.54999999999998
2024-06-01,04Y,289.44602,139.99099999999999
2025-03-01,05D,350.7867,155.03499999999997
2021-07-01,05Q,112.02548,216.76900000000003
2024-03-01,06H,454.57784,1046.363
2025-10-01,06Q,2818.01636,426.288
2022-12-01,06Q,384.75681,409.50799999999987
2026-06-01,06T,2829.2096,380.76
2023-01-01,06T,385.58909,369.519
2022-01-01,06T,454.64575,365.0259999999999
2021-12-01,07H,441.89605,324.067
2022-03-01,07H,742.246,324.3569999999999
2025-03-01,07H,743.76631,336.02700000000004
2023-02-01,07H,1042.93673,327.248
2024-08-01,07K,306.59754,279.094
2022-08-01,09D,1343.34724,328.85400000000004
2021-08-01,09D,764.56856,325.22
2024-11-01,09D,2412.4337299999997,334.06699999999995
2023-01-01,10Q,192.80074,806.3330000000004
2023-11-01,10Q,807.2823599999999,816.2529999999999
2024-11-01,10R,772.07076,235.86999999999998
2025-09-01,11M,1052.15364,698.383
2021-10-01,11N,1763.2672,596.0080000000002
2022-07-01,11N,1542.90515,598.2090000000001
2022-06-01,11N,1789.07662,597.8289999999998
2022-08-01,12F,671.66122,340.4149999999999
2023-07-01,12F,872.1478,342.12699999999995
2022-06-01,12F,876.87913,339.824
2023-12-01,15C,4239.6951500000005,1084.3629999999998
2025-09-01,15E,5326.87154,1647.325999999999
2023-06-01,15M,1309.9373500000002,1122.2149999999997
2024-05-01,15M,631.41461,1135.1779999999999
2025-07-01,16C,1737.50392,739.895
2024-01-01,16C,1349.8909599999997,731.5439999999998
2022-10-01,36J,2537.23585,653.2370000000001
2022-03-01,36J,4552.56131,649.1300000000001
2022-11-01,52R,877.43156,1132.6910000000003
2023-04-01,70F,3820.80307,931.1249999999999
2022-11-01,71E,5629.968510000001,811.677
2024-04-01,72Q,4162.45508,2106.9920000000006
2023-04-01,72Q,3088.4152,2075.835
2025-03-01,78H,843.14867,849.6169999999998
2025-09-01,78H,1174.28695,852.5449999999997
2023-08-01,84H,1469.58536,563.1549999999999
2026-03-01,84H,823.92088,571.4909999999998
2021-06-01,84H,745.0080800000001,558.062
2025-06-01,84H,729.84557,569.459
2026-03-01,91Q,2942.23922,2041.8409999999997
2021-10-01,92G,295.90733,974.5059999999996
2025-02-01,93C,7099.98933,1839.0690000000002
2023-11-01,93C,5242.066339999999,1800.0219999999993
2023-01-01,97R,963.99131,570.78
2022-01-01,99E,2039.25512,285.32700000000006
2024-11-01,99G,344.6387,196.04300000000003
2021-06-01,A3A8R,6738.7486499999995,2296.859
2025-10-01,A3A8R,7045.3124,2487.406
2022-10-01,B2M3M,3584.1902100000007,1064.367
2023-10-01,B2M3M,5502.109119999999,1091.95
2023-05-01,B2M3M,4821.926060000001,1077.6809999999994
2023-05-01,D9Y0V,3472.29419,1917.1419999999998
2022-10-01,U2G6B,503.37543,462.9360000000002
