"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.11M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.11N",2,2,2,2,2,2,-0.533800615211849,-0.049588973997463,0.538665466259757,11.2983027248776,3.3705531489738,7.92774957590376,0.701676151626542
"3","ratio_quantity.11X",1,14,14,14,14,14,-0.0294460576347543,-0.0172041875975436,0.520833333333333,1.74100944694345,0.327598680475242,1.41341076646821,0.811834059229041
"4","ratio_quantity.12F",2,4,4,4,4,4,-0.379885541939637,-0.0347868096344998,0.527802069602754,11.3002759408018,2.66327588753059,8.6370000532712,0.764317623615338
"5","ratio_quantity.13T",2,2,2,2,2,2,-0.608179269947648,-0.0493079825358072,0.508003909500603,12.9424756388164,0.970534900298762,11.9719407385176,0.925011649441473
"6","ratio_quantity.14L",2,6,6,6,6,6,-5.65206771889617,-3.97060082797865,0.762208577954552,7.07554692614086,0.0128278351698725,7.06271909097099,0.998187018572023
"7","ratio_quantity.14Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.15A",2,11,11,11,11,11,-1.60006191924016,-0.0787957296717132,0.580438942519775,21.9065166713759,8.12331053177705,13.7832061395989,0.629182920605933
"9","ratio_quantity.15C",2,3,3,3,3,3,-1.03504082517755,-0.0830114440057906,0.570351480753377,13.5036930402305,2.61524063740312,10.8884524028274,0.806331450988131
"10","ratio_quantity.15E",2,6,6,6,6,6,-0.167624056503804,-0.0324762576067871,0.516524023503357,5.32905794255516,2.73287191632726,2.59618602622791,0.487175417158834
"11","ratio_quantity.15F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.15M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.15N",3,10,10,10,10,10,-0.152017205507703,-0.0247529026592419,0.510086437487565,6.43671643033857,1.37033492378469,5.06638150655388,0.787106525723922
"14","ratio_quantity.16C",2,7,7,7,7,7,-0.179869566995802,-0.0348422185920262,0.500293014985561,5.37955063261218,0.705680918454956,4.67386971415723,0.868821586290695
"15","ratio_quantity.18C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
