month,code,numerator,denominator
2019-02-01,00N,392.64457999999996,157.812
2019-05-01,01W,764.4571,314.3699999999999
2024-02-01,01W,389.56784999999996,326.826
2023-05-01,01W,602.6978499999999,324.1180000000001
2022-10-01,01W,618.3680300000001,322.2950000000001
2023-11-01,01W,443.7290099999999,326.1439999999999
2023-08-01,01W,517.61828,325.2330000000001
2023-04-01,01W,519.7233200000001,323.88300000000004
2023-09-01,01W,456.7593299999999,325.63899999999995
2023-10-01,01W,404.17975,325.766
2023-07-01,01W,412.66438999999997,324.8070000000001
2024-01-01,01W,331.95633999999995,326.4890000000001
2023-03-01,01W,572.51371,323.64200000000005
2023-06-01,01W,557.8771899999999,324.504
2022-11-01,01W,541.54375,322.50699999999995
2023-12-01,01W,472.4853099999999,326.439
2022-01-01,03R,376.01883,387.85599999999994
2023-01-01,03R,846.4955299999998,391.34399999999994
2022-12-01,03R,769.2584599999998,391.13999999999993
2021-05-01,03R,724.79291,385.51700000000005
2022-09-01,03R,721.07471,390.2300000000001
2022-07-01,03R,366.64074999999997,389.52700000000016
2019-04-01,06L,1054.7192099999997,402.0119999999999
2022-03-01,06L,524.3843899999999,410.12499999999994
2019-09-01,06L,1050.2866299999998,403.6289999999999
2022-06-01,06L,399.6939100000001,410.77
2020-03-01,06L,1153.4092,404.66900000000004
2020-05-01,06L,832.52859,404.55199999999985
2021-08-01,07H,494.26839999999993,323.406
2020-11-01,07H,689.5302099999999,320.36100000000005
2021-07-01,07H,416.4203300000001,322.848
2020-12-01,07H,792.33835,320.61499999999995
2021-02-01,07H,617.2396699999999,320.96000000000004
2021-03-01,07H,623.3851999999999,321.026
2020-02-01,07H,743.6652700000001,319.06899999999996
2019-10-01,07H,947.6987300000003,320.128
2022-04-01,07H,323.07157,324.52100000000013
2020-01-01,07H,775.4549999999998,318.576
2020-10-01,07H,663.2147100000001,320.29600000000005
2020-08-01,07H,609.52816,320.17600000000004
2022-02-01,07H,322.80762000000004,324.36299999999994
2019-03-01,07H,906.0610700000001,317.2199999999999
2019-12-01,07H,856.1044999999999,318.33000000000004
2019-07-01,07H,869.40104,318.83199999999994
2022-05-01,07H,313.34096,324.61699999999996
2020-04-01,07H,751.69952,319.7710000000001
2020-07-01,07H,721.6859099999999,319.87999999999994
2021-06-01,07H,662.8100100000001,322.273
2021-09-01,07H,572.71457,323.7550000000001
2023-02-01,07H,591.98126,327.248
2021-12-01,07H,513.30489,324.06700000000006
2020-06-01,07H,761.7519,319.663
2022-08-01,07H,501.30685000000005,325.797
2019-06-01,07H,658.29079,318.379
2021-04-01,07H,584.22375,321.56
