month,code,numerator,denominator
2018-02-01,78H,582.1946399999999,773.2899999999998
2018-07-01,78H,693.98484,778.0060000000001
2020-06-01,78H,390.20172000000014,796.3280000000003
2023-01-01,78H,361.12698,821.9169999999997
2019-03-01,78H,626.5905300000003,786.9279999999998
2021-10-01,78H,414.96887,807.4469999999994
2022-03-01,78H,392.9369200000001,811.3800000000001
2019-09-01,78H,573.2163199999999,792.706
2020-10-01,78H,431.54834,797.7589999999999
2020-02-01,78H,420.07658000000004,795.7140000000002
2022-01-01,78H,421.28988,809.7559999999999
2019-05-01,78H,558.9543900000001,788.6499999999999
2018-08-01,78H,651.00652,779.506
2018-05-01,78H,736.3963600000001,776.3290000000001
2022-11-01,78H,365.0694999999999,819.5570000000002
2021-06-01,78H,494.0052200000001,803.3609999999996
2022-04-01,78H,419.1897,812.4409999999999
2019-01-01,78H,633.26816,784.195
2022-10-01,78H,436.49114999999995,818.4859999999999
2022-12-01,78H,338.14185,821.0969999999999
2022-05-01,78H,404.92043,813.5239999999998
2021-08-01,78H,450.52317000000005,806.3719999999998
2021-11-01,78H,592.6662,808.0710000000001
2020-11-01,78H,405.24209999999994,798.0219999999999
2020-12-01,78H,492.77699,798.5230000000001
2022-02-01,78H,407.69384999999994,810.925
2021-09-01,78H,473.55101,806.9480000000002
2020-04-01,78H,474.03107999999986,797.2080000000001
2020-05-01,78H,432.83238000000006,796.61
2022-08-01,78H,439.27,816.5999999999998
2019-10-01,78H,550.8734999999999,792.673
2019-08-01,78H,605.8860099999998,791.3120000000001
2019-11-01,78H,532.03683,793.4259999999996
2019-06-01,78H,512.15137,789.344
2020-08-01,78H,385.83997999999997,796.7060000000004
2018-10-01,78H,577.03002,781.3420000000002
2021-01-01,78H,358.2827999999999,799.0869999999999
2021-12-01,78H,432.28488,808.8779999999999
2021-03-01,78H,486.57805999999994,799.8439999999999
2021-02-01,78H,456.33489,799.7019999999998
2022-07-01,78H,420.76802000000004,815.609
2021-04-01,78H,454.60866000000004,801.3910000000001
2019-12-01,78H,398.0802100000001,794.5010000000002
2018-12-01,78H,603.97076,783.7069999999999
2021-05-01,78H,438.39860000000004,802.4299999999997
2022-06-01,78H,463.0126,814.913
2022-09-01,78H,369.2154300000001,817.8550000000004
2020-03-01,78H,478.96509,796.5200000000001
2020-01-01,78H,520.5382099999999,795.3040000000001
2021-07-01,78H,471.52853000000005,804.5539999999999
2018-04-01,78H,565.7862799999998,775.275
2018-01-01,78H,637.0729,771.6940000000001
2018-09-01,78H,693.4121600000001,781.043
2020-09-01,78H,413.2686499999999,796.6759999999999
2019-04-01,78H,589.85439,787.7769999999998
2019-02-01,78H,594.1008999999999,785.7720000000003
2018-11-01,78H,609.2348800000001,782.4650000000004
2018-06-01,78H,559.09401,777.145
2019-07-01,78H,493.56899999999996,790.2440000000003
2018-03-01,78H,642.0884599999997,774.16
2020-07-01,78H,408.67134999999985,796.2569999999997
2018-01-01,00Y,9534.880879999999,254.391
2018-03-01,00Y,9796.158080000003,255.073
2018-05-01,00Y,9977.278789999998,255.453
2018-08-01,00Y,9094.54834,256.14599999999996
2018-02-01,00Y,9369.80701,254.78500000000005
2018-12-01,00Y,8005.293530000002,257.232
2019-01-01,00Y,6909.269339999999,257.506
2018-10-01,00Y,9185.228549999998,256.63200000000006
2018-06-01,00Y,9600.320729999998,255.586
2018-09-01,00Y,8384.531060000001,256.45199999999994
2018-11-01,00Y,8202.53823,256.92400000000004
2018-04-01,00Y,9937.841690000001,255.199
2018-07-01,00Y,10226.896230000004,255.83099999999993
2022-12-01,01Y,3319.9714100000006,221.26699999999997
2019-11-01,01Y,4986.048519999999,217.65600000000003
2019-09-01,01Y,5030.67963,217.46499999999997
2021-06-01,01Y,4279.229189999999,218.82899999999995
2021-02-01,01Y,3581.1609200000003,218.34700000000004
2022-01-01,01Y,3541.557650000001,220.00000000000003
2019-05-01,01Y,4819.878339999999,216.80600000000004
2022-02-01,01Y,3651.9669600000007,220.181
2023-01-01,01Y,3370.6341499999994,221.43
2020-11-01,01Y,4133.988780000001,218.29
2021-04-01,01Y,3902.5239699999997,218.688
2020-01-01,01Y,4582.32341,217.978
2020-02-01,01Y,4258.35126,218.10199999999998
2021-10-01,01Y,3927.3364100000003,219.59999999999997
2019-07-01,01Y,4702.53993,217.075
2020-03-01,01Y,5032.4975699999995,218.18699999999993
2020-05-01,01Y,4385.807629999999,217.96300000000005
2022-06-01,01Y,3762.20388,220.717
2021-01-01,01Y,4250.182319999999,218.33299999999997
2021-05-01,01Y,3652.389819999999,218.69499999999996
2020-09-01,01Y,4295.864809999999,218.30799999999994
2019-08-01,01Y,4669.162370000001,217.275
2022-05-01,01Y,3862.6094800000005,220.67499999999998
2020-07-01,01Y,4544.320139999999,218.027
2022-11-01,01Y,3619.1777200000006,221.09499999999997
2019-04-01,01Y,4942.321140000001,216.57399999999998
2021-12-01,01Y,4333.2874,219.89100000000005
2020-08-01,01Y,4197.199430000001,218.233
2022-04-01,01Y,3158.2540200000003,220.57699999999994
2020-06-01,01Y,4389.582810000001,217.99899999999997
2022-08-01,01Y,3166.7371200000002,220.91600000000005
2019-02-01,01Y,5125.914719999999,216.36300000000003
2021-03-01,01Y,4519.57071,218.42799999999994
2021-07-01,01Y,3934.993160000001,219.123
2021-11-01,01Y,3628.3542399999997,219.637
2021-08-01,01Y,3855.0682199999997,219.35700000000003
2022-07-01,01Y,3586.5728900000004,220.80700000000004
2020-10-01,01Y,4262.63467,218.29
2022-09-01,01Y,3650.976579999998,220.99499999999998
2020-04-01,01Y,4410.430329999999,218.13400000000004
2019-03-01,01Y,5542.915919999999,216.526
2019-06-01,01Y,5129.68036,216.918
2019-10-01,01Y,4884.42846,217.50899999999996
2019-12-01,01Y,4683.748209999999,217.842
2020-12-01,01Y,4424.73707,218.24300000000002
2022-10-01,01Y,3289.6629600000006,220.97099999999995
2021-09-01,01Y,3611.0544600000007,219.53699999999995
2022-03-01,01Y,4020.0203500000002,220.32599999999994
2023-01-01,00L,372.92472,335.145
2020-01-01,00N,253.95980999999998,158.46300000000002
2020-02-01,00N,235.58915000000002,158.525
2018-07-01,00P,733.5111699999998,284.02500000000003
2019-04-01,00P,620.87946,284.04600000000005
2019-08-01,00P,597.1606099999998,284.2369999999999
2019-05-01,00P,544.99109,284.1059999999999
2020-07-01,01J,242.77437,167.87699999999998
2022-12-01,01J,205.78040000000001,170.506
2020-06-01,01J,236.89799000000002,167.75300000000001
2020-11-01,01J,227.80993000000004,168.03699999999998
2018-05-01,01J,565.31355,165.228
2019-06-01,01J,283.51995,166.70100000000005
2020-08-01,01T,199.97405000000003,156.56100000000004
2020-04-01,01T,223.16168,156.69
2018-01-01,01W,1095.5702900000003,311.4050000000001
2018-04-01,01W,945.2642799999998,311.806
2022-01-01,01X,276.09845,200.08599999999996
2021-12-01,01X,312.77558999999997,200.11600000000004
2022-11-01,01X,280.61073000000005,200.651
2019-02-01,01X,409.0580300000001,198.04000000000005
2019-12-01,01X,292.85231999999996,198.353
2021-02-01,01X,242.36506,199.08499999999998
2018-11-01,03F,637.4227599999999,300.70700000000005
2018-03-01,03F,1022.85635,298.99100000000004
2019-01-01,03F,684.0010199999999,301.054
2018-08-01,03F,771.2788100000001,299.53000000000003
2018-10-01,03F,699.8952899999999,300.26199999999994
2018-02-01,03Q,1176.0915,356.811
2018-06-01,03Q,945.8369799999998,357.52200000000005
2022-09-01,04C,654.4459200000001,427.1249999999999
2019-03-01,04C,906.1323700000003,416.35900000000004
2022-08-01,07G,214.98665,184.87999999999997
2022-07-01,07G,224.4571,184.829
2021-03-01,10Q,1196.75166,779.1120000000001
2018-09-01,11M,1339.7182099999995,649.8749999999999
2021-11-01,11M,932.3170800000004,672.1949999999998
2018-12-01,11M,1408.2347600000003,652.0989999999999
2021-10-01,11M,828.1737700000001,671.7200000000003
2021-08-01,13T,779.24196,531.3720000000002
2022-10-01,13T,717.25113,541.393
2020-10-01,13T,751.4384200000001,530.5340000000001
2022-03-01,13T,844.8326799999999,539.222
2022-05-01,13T,815.01589,539.6890000000001
2021-05-01,13T,757.83792,532.0
2021-01-01,13T,750.4991300000002,532.954
2021-04-01,13T,769.1626700000002,532.265
2019-07-01,15F,1435.7847599999998,887.9570000000004
2020-12-01,15F,1355.1684099999998,897.2839999999998
2021-07-01,15F,1360.3075900000003,898.6599999999997
2020-09-01,15F,1197.6795299999999,892.5590000000004
2019-09-01,15F,1321.4042200000001,887.1339999999996
2020-05-01,15F,1280.2501100000002,894.5800000000003
2019-10-01,15F,1478.82366,891.9989999999999
2022-02-01,15M,1506.6110799999997,1108.053
2022-04-01,15M,1452.3266900000003,1109.7640000000001
2022-06-01,18C,1150.2195500000005,816.7940000000006
2019-11-01,18C,1209.7993399999998,801.8959999999998
2020-03-01,18C,1335.14153,803.238
2021-09-01,18C,1164.31391,812.154
2021-06-01,18C,1179.53695,808.546
2022-06-01,00L,609.0990400000001,333.64
2022-11-01,00L,541.50596,334.96
2022-09-01,00L,571.79972,334.575
2021-12-01,00L,701.7635599999999,332.9939999999999
2022-08-01,00L,561.53179,334.23199999999997
2018-04-01,00N,640.23908,157.14500000000004
2022-12-01,00N,241.49322999999998,159.177
2020-03-01,00P,621.8244900000001,284.321
2018-02-01,00P,1119.7274300000001,284.0009999999999
2022-07-01,00P,474.25681000000003,286.869
2021-03-01,00P,521.39655,284.23400000000004
2018-06-01,01J,663.2546100000001,165.35199999999998
2018-10-01,01J,509.58680999999996,165.909
2021-10-01,01T,288.92389000000003,156.95299999999997
2021-02-01,01T,270.20802000000003,156.48300000000003
2021-04-01,01T,279.48672999999997,156.66899999999998
2018-07-01,01W,1128.0387600000001,312.584
2019-08-01,01X,482.72537,198.21400000000003
2018-09-01,01X,627.03196,197.91700000000006
2022-10-01,01X,332.33615000000003,200.67900000000003
2020-07-01,02E,409.97578000000004,220.555
2020-11-01,02E,376.69223,220.515
2021-01-01,02E,376.86061,220.47100000000003
2019-05-01,02E,540.27058,219.578
2019-04-01,02E,562.30567,219.46300000000005
2018-08-01,03Q,1283.5052300000002,357.35699999999997
2019-02-01,03Q,974.9383600000001,361.246
2022-04-01,04C,814.42238,427.14300000000014
2021-11-01,04C,930.1819500000001,423.7679999999999
2018-03-01,06H,4046.04423,955.2339999999999
2018-05-01,06N,2566.4266499999985,646.5179999999998
2021-05-01,06Q,797.2518400000002,400.928
2021-09-01,06Q,848.5329900000004,403.4480000000001
2022-01-01,06Q,902.9364800000003,404.2509999999999
2020-06-01,06Q,687.4202899999999,397.76700000000005
2019-06-01,06Q,879.27021,394.81299999999993
2021-06-01,06Q,814.8044600000001,401.58099999999996
2020-02-01,07G,334.69721000000004,181.438
2019-09-01,07G,380.8722,180.52
2018-11-01,07H,954.13153,315.6819999999999
2023-01-01,11M,910.7457499999998,681.0460000000002
2020-04-01,15A,984.5452599999999,556.0749999999998
2022-03-01,15A,1243.3676900000003,568.3739999999999
2020-12-01,15M,2213.7092999999995,1097.7709999999993
2019-12-01,15M,2219.5230400000005,1094.7270000000003
2019-01-01,15M,2915.971429999999,1087.5420000000001
2019-03-01,15M,2897.631679999999,1088.711
2019-07-01,42D,933.3974400000002,429.92800000000005
2020-01-01,42D,902.0575500000001,430.50099999999986
2018-12-01,42D,1250.7295500000002,428.9770000000001
2019-11-01,42D,913.59001,430.338
2020-08-01,42D,777.5531600000002,431.0540000000001
2022-05-01,99E,505.37278000000015,286.12500000000006
2021-07-01,99E,560.1352300000001,284.68099999999987
2020-05-01,B2M3M,1907.70794,1022.1130000000003
2019-10-01,B2M3M,2181.31539,1020.3120000000004
2020-10-01,D4U1Y,1499.5534599999994,802.77
2020-09-01,M1J4Y,1930.3185500000009,1041.2859999999998
2021-08-01,M1J4Y,2020.5973899999992,1062.4439999999995
2022-02-01,M1J4Y,1977.08783,1074.0799999999995
2018-01-01,M1J4Y,4407.96061,1003.95
2019-03-01,00L,1240.87713,326.886
2020-04-01,00L,906.8116200000002,328.83400000000006
2020-07-01,00V,566.56531,206.98399999999998
2019-09-01,00V,638.46445,206.50900000000004
2019-10-01,00V,663.8998199999999,206.59499999999997
2020-09-01,00Y,710.6922799999999,260.34700000000004
2019-08-01,00Y,908.29938,259.38300000000004
2021-04-01,00Y,734.9603800000001,260.98299999999995
2018-10-01,01V,538.3911499999999,125.30199999999999
2019-11-01,01V,368.59341000000006,125.60300000000001
2020-02-01,01V,309.79663000000005,125.55200000000002
2020-10-01,01W,789.5039599999998,317.021
2021-07-01,02P,733.4130099999999,264.767
2020-08-01,03F,693.7765299999999,302.86799999999994
2022-01-01,03F,819.4717499999999,306.59
2022-08-01,03Q,829.7453000000002,366.002
2021-01-01,03R,994.5621699999999,383.8780000000001
2020-12-01,03R,1095.86091,383.64799999999997
2018-08-01,03R,1662.5630299999998,375.135
2021-10-01,03R,962.0337199999999,387.265
2019-01-01,03R,1527.84936,376.82500000000005
2020-01-01,03R,1096.92505,381.3010000000001
2022-02-01,03R,913.1876999999998,388.083
2018-12-01,05V,631.1028500000001,148.602
2018-06-01,06K,2883.7062999999994,598.9410000000001
2022-07-01,06Q,964.2242899999999,406.951
2021-09-01,10R,643.5994000000001,229.513
2018-01-01,14Y,3248.72081,557.547
2018-03-01,14Y,3151.93777,558.5500000000001
2023-01-01,15A,1103.8556199999998,577.0840000000001
2021-03-01,15A,1558.3038000000001,557.411
2022-11-01,15A,1337.3223800000003,575.7260000000001
2018-05-01,15C,5233.111669999998,1009.2840000000004
2018-07-01,15C,4762.7654600000005,1010.891
2018-09-01,15C,4319.796069999999,1010.3490000000006
2021-12-01,15C,2923.4589099999985,1055.0399999999997
2019-06-01,84H,1757.0087399999998,554.7169999999998
2018-04-01,84H,2761.932110000001,551.55
2021-08-01,84H,1464.9032099999997,557.098
2018-02-01,92G,4837.33032,933.5139999999998
2019-04-01,92G,3584.620229999999,948.1600000000001
2018-11-01,92G,3956.2389599999988,942.5899999999999
2022-10-01,99A,1344.3529499999995,570.0759999999998
2021-06-01,99C,600.82713,223.41299999999998
2020-05-01,99C,580.93216,222.03900000000004
2021-11-01,99C,608.0992699999999,223.88300000000004
2019-12-01,99E,843.0452700000001,283.64000000000004
2020-03-01,99F,600.14142,186.02299999999997
2019-02-01,99F,729.79261,185.82100000000003
2019-07-01,99F,598.5352800000001,185.87399999999997
2019-05-01,99F,664.9283800000003,185.777
2022-04-01,B2M3M,2704.996990000003,1051.85
2022-12-01,B2M3M,2409.8017899999995,1069.6849999999997
2022-09-01,B2M3M,2617.715159999999,1057.976
2022-03-01,B2M3M,2815.3354099999992,1049.9749999999997
2022-06-01,B2M3M,2643.48828,1054.3849999999998
2022-05-01,D4U1Y,2068.7570999999994,812.3320000000003
2020-06-01,D9Y0V,4515.763679999997,1663.1169999999993
2020-11-01,D9Y0V,4478.522219999997,1666.6619999999998
2021-05-01,D9Y0V,4362.1650199999995,1673.8519999999992
2021-02-01,D9Y0V,4314.470919999999,1669.2779999999998
2018-08-01,00Q,1260.95723,175.584
2021-11-01,00Q,783.15277,180.717
2019-12-01,00R,847.5999,174.77200000000002
2021-02-01,00R,716.59073,174.99399999999997
2021-08-01,00R,758.77075,175.08300000000003
2018-10-01,01A,2625.23802,383.6489999999999
2020-01-01,01F,599.9811599999999,133.225
2020-10-01,01K,1588.7653199999997,351.43399999999997
2021-04-01,01K,1547.5439299999998,351.442
2020-04-01,02Y,1350.6720100000002,307.13800000000003
2020-08-01,02Y,1230.7774000000002,307.042
2021-10-01,03H,748.7688099999999,171.188
2019-11-01,03K,870.59677,181.12100000000004
2019-06-01,03K,872.2304300000001,180.52799999999996
2018-06-01,03W,2541.6150999999995,333.24999999999994
2022-06-01,04V,1786.5252300000004,409.90199999999993
2020-09-01,04Y,589.96496,135.04
2019-03-01,05D,895.2693599999999,143.582
2018-09-01,05D,923.0003800000001,142.844
2020-03-01,05V,724.37388,150.066
2020-06-01,05V,641.09158,150.02800000000002
2021-05-01,06H,4191.170440000001,995.5860000000002
2022-09-01,06K,2737.7032400000003,618.0550000000002
2022-04-01,06N,2728.0909800000004,669.7539999999999
2020-02-01,07H,1345.9016900000001,319.0690000000001
2018-07-01,10R,1703.8899999999996,230.26199999999997
2019-09-01,11X,2696.211409999999,582.7269999999999
2019-02-01,11X,3322.98654,580.096
2019-04-01,14Y,3085.00927,564.9630000000002
2018-12-01,15A,3509.6601000000005,549.821
2022-11-01,15E,6608.194730000002,1579.1730000000002
2022-07-01,15N,5378.971660000002,1272.9759999999999
2018-03-01,26A,8803.530600000002,1052.4020000000005
2021-01-01,36L,7243.254500000004,1711.031
2019-10-01,36L,8513.120220000004,1701.6059999999993
2021-06-01,91Q,8845.622579999992,1942.2400000000016
2022-05-01,91Q,8742.314649999998,1966.3160000000005
2021-12-01,91Q,9171.55659,1956.9129999999989
2022-10-01,91Q,8208.809129999998,1976.0999999999995
2019-07-01,92A,5391.64792,1097.8200000000002
2021-09-01,93C,7588.326589999998,1717.4509999999993
2022-03-01,93C,7803.061659999999,1747.3590000000008
2020-07-01,93C,7756.859399999999,1684.0100000000002
2021-07-01,93C,7743.5148299999955,1712.9629999999997
2023-01-01,93C,6005.939620000004,1775.320000000001
2018-05-01,93C,13047.03151000001,1618.5920000000008
2018-01-01,99A,4462.274879999999,531.777
2019-05-01,99G,1013.9074700000003,189.45999999999995
2022-02-01,99G,791.2757899999998,190.41299999999998
2022-12-01,99G,734.22657,190.857
2019-08-01,99G,1081.14433,189.92999999999998
2022-01-01,99G,851.2721300000002,190.37500000000003
2020-05-01,D2P2L,5283.09382,1274.593000000001
2020-11-01,D2P2L,5254.024649999998,1273.5770000000002
2020-12-01,D2P2L,5817.8358400000025,1274.5720000000001
2019-01-01,M2L0M,3057.32025,500.98400000000015
2018-11-01,M2L0M,3174.11794,500.29499999999985
2022-08-01,W2U3Z,11149.347549999997,2789.9219999999987
2018-04-01,W2U3Z,18368.437820000003,2433.192999999999
2018-02-01,W2U3Z,18343.964460000025,2421.985000000001
2021-03-01,W2U3Z,11632.931459999998,2649.98
2022-02-01,00N,108.17402000000001,158.757
2021-07-01,00N,135.6818,158.73100000000002
2020-08-01,00N,97.65942000000001,158.303
2019-09-01,00N,165.09434000000002,158.308
2019-11-01,00N,176.96258,158.40699999999998
2021-09-01,00N,159.41568,158.766
2022-01-01,00N,86.02027999999999,158.71299999999997
2021-06-01,00N,135.55606000000003,158.615
2020-07-01,00N,190.38051,158.313
2020-09-01,00N,157.91561,158.28
2021-02-01,00N,125.74034,158.26899999999998
