"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.11M",2,2,2,2,2,2,-0.0873546669010032,-0.0317237610657337,0.503892518513038,2.84095840007749,1.28072090254718,1.56023749753031,0.549194066864109
"2","ratio_quantity.11N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.11X",2,2,2,2,2,2,-0.180492636852846,-0.023122607405669,0.500212201284447,7.98638726137493,4.73889804079137,3.24748922058356,0.406628067773473
"4","ratio_quantity.12F",2,21,21,21,21,21,-0.356766237238964,-0.0398721495901577,0.62332757690608,9.30452152272349,8.15980644687271,1.14471507585078,0.123027828250508
"5","ratio_quantity.13T",2,6,6,6,6,6,-0.390449309419658,-0.18266518232152,0.717645454598287,2.52796289825678,1.43982304613936,1.08813985211742,0.430441385381001
"6","ratio_quantity.14L",2,11,11,11,11,11,-0.300634213489031,-0.0157361805134889,0.531736333256034,19.4052837331949,11.4899341029115,7.91534963028348,0.407896619246199
"7","ratio_quantity.14Y",2,17,17,19,19,19,0.0483983999719351,0.0101457717368709,0.570650882240796,5.4716175641112,6.15011857379176,-0.678501009680559,-0.124003734129904
"8","ratio_quantity.15A",5,11,11,11,11,15,-1.13990196798803,-0.178355682395329,0.529256144433768,6.80460803889946,2.49704550995586,4.3075625289436,0.633036099113842
"9","ratio_quantity.15C",2,2,2,2,2,2,-0.108016767599791,-0.019643930009753,0.508368500200119,5.61092177643659,1.99880763389315,3.61211414254344,0.643764836949383
"10","ratio_quantity.15E",5,6,6,6,6,6,-0.258897521486917,-0.028937507318034,0.528343561786195,9.20567785890633,4.30550418002869,4.90017367887763,0.532299060860228
"11","ratio_quantity.15F",2,7,7,7,7,7,-0.171380992371881,-0.0497378659175339,0.504370870045522,3.61706546657175,1.238524163235,2.37854130333676,0.657588679364196
"12","ratio_quantity.15M",2,6,6,6,6,6,-0.255429534196089,-0.0576129997737784,0.522087868790324,4.68896945051794,1.26424567075376,3.42472377976418,0.730378778515156
"13","ratio_quantity.15N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.16C",1,12,12,12,12,12,-0.0403106747248408,-0.00956974440170288,0.52,4.25261489443501,2.23708115819297,2.01553373624204,0.473951624182941
"15","ratio_quantity.18C",3,2,2,2,2,2,-0.735837391968129,-0.268167925721121,0.531378961678632,4.11540877110306,1.34586972257313,2.76953904852992,0.672968155187073
