month,code,numerator,denominator
2020-02-01,00L,1285.61087,328.541
2022-06-01,00L,3645.4629400000003,333.64
2019-03-01,00L,2614.47322,326.88599999999997
2020-12-01,00L,3990.0969700000005,329.98999999999995
2022-11-01,00L,183.80392,334.9599999999999
2022-04-01,00L,1591.33507,333.3459999999999
2020-01-01,00L,4141.79501,328.42
2019-07-01,00L,4631.10758,327.63600000000014
2019-04-01,00L,1604.7032499999998,326.91400000000004
2021-01-01,00L,6705.435850000001,330.13500000000005
2020-05-01,00L,2310.01932,328.7610000000001
2021-11-01,00L,2132.30737,332.84600000000006
2021-09-01,00L,3273.5835899999997,332.7180000000001
2018-02-01,00L,5989.86952,324.98100000000005
2021-02-01,00L,1613.96375,330.3790000000001
2020-07-01,00L,3621.2592299999997,328.92400000000004
2019-10-01,00L,2285.57741,328.26599999999996
2019-09-01,00L,1342.56862,328.1139999999999
2022-01-01,00L,799.96555,333.05000000000007
2018-07-01,00L,4886.049510000001,325.83699999999993
2020-09-01,00L,2953.43867,329.489
2022-03-01,00L,2109.6546799999996,333.25199999999995
2018-09-01,00L,5729.176520000001,326.3540000000001
2023-01-01,00L,2894.49197,335.1449999999999
2020-10-01,00L,3641.30875,329.6820000000001
2018-04-01,00L,6640.10815,325.159
2020-03-01,00L,1694.74892,328.633
2021-05-01,00L,6702.18544,331.46199999999993
2018-08-01,00L,5792.69902,326.10800000000006
2022-07-01,00L,891.81736,333.92799999999994
2022-02-01,00L,1847.44936,333.16300000000007
2021-10-01,00L,2654.50907,332.816
2021-04-01,00L,1404.9953500000001,331.11299999999994
2020-08-01,00L,2901.97613,329.248
2021-03-01,00L,2435.96883,330.62399999999997
2019-12-01,00L,2204.7221600000003,328.40999999999997
2019-01-01,00L,3496.4338300000004,326.5339999999999
2022-09-01,00L,1889.93644,334.575
2020-06-01,00L,2947.42261,328.73199999999997
2018-03-01,00L,5659.59608,325.14799999999997
2021-12-01,00L,1976.1031200000002,332.99399999999997
2018-11-01,00L,3425.84382,326.2660000000001
2019-11-01,00L,3813.97259,328.31599999999986
2019-05-01,00L,3206.88886,327.14500000000004
2021-07-01,00L,2334.81986,332.0899999999999
2022-05-01,00L,1290.0971100000002,333.508
2018-05-01,00L,5636.27622,325.449
2022-10-01,00L,2894.1611,334.68499999999995
2018-01-01,00L,4376.59871,324.86
2021-08-01,00L,5078.83181,332.393
2022-08-01,00L,784.37714,334.2319999999999
2020-11-01,00L,2299.46166,329.88700000000006
2021-06-01,00L,1478.17157,331.6259999999999
2018-12-01,00L,4159.36509,326.405
2019-08-01,00L,200.23018,327.8489999999999
2020-04-01,00L,3771.12306,328.83400000000006
2019-06-01,00L,3181.9141600000003,327.3910000000001
2019-02-01,00L,2834.58347,326.6740000000001
2018-06-01,00L,5664.19458,325.60200000000003
2022-12-01,00L,1048.57203,335.121
2018-10-01,00L,6379.224740000001,326.2900000000001
2019-05-01,00N,2559.3581999999997,157.94299999999998
2020-03-01,00N,3995.40336,158.617
2019-08-01,00N,2602.81488,158.24
2020-07-01,00N,2670.68192,158.31300000000002
2019-06-01,00N,1958.62112,158.08400000000003
2022-07-01,00N,2033.6005099999998,158.918
2021-03-01,00N,2755.0919,158.311
2021-06-01,00N,2332.73935,158.615
2022-10-01,00N,2227.45081,159.12099999999998
2018-07-01,00N,4350.0979800000005,157.38899999999998
2020-09-01,00N,3061.8223500000004,158.28000000000003
2018-04-01,00N,3057.8431199999995,157.145
2019-04-01,00N,2772.93331,157.93600000000004
2020-04-01,00N,3684.2396099999996,158.561
2018-03-01,00N,3075.7378800000006,157.031
2022-09-01,00N,2098.3971300000003,159.03099999999998
2022-12-01,00N,2295.67477,159.17700000000002
2022-06-01,00N,1781.12539,158.89200000000002
2019-09-01,00N,2505.77534,158.308
2021-04-01,00N,3071.66317,158.45299999999997
2022-11-01,00N,1836.61029,159.176
2021-12-01,00N,2852.0658,158.71299999999997
2018-12-01,00N,4580.10126,157.79000000000002
2020-05-01,00N,2540.86664,158.34799999999998
2020-12-01,00N,2427.4432500000003,158.301
2020-11-01,00N,3066.9087400000003,158.29
2022-04-01,00N,993.63681,158.82699999999997
2021-10-01,00N,1568.96866,158.755
2018-10-01,00N,4527.78855,157.64
2021-05-01,00N,2745.90033,158.54299999999998
2021-07-01,00N,2598.4428799999996,158.73099999999997
2022-02-01,00N,1839.0448,158.757
2019-01-01,00N,3332.2771099999995,157.721
2018-09-01,00N,4545.10133,157.57899999999998
2021-01-01,00N,2743.25695,158.29500000000002
2023-01-01,00N,3089.44425,159.12200000000004
2019-02-01,00N,2706.28388,157.812
2022-03-01,00N,2493.21,158.81899999999996
2021-09-01,00N,2093.0704299999998,158.76600000000002
2022-05-01,00N,1312.91029,158.795
2022-08-01,00N,2229.17231,158.963
2019-11-01,00N,3397.25326,158.40699999999998
2021-02-01,00N,2561.7740400000002,158.26899999999995
2018-01-01,00N,4015.98141,156.91000000000003
2020-08-01,00N,2870.03459,158.303
2018-08-01,00N,4801.44068,157.53900000000002
2021-08-01,00N,2075.65758,158.71399999999997
2020-01-01,00N,2671.83825,158.463
2019-12-01,00N,1171.66749,158.472
2018-05-01,00N,4410.6092499999995,157.17300000000003
2019-07-01,00N,1429.59713,158.113
2020-02-01,00N,3671.12509,158.52499999999998
2018-06-01,00N,4282.582289999999,157.27699999999996
2020-10-01,00N,2995.5007100000003,158.263
2021-11-01,00N,2849.8550600000003,158.67900000000003
2020-06-01,00N,3253.89032,158.27399999999997
2022-01-01,00N,1837.69324,158.713
2019-10-01,00N,2875.72649,158.36999999999998
2019-03-01,00N,3718.60841,157.834
2018-11-01,00N,4480.11863,157.68100000000004
2018-02-01,00N,2915.78875,157.02300000000002
2021-03-01,00P,4444.47688,284.2340000000001
2020-06-01,00P,4713.50995,283.947
2018-01-01,00P,5231.01312,284.1570000000001
2021-05-01,00P,4830.92366,284.39699999999993
2019-11-01,00P,4440.89948,284.365
2021-11-01,00P,5520.64546,285.248
2018-12-01,00P,6335.74412,284.203
2018-03-01,00P,5523.341700000001,283.946
2018-08-01,00P,5746.333559999999,284.132
2019-12-01,00P,3750.85776,284.465
2018-11-01,00P,7272.48208,284.04299999999984
2022-08-01,00P,4386.43778,286.98199999999997
2021-04-01,00P,4240.56069,284.34600000000006
2022-06-01,00P,3232.17908,286.85300000000007
2021-02-01,00P,4056.45186,284.133
2019-02-01,00P,5138.8669899999995,283.957
2018-09-01,00P,6560.65763,284.26300000000003
2020-08-01,00P,4485.78419,284.089
2019-07-01,00P,5974.0312699999995,284.16099999999994
2020-09-01,00P,5620.19937,284.11199999999997
2022-11-01,00P,3296.22271,288.0969999999999
2020-12-01,00P,5151.2158899999995,284.09399999999994
2020-10-01,00P,4378.1012,284.10599999999994
2018-07-01,00P,6133.803269999999,284.02500000000003
2022-12-01,00P,3935.4834900000005,288.8639999999999
2021-12-01,00P,3269.78223,285.70699999999994
2019-05-01,00P,6779.713659999999,284.106
2022-03-01,00P,4133.53398,286.16
