name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,0,,,,,,,,,,,,
00N,2,12.0,12.0,12.0,12.0,12.0,-1.5178258054248,-0.062362331281494,0.59815929238704,25.856649807586603,13.169178219812,12.687471587774699,0.490685053252801
00P,1,12.0,12.0,12.0,12.0,12.0,-0.175259887286974,-0.00826724371336909,0.52,21.374572906638104,12.6115785422894,8.7629943643487,0.409972840281981
00R,5,2.0,2.0,2.0,2.0,2.0,-0.767037399253393,-626.164180305133,1.02559213315706,0.747897116656152,1.0658141036401501e-14,0.747897116656142,0.999999999999986
00T,3,37.0,37.0,42.0,42.0,37.0,5.46205454629573,0.4633737568084,29.478302673828,6.32552398192513,6.51081465509353,-0.1852906731684,-0.0292925414080888
00V,2,45.0,45.0,46.0,46.0,46.0,-0.699072557041924,-0.0659332178476257,0.519724063788324,3.4528281137440597,0.11664847207320901,3.33617964167085,0.9662165424311491
00X,5,9.0,9.0,9.0,9.0,26.0,-0.661173046624843,-0.0715189129921522,0.537742828011759,9.42688506444105,0.00497152450537186,9.42191353993568,0.9994726227729109
00Y,0,,,,,,,,,,,,
01A,8,48.0,48.0,48.0,48.0,50.0,-1.06587636175784,-1.0012750249987,209.764524979207,0.00508129943260409,1.05890331548755,-1.0538220160549499,-207.392229100516
01D,17,2.0,2.0,5.0,5.0,8.0,-8.88976784134759,-1.75736785184993,1.96451042603044,4.45568806117598,0.00301922319255254,4.452668837983429,0.999322389011282
01E,1,13.0,13.0,13.0,13.0,13.0,-0.0654645684567053,-0.0202232311311142,0.510204081632653,3.30256194583799,0.09479809145943198,3.2077638543785603,0.971295590207203
01F,9,5.0,5.0,10.0,10.0,13.0,-24.568233111406897,-1.06555587588742,1.8202752494521999,12.938592412381999,0.0529957475952187,12.885596664786698,0.9959040561827651
01G,2,12.0,12.0,12.0,12.0,12.0,-0.694537479978189,-0.256894703702591,0.525614402193763,3.39812564262968,0.7553613763561949,2.64276426627349,0.77771234621812
01H,0,,,,,,,,,,,,
01J,2,8.0,8.0,8.0,8.0,8.0,-8.24628958102523,-10.824582175650301,1.0084098589822,9.008100932928961,0.8305831235054479,8.17751780942351,0.90779597945342
01K,0,,,,,,,,,,,,
01T,2,5.0,5.0,5.0,5.0,5.0,-1.22358363682983,-0.30010454851211604,0.720781007949109,5.3007748786694195,0.208033990651103,5.09274088801832,0.960754041548106
01V,2,37.0,37.0,37.0,37.0,37.0,-9.611581006661039,-453.893208848792,1.11043749958195,9.35394961345813,0.698279204020878,8.65567040943726,0.9253492660451991
01W,0,,,,,,,,,,,,
01X,2,57.0,57.0,57.0,57.0,60.0,-7.974227899962719,-1.5062104558571698,5.93144977926929,0.426212862200956,7.0560429847715405,-6.6298301225705805,-15.555208935587402
01Y,1,23.0,23.0,23.0,23.0,23.0,-0.12584186379050802,-0.0194541467410131,0.512820512820513,6.594481453375231,1.6866487655454099,4.907832687829821,0.744233299089478
02A,2,39.0,39.0,50.0,50.0,50.0,-0.926209258983486,-0.125041355004022,0.8785082050215559,6.58850387236762,4.4799082925215306,2.10859557984609,0.320041639299872
02E,3,14.0,14.0,23.0,23.0,23.0,-4.1663641617416,-1.56999486219221,1.70307321143701,2.43422608074435,0.00130273039033568,2.43292335035402,0.9994648276917909
02G,0,,,,,,,,,,,,
02H,2,33.0,33.0,36.0,36.0,36.0,-0.200128365990295,-0.0718158654993583,0.586683708642823,1.50706552362701,0.142593573633704,1.36447194999331,0.905383295285975
02M,0,,,,,,,,,,,,
02P,0,,,,,,,,,,,,
02Q,1,9.0,9.0,9.0,9.0,9.0,-0.35569007204018294,-0.0105981470332526,0.5094339622641509,33.9172240764444,15.0656502583148,18.851573818129697,0.555811223690978
02T,2,27.0,27.0,28.0,28.0,28.0,-0.904404753748288,-0.0316075450144839,0.514596205060322,10.166336179296199,0.5770242773411379,9.589311901955028,0.943241668663657
02X,0,,,,,,,,,,,,
02Y,4,43.0,43.0,43.0,43.0,48.0,-13.813175687580399,-2.77956367721906,141.374388228211,1.7531861688775603,1.6554798172484197,0.0977063516291419,0.0557307337712436
03F,0,,,,,,,,,,,,
03H,15,2.0,2.0,3.0,3.0,13.0,-6.87501426784093,-2.56417871560852,56.2836495734571,0.547025288441569,0.42487588413069605,0.12214940431087401,0.22329754563791201
03K,0,,,,,,,,,,,,
03L,5,11.0,11.0,11.0,11.0,13.0,-0.89513956962984,-0.0495422351635175,0.505426382441299,18.480099714579,4.31163363164667,14.1684660829323,0.766687750702707
03N,2,30.0,30.0,32.0,32.0,32.0,-0.332989392588331,-0.0266226659799654,0.541533421850268,9.35760214963148,5.668196704066191,3.68940544556529,0.39426825233327395
03Q,1,37.0,37.0,37.0,37.0,37.0,-0.238203871556675,-0.0286893636990613,0.52,8.54106740158571,2.58597061266883,5.9550967889168795,0.69723097932833
03R,0,,,,,,,,,,,,
03W,0,,,,,,,,,,,,
04C,0,,,,,,,,,,,,
04V,0,,,,,,,,,,,,
04Y,0,,,,,,,,,,,,
05D,0,,,,,,,,,,,,
05G,0,,,,,,,,,,,,
05Q,6,16.0,16.0,16.0,16.0,33.0,-13.5750828202435,-0.6486371495256,1.0092699882936802,19.502836827570697,6.05243903738744,13.450397790183198,0.689663658118122
05V,2,25.0,25.0,25.0,25.0,25.0,-11.3965353066399,-0.388685308911689,1.40323297240571,40.7172609562664,32.595633592350104,8.121627363916321,0.19946399077874102
05W,0,,,,,,,,,,,,
06H,2,15.0,15.0,15.0,15.0,15.0,-3.3600688242340397,-0.17973372763371104,0.500578629760657,22.0547727536029,8.63003336414633,13.4247393894566,0.608699964376803
06K,2,9.0,9.0,9.0,9.0,9.0,-5.36416233730162,-0.24133751645865897,0.6099833532988129,27.5909690767357,10.0030716093966,17.587897467339097,0.637451240600641
06L,2,22.0,22.0,28.0,28.0,28.0,-0.31217990945571994,-0.0393876637489586,0.5421504794197229,6.828597529966719,2.79787276047288,4.0307247694938395,0.5902712455676811
06N,1,4.0,4.0,4.0,4.0,4.0,-0.169527544920481,-0.0101755237793142,0.517241379310345,16.8298536959058,6.997256090517941,9.8325976053879,0.58423547720916
06Q,2,12.0,12.0,12.0,12.0,12.0,-2.9814723301174997,-0.0613243814512791,0.633319066742153,51.59953026334289,32.7687545189495,18.8307757443934,0.36494083663724897
06T,0,,,,,,,,,,,,
07G,4,6.0,6.0,8.0,8.0,16.0,-11.3773419705344,-0.6186449850307529,0.970247378072558,11.9225226333199,0.19629463450166895,11.726227998818299,0.983535813641227
07H,2,2.0,2.0,2.0,2.0,2.0,-2.23709438293845,-0.0513399124233132,0.5595966159076341,45.811270444886595,9.832050996266359,35.9792194486203,0.785379211255561
07K,15,17.0,17.0,18.0,18.0,30.0,-17.7679221504454,-0.479293878097189,1.20094453556337,36.4319863807491,21.637029890847398,14.7949564899016,0.406097991344205
09D,5,8.0,8.0,8.0,8.0,30.0,-0.851632449970716,-0.13532967191286902,0.6840820176825779,6.41043879954708,1.4307291860376599,4.97970961350943,0.7768125972688891
10Q,15,2.0,2.0,3.0,3.0,9.0,-3.7521798273819202,-0.9957385514517281,1.5321797556982901,2.5887635895370797,0.139847388009573,2.44891620152751,0.945979081066039
10R,3,22.0,22.0,27.0,27.0,27.0,-14.6865795313818,-1.00773519157691,2.5535082394981803,12.217951035070698,6.466420922809111,5.751530112261619,0.47074424310199603
11J,17,2.0,2.0,3.0,3.0,10.0,-25.500727630970804,-2.76630303311346,2.69938851710388,11.608309663383999,2.1614562484744497,9.446853414909588,0.8138009485315241
11M,2,14.0,14.0,14.0,14.0,14.0,-2.13393538332248,-0.340651664830743,0.7583343936992021,8.39820943107375,2.77025585003408,5.6279535810396695,0.670137322393509
11N,2,14.0,14.0,14.0,14.0,14.0,-1.4975190494757598,-0.10618478600038002,0.628246208331377,15.600472079586899,6.06587223884503,9.534599840741881,0.6111738024401079
11X,2,18.0,18.0,18.0,18.0,18.0,-0.316074713583252,-0.0806841692741246,0.5054438784926389,6.12589935291028,0.497831543022471,5.62806780988781,0.918733313372842
12F,3,28.0,28.0,38.0,38.0,38.0,-0.367393473410089,-0.10097423827140302,0.503778241172665,3.4874613579438996,0.570356621106589,2.9171047368373197,0.8364550707329258
13T,2,13.0,13.0,13.0,13.0,13.0,-2.5608799478189304,-0.7910791403102471,0.509434797398639,5.79807812095569,0.7711738715881179,5.02690424936758,0.8669949152977249
