"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.11M",2,2,2,2,2,2,-0.450847936271897,-7.12474127715774,0.87164639015611,0.514127137401254,0.000265664812630462,0.513861472588623,0.999483270200493
"2","ratio_quantity.11N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.11X",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.12F",15,2,2,2,2,4,-0.138033126355595,-1.37214320894503,2.74818956312104,0.0502269305610899,1.6958287416604e-15,0.0502269305610882,0.999999999999966
"5","ratio_quantity.13T",15,2,2,2,2,15,-0.177781929343635,-4.19854757244382,1.1347234855586,0.152431289158048,0.000255049535208052,0.15217623962284,0.998326790145141
"6","ratio_quantity.14L",3,9,9,10,10,9,0.495044471804721,0.916581044979138,22.8093071742618,0.0450544910927594,0.0667581083057947,-0.0217036172130353,-0.481719284507094
"7","ratio_quantity.14Y",3,43,43,43,43,43,0.472386436944096,0.945894455582713,13.2587213827891,0.0270206947459667,0.0626490500983383,-0.0356283553523716,-1.31855807881067
"8","ratio_quantity.15A",3,2,2,2,2,2,-0.327143765571322,-3.5164041002618,0.777133238161222,0.42017737497559,4.14346689771028e-05,0.420135940306613,0.999901387672338
"9","ratio_quantity.15C",7,2,2,2,2,2,-1.20648943410941,-2.61412038176688,0.716070841384201,1.66801731267404,0.000550243017485741,1.66746706965655,0.999670121518941
"10","ratio_quantity.15E",1,9,9,9,9,9,-0.00712604047342791,-0.0192318997934358,0.509433962264151,0.377658361771199,0.00710425715294793,0.370554104618251,0.98118866713389
"11","ratio_quantity.15F",2,2,2,2,2,2,-0.0343215423240604,-0.134487887359752,0.551828153325165,0.289523278315726,0.00188761723100472,0.287635661084722,0.993480257470191
"12","ratio_quantity.15M",8,2,2,2,2,4,-0.128194435977109,-1.36665792725478,0.680989470921526,0.188645826971861,0.000398517063185722,0.188247309908675,0.997887485402764
"13","ratio_quantity.15N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.16C",3,7,7,8,8,8,-0.480707291202879,-0.842959261731125,6.90846660891441,0.11260343516721,0.0430210924541967,0.0695823427130129,0.61794156288116
"15","ratio_quantity.18C",15,2,2,2,2,9,-0.465516527601303,-16.4384336262901,4.92607962927952,0.0893242968373966,0.000291695809966436,0.0890326010274302,0.996734418066594
