"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",2,11,11,11,11,11,-2.71095930415205,-0.118896111686688,0.707119452688476,25.5120355184517,17.8444220937468,7.66761342470485,0.300548869146847
"2","ratio_quantity.99A",2,11,11,31,31,11,-0.825367993012935,-0.00909274565757043,0.733675184692971,91.5975092247158,89.3475544484524,2.24995477626338,0.0245634929956837
"3","ratio_quantity.99C",2,6,6,6,6,6,-1.0957387736981,-0.035507058250957,0.546934178264661,31.955484065849,13.9247056738816,18.0307783919674,0.564246761363787
"4","ratio_quantity.99E",1,23,23,23,23,23,-0.109979619063904,-0.0139029234320632,0.512820512820513,8.02051869390818,3.73131355041591,4.28920514349226,0.534779022053779
"5","ratio_quantity.99F",1,30,30,30,30,30,-0.0678094583050257,-0.0167776942327728,0.53125,4.10945292636691,1.93955026060609,2.16990266576082,0.528027137587677
"6","ratio_quantity.99G",1,9,9,9,9,9,-0.081578256643499,-0.010717179705673,0.509433962264151,7.69349285394343,3.36984525183798,4.32364760210545,0.561987602274732
"7","ratio_quantity.A3A8R",2,7,7,7,7,7,-0.10876655831476,-0.0111923837938856,0.513746309485779,9.82667476426632,6.65098601556386,3.17568874870247,0.32317023050875
"8","ratio_quantity.B2M3M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.D2P2L",2,13,13,13,13,13,-0.387224090906291,-0.0273528277024361,0.622142724431711,14.5438624874478,11.4318427233334,3.11201976411439,0.213974779175769
"10","ratio_quantity.D4U1Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.D9Y0V",2,2,2,2,2,2,-0.585818386949966,-0.0190815910994824,0.507923464839966,31.2865279816471,16.2928536241353,14.9936743575118,0.479237401040704
"12","ratio_quantity.M1J4Y",2,14,14,14,14,14,-0.638178309180421,-0.035379352462152,0.566557057685237,18.6763351653052,10.7914308936778,7.88490427162735,0.422186912038024
"13","ratio_quantity.M2L0M",2,17,17,17,17,17,-0.266996540550964,-0.0194160355044811,0.669033774970573,14.0183383368379,12.821104876258,1.19723346057996,0.0854048056062264
"14","ratio_quantity.W2U3Z",2,12,12,12,12,12,-0.484234618791052,-0.0131620089945227,0.520316270194985,37.2745619155253,30.7599812158537,6.5145806996716,0.174772830715904
"15","ratio_quantity.X2C4Y",6,13,13,13,13,32,-2.75923353901974,-0.192713697036744,0.543045930371134,16.178230555399,11.0971989433326,5.0810316120664,0.314065966279035
