month,code,numerator,denominator
2022-10-01,00Q,501.94701,181.97699999999998
2022-03-01,00Q,222.53568,181.242
2022-06-01,00Q,333.77308,181.45999999999998
2018-04-01,00Q,625.13454,174.986
2021-06-01,00Q,595.4278899999999,179.871
2023-01-01,00Q,271.56993,182.40599999999998
2020-09-01,00Q,257.0561,178.871
2019-03-01,00Q,802.35921,176.697
2018-06-01,00Q,536.08315,175.29899999999995
2018-05-01,00Q,1079.2988500000001,175.101
2021-05-01,00Q,549.19433,179.66700000000003
2022-11-01,00Q,508.99203,182.088
2020-05-01,00Q,364.36888,178.512
2020-03-01,00Q,258.90643,178.50399999999996
2019-08-01,00Q,812.4257299999999,177.59
2021-12-01,00Q,485.33959999999996,180.82800000000003
2020-02-01,00Q,259.43676,178.37
2020-01-01,00Q,959.5110500000001,178.316
2018-10-01,00Q,849.52364,175.887
2022-04-01,00Q,392.86737,181.344
2021-07-01,00Q,833.8386600000001,180.112
2020-04-01,00Q,326.37158,178.55700000000002
2018-01-01,00Q,950.0056,174.629
2022-09-01,00Q,327.42461,181.92799999999997
2019-01-01,00Q,1108.2806,176.318
2019-10-01,00Q,80.8325,177.81500000000003
2022-07-01,00Q,296.95523,181.61499999999998
2020-07-01,00Q,332.18746,178.666
2022-12-01,00Q,459.41403,182.31999999999996
2018-07-01,00Q,1417.4156300000002,175.43500000000003
2022-02-01,00Q,421.97924,181.088
2022-05-01,00Q,578.9066200000001,181.458
2021-09-01,00Q,833.4101900000001,180.55299999999997
2020-06-01,00Q,262.60302,178.527
2021-04-01,00Q,493.87471,179.55200000000002
2021-08-01,00Q,831.91541,180.38699999999997
2021-11-01,00Q,182.82842,180.71699999999998
2018-08-01,00Q,755.80982,175.584
2021-02-01,00Q,756.7536,179.39699999999993
2019-05-01,00Q,544.40563,177.00799999999998
2020-11-01,00Q,464.27124,179.053
2022-08-01,00Q,352.45967,181.67400000000004
2019-09-01,00Q,445.95001,177.75700000000003
2020-12-01,00Q,871.86464,179.05000000000004
2018-02-01,00Q,778.579,174.738
2019-02-01,00Q,1108.95679,176.51799999999997
2019-07-01,00Q,753.9784,177.37399999999997
2020-10-01,00Q,238.32282,178.88000000000002
2021-10-01,00Q,527.72601,180.64800000000002
2019-12-01,00Q,182.19681,178.12900000000002
2019-04-01,00Q,868.9266399999999,176.92100000000005
2022-01-01,00Q,421.66913,180.95800000000003
2020-08-01,00Q,257.38031,178.82999999999998
2018-03-01,00Q,321.28797,174.843
2018-12-01,00Q,263.74685,176.20199999999997
2018-09-01,00Q,352.19014,175.768
2021-01-01,00Q,501.25327000000004,179.302
2019-11-01,00Q,880.51318,177.97300000000004
2021-03-01,00Q,1010.9320799999999,179.447
2019-06-01,00Q,288.28185,177.18099999999998
2018-11-01,00Q,1185.3607299999999,176.03999999999996
2022-01-01,00R,846.8243300000001,175.74499999999998
2019-03-01,00R,2183.91324,174.19299999999998
2021-06-01,00R,1649.94411,175.04
2020-12-01,00R,1401.83603,174.90800000000002
2021-11-01,00R,1035.75604,175.469
2018-11-01,00R,2999.8948899999996,173.96900000000002
2020-10-01,00R,1237.78402,174.937
2021-12-01,00R,1088.56644,175.476
2022-06-01,00R,768.96018,176.53300000000002
2020-07-01,00R,1724.08328,174.734
2023-01-01,00R,1305.0547100000001,176.993
2018-10-01,00R,2000.4366599999998,173.88100000000003
2019-02-01,00R,2752.52225,174.08400000000003
2021-07-01,00R,944.8229200000001,175.072
2019-01-01,00R,2365.02974,174.035
2022-09-01,00R,338.20475,176.67600000000002
2020-11-01,00R,1071.07097,175.078
2019-09-01,00R,2380.34962,174.767
2021-04-01,00R,1540.30476,174.96999999999997
2019-07-01,00R,1534.6060999999997,174.51199999999997
2020-03-01,00R,1764.8931,174.76299999999998
2022-12-01,00R,897.4749999999999,177.016
2021-03-01,00R,1402.1614,174.96
2022-02-01,00R,875.3522699999999,176.13400000000001
2021-01-01,00R,1147.5423,174.93500000000003
2022-08-01,00R,829.0666699999999,176.638
2022-07-01,00R,853.12473,176.58899999999997
2018-09-01,00R,3347.13356,173.82699999999994
2021-05-01,00R,1100.69328,175.02200000000002
2021-02-01,00R,1594.9752900000003,174.994
2018-02-01,00R,3098.7194299999996,173.11900000000003
2020-06-01,00R,1608.30769,174.66000000000003
2018-12-01,00R,3889.3219799999997,174.03499999999997
2022-05-01,00R,717.4979600000001,176.47199999999998
2018-05-01,00R,2043.9144299999998,173.32600000000005
2022-10-01,00R,1189.15168,176.731
2021-10-01,00R,732.9043000000001,175.17800000000003
2019-05-01,00R,2591.9102600000006,174.28399999999996
2018-04-01,00R,3974.3471900000004,173.257
2022-04-01,00R,540.55137,176.35000000000002
2019-04-01,00R,2593.10722,174.19399999999996
2018-06-01,00R,3947.4542800000004,173.407
2018-07-01,00R,2591.98145,173.54199999999994
2020-05-01,00R,1490.7134600000002,174.646
2020-02-01,00R,1537.77213,174.72800000000004
2022-11-01,00R,850.0933600000001,176.829
2018-01-01,00R,3931.9434,173.16699999999997
2020-04-01,00R,2231.29573,174.729
2019-11-01,00R,1373.5393299999998,174.744
2018-08-01,00R,2976.7096600000004,173.65699999999998
2020-09-01,00R,1423.86619,174.85500000000002
2019-06-01,00R,2593.78475,174.43099999999998
2019-10-01,00R,1856.9491000000003,174.776
2021-08-01,00R,992.9425100000001,175.083
2020-01-01,00R,2684.05264,174.81300000000002
2022-03-01,00R,1500.3919399999995,176.20799999999997
2019-08-01,00R,2856.58729,174.665
2021-09-01,00R,1133.50812,175.17999999999998
2019-12-01,00R,2262.75695,174.772
2018-03-01,00R,2632.2982200000006,173.157
2020-08-01,00R,2084.42404,174.804
2018-04-01,00X,3464.34996,183.43200000000004
2019-09-01,00X,2247.6059699999996,186.047
2018-11-01,00X,1988.44139,184.40800000000004
2018-05-01,00X,1678.9061299999998,183.56700000000006
2022-01-01,00X,639.1380300000001,187.82699999999997
2020-11-01,00X,1296.49971,186.45999999999995
2018-03-01,00X,2310.86802,183.39600000000002
2021-05-01,00X,1045.53514,187.16000000000008
2022-08-01,00X,363.01345000000003,188.757
2018-08-01,00X,2352.39811,184.12000000000006
2018-01-01,00X,2394.90667,183.12800000000004
2022-07-01,00X,695.9730199999999,188.61
2020-10-01,00X,337.7308,186.479
2019-03-01,00X,4739.01959,185.085
2018-06-01,00X,3697.38759,183.693
2019-10-01,00X,1776.09181,186.06400000000002
2019-11-01,00X,888.78874,186.04499999999996
2018-12-01,00X,2997.26969,184.51500000000001
2022-09-01,00X,864.6189200000001,189.07700000000003
2020-09-01,00X,2023.0239800000002,186.51299999999998
2022-02-01,00X,504.98266,187.935
2019-05-01,00X,2319.05523,185.19199999999998
2021-06-01,00X,824.95965,187.2810000000001
2021-03-01,00X,2103.20494,186.80600000000004
2022-11-01,00X,513.51398,189.16499999999996
2019-02-01,00X,1185.0315,184.86899999999997
2021-09-01,00X,519.51261,187.57199999999997
2018-02-01,00X,2169.98164,183.344
