month,code,numerator,denominator
2021-09-01,00Q,2937.4775999999993,180.55299999999997
2024-02-01,00Q,2108.8409699999997,185.642
2022-08-01,00Q,2280.2478199999996,181.67400000000004
2021-04-01,00Q,2205.8549999999996,179.55200000000002
2020-03-01,00Q,4582.01628,178.50399999999996
2024-11-01,00Q,2158.4804799999997,187.52800000000002
2023-05-01,00Q,2402.3127900000004,183.18700000000004
2023-09-01,00Q,2450.45738,184.244
2023-08-01,00Q,2287.66131,183.93500000000006
2020-10-01,00Q,3639.09619,178.88000000000002
2024-08-01,00Q,2681.1256,186.79900000000004
2022-02-01,00Q,2270.3608700000004,181.088
2021-08-01,00Q,2723.56581,180.38699999999997
2020-09-01,00Q,4106.28615,178.871
2021-07-01,00Q,2650.6575700000003,180.112
2019-12-01,00Q,6017.610880000001,178.12900000000002
2024-03-01,00Q,2415.5454600000003,185.74900000000002
2021-01-01,00Q,2260.7332199999996,179.302
2022-10-01,00Q,2315.45816,181.97700000000003
2022-01-01,00Q,2771.51937,180.95800000000003
2022-05-01,00Q,2713.41625,181.458
2023-11-01,00Q,2516.9416400000005,184.74800000000002
2023-07-01,00Q,2572.0832800000003,183.66200000000003
2023-04-01,00Q,1987.9132900000002,183.00500000000002
2023-06-01,00Q,2254.1451899999997,183.412
2024-06-01,00Q,2221.91021,186.94599999999997
2024-01-01,00Q,3058.67586,185.349
2023-03-01,00Q,2303.23291,182.76
2024-10-01,00Q,2125.22397,187.28000000000006
2023-01-01,00Q,2494.64233,182.40599999999998
2020-11-01,00Q,3767.1299299999996,179.053
2021-05-01,00Q,2153.3612399999997,179.667
2022-09-01,00Q,2372.6776099999997,181.92799999999997
2021-03-01,00Q,2409.50055,179.447
2023-10-01,00Q,2429.1378400000003,184.393
2020-04-01,00Q,4483.309909999999,178.557
2022-07-01,00Q,2494.10435,181.61499999999998
2020-06-01,00Q,3973.0980800000007,178.527
2022-12-01,00Q,2335.8427599999995,182.32
2020-12-01,00Q,2674.06331,179.05000000000004
