"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",2,4,4,4,4,4,-0.282414357655752,-0.0140967584524717,0.503179494205005,20.3164071800435,12.4587717781333,7.85763540191022,0.386763039954656
"2","ratio_quantity.99A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.99C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.99E",2,17,17,17,17,17,-0.252792890729192,-0.0347819002148496,0.514631552596403,7.52073653865173,3.5910452563538,3.92969128229793,0.522514152982471
"5","ratio_quantity.99F",2,18,18,18,18,18,-0.483399787221119,-0.18049808413791,0.529142922797793,3.16154337821777,0.420886177332299,2.74065720088547,0.866873192304715
"6","ratio_quantity.99G",2,13,13,13,13,13,-0.19695870874609,-0.0857196544418911,0.565092801036298,2.49466639350592,0.751955210626783,1.74271118287914,0.698574842478232
"7","ratio_quantity.A3A8R",2,4,4,4,4,4,-0.21900726935165,-0.0404844997541209,0.560358934010295,5.62866456243349,2.50199333712737,3.12667122530612,0.555490772389239
"8","ratio_quantity.B2M3M",2,7,7,7,7,7,-0.365024162346688,-0.0447214738639918,0.538401133195869,8.52719170308585,6.49325748652899,2.03393421655686,0.238523336565872
"9","ratio_quantity.D2P2L",2,9,9,9,9,9,-0.553679218054832,-0.0495700960791016,0.512064998437608,11.7233008619447,4.15442867148179,7.56887219046287,0.645626370899718
"10","ratio_quantity.D4U1Y",2,9,9,9,9,9,-0.207526710088034,-0.0434881435726009,0.546728836511083,4.97955634942136,3.08166203482517,1.89789431459618,0.381137230190543
"11","ratio_quantity.D9Y0V",2,6,6,6,6,6,-0.197393902785472,-0.034892018486878,0.537000965513667,5.854673456839,2.54640170472045,3.30827175211855,0.565065118747838
"12","ratio_quantity.M1J4Y",6,5,5,5,5,32,-0.225286820834782,-0.0809876179406724,1.21109035276954,2.88270716066239,2.69668733124207,0.186019829420319,0.0645295616421805
"13","ratio_quantity.M2L0M",2,8,8,8,8,8,-0.135988035376448,-0.0565380521679871,0.500007113400657,2.54123600841233,0.90940279966179,1.63183320875053,0.642141541890888
"14","ratio_quantity.W2U3Z",5,8,8,8,8,8,-0.316533267655924,-0.0329807813358374,0.524303303809841,9.91403990137459,5.08426651858886,4.82977338278574,0.487165013539645
"15","ratio_quantity.X2C4Y",4,14,14,14,14,14,-3.43096294495289,-0.337804391760147,0.720502493387331,13.5876187749013,4.06381288542345,9.5238058894779,0.700917949440118
