month,code,numerator,denominator
2021-12-01,00L,355.58513,332.99399999999997
2023-04-01,00L,278.91161999999997,335.876
2024-04-01,00L,266.1096,338.729
2021-09-01,00L,236.76216,332.718
2024-07-01,00L,126.9972,339.93399999999997
2026-01-01,00L,42.3324,344.235
2022-10-01,00L,237.15883,334.685
2021-10-01,00L,315.55693,332.8160000000001
2023-03-01,00L,238.06091,335.54599999999994
2022-11-01,00L,316.60802,334.9599999999999
2023-06-01,00L,438.27108,336.178
2024-11-01,00L,42.3324,341.329
2022-03-01,00L,356.23598000000004,333.2520000000001
2026-04-01,00L,42.3324,344.83700000000016
2022-08-01,00L,356.01634,334.2319999999999
2023-11-01,00L,477.18498,337.59800000000007
2024-10-01,00L,84.6648,341.043
2023-07-01,00L,252.15174,336.46399999999994
2025-07-01,00L,42.3324,342.7050000000001
2024-02-01,00L,119.6396,338.33300000000014
2026-05-01,00L,42.3324,345.016
2022-05-01,00L,277.18849,333.50800000000004
2023-02-01,00L,208.42755,335.3629999999999
2023-09-01,00L,277.04022,337.17400000000004
2026-06-01,00L,84.6648,345.03700000000003
2025-10-01,00L,42.3324,343.72900000000004
2026-02-01,00L,42.3324,344.39200000000005
2022-09-01,00L,276.94519,334.575
2024-03-01,00L,199.11106,338.53200000000004
2023-08-01,00L,317.13174000000004,336.76200000000006
2021-06-01,00L,473.0005,331.626
2022-07-01,00L,277.05114,333.92800000000005
2024-06-01,00L,170.9196,339.63000000000005
2022-04-01,00L,237.63512000000003,333.34600000000006
2025-03-01,00L,42.3324,341.8359999999999
2021-07-01,00L,236.81385999999998,332.0899999999999
2023-12-01,00L,477.51714000000004,337.824
2021-11-01,00L,236.88337,332.8459999999999
2023-05-01,00L,560.10705,336.00299999999993
2024-01-01,00L,319.17111,338.0409999999999
2024-05-01,00L,84.6324,339.429
2022-06-01,00L,356.39283,333.6400000000001
2022-02-01,00L,198.16176000000002,333.163
2022-12-01,00L,356.13009,335.12100000000004
2024-09-01,00L,42.3324,340.837
2023-01-01,00L,317.26894,335.145
2023-10-01,00L,218.04127,337.24600000000004
2026-03-01,00L,42.3324,344.604
2022-01-01,00L,277.19149,333.05000000000007
2021-08-01,00L,335.77707,332.3930000000001
2022-07-01,00N,544.78458,158.918
2025-02-01,00N,169.2972,159.965
2024-07-01,00N,582.6012,160.01100000000002
2022-09-01,00N,584.14452,159.03100000000003
2023-05-01,00N,568.70157,159.168
2022-08-01,00N,534.52748,158.963
2022-03-01,00N,822.51225,158.819
2025-05-01,00N,296.262,159.77499999999998
2024-04-01,00N,497.96880000000004,159.837
2024-02-01,00N,569.07687,159.92899999999997
2024-01-01,00N,619.28881,159.85399999999998
2021-09-01,00N,859.76114,158.76600000000002
2024-08-01,00N,444.9764,159.971
2024-03-01,00N,378.91702999999995,159.841
2026-06-01,00N,380.8944,158.718
2025-08-01,00N,338.5944,159.62199999999999
2022-10-01,00N,889.92542,159.12099999999998
2022-04-01,00N,952.0900800000001,158.827
2023-01-01,00N,803.73182,159.12199999999999
2021-11-01,00N,760.92271,158.679
2022-02-01,00N,942.69025,158.75699999999998
2023-07-01,00N,753.9665800000001,159.412
2022-11-01,00N,752.5059100000001,159.176
2022-12-01,00N,792.00774,159.17700000000002
2024-10-01,00N,519.0088000000001,159.938
2022-05-01,00N,783.1772500000001,158.79500000000002
2021-07-01,00N,1191.3757999999998,158.731
2023-11-01,00N,646.7177700000001,159.752
2023-06-01,00N,657.61753,159.281
2024-11-01,00N,529.6088,159.88800000000003
2022-01-01,00N,932.23205,158.71300000000005
2026-05-01,00N,296.28200000000004,158.907
2024-09-01,00N,487.27639999999997,159.989
2024-06-01,00N,487.29639999999995,160.024
2025-10-01,00N,296.262,159.60100000000003
2025-04-01,00N,486.8192,159.82000000000005
2025-06-01,00N,253.9296,159.684
2025-01-01,00N,486.8192,159.95299999999997
2023-04-01,00N,598.22215,159.17299999999997
2023-03-01,00N,873.4484600000001,159.12999999999997
2021-10-01,00N,839.74008,158.755
2023-02-01,00N,714.8597500000001,159.109
2024-12-01,00N,296.262,159.93
2023-10-01,00N,674.60692,159.65800000000002
2026-01-01,00N,444.3992,159.383
2025-09-01,00N,296.262,159.59999999999997
2021-08-01,00N,856.0307600000001,158.71400000000003
2026-04-01,00N,296.262,159.10900000000004
2026-02-01,00N,296.262,159.21000000000004
2025-03-01,00N,296.262,159.90900000000005
2024-05-01,00N,571.9088,159.944
2021-06-01,00N,721.14281,158.61499999999998
2022-06-01,00N,862.34869,158.89200000000002
2025-07-01,00N,296.262,159.668
2025-11-01,00N,338.5944,159.508
2023-09-01,00N,653.56419,159.605
2026-03-01,00N,296.262,159.09700000000004
2023-12-01,00N,657.14266,159.793
2021-12-01,00N,781.4642,158.713
2023-08-01,00N,605.0730400000001,159.49499999999995
2025-12-01,00N,317.4344,159.47299999999993
2023-09-01,00P,554.51784,291.15399999999994
2021-06-01,00P,1044.5117500000001,284.4509999999999
2024-11-01,00P,634.8468,295.47299999999996
2024-04-01,00P,740.984,294.35400000000004
2022-10-01,00P,790.46545,287.515
2025-06-01,00P,761.8316,295.37999999999994
2022-08-01,00P,652.8335999999999,286.9819999999999
2025-08-01,00P,634.8468,295.299
2023-10-01,00P,753.7029200000002,291.585
2025-11-01,00P,719.4792,295.684
2025-07-01,00P,507.862,295.32300000000004
2022-11-01,00P,771.6152700000001,288.09700000000004
2025-05-01,00P,634.8468,295.41300000000007
2021-11-01,00P,730.5123500000001,285.248
2024-01-01,00P,858.30528,293.52199999999993
2021-12-01,00P,750.8433100000001,285.707
2022-04-01,00P,1069.77438,286.63800000000003
2023-08-01,00P,852.82841,290.91799999999995
2024-09-01,00P,666.7116,295.09100000000007
2025-12-01,00P,1100.4288000000001,295.606
2024-10-01,00P,677.1668,295.2659999999999
2024-08-01,00P,613.8992,295.05000000000007
2026-06-01,00P,634.8468,294.558
2025-03-01,00P,719.4992,295.479
2023-04-01,00P,508.6027,290.14
2025-09-01,00P,846.4316,295.22900000000004
2021-07-01,00P,651.2837999999999,284.69
2021-10-01,00P,808.72044,284.82899999999995
2023-02-01,00P,782.73538,289.38900000000007
2024-06-01,00P,762.2564,294.871
2022-02-01,00P,812.4581499999999,286.005
2022-09-01,00P,732.03487,287.16400000000004
2024-05-01,00P,771.4188,294.7790000000001
2026-02-01,00P,592.5144,295.24799999999993
2025-02-01,00P,634.8468,295.51900000000006
2023-07-01,00P,515.86382,290.57299999999987
2023-11-01,00P,656.68994,292.445
2023-01-01,00P,892.53876,289.36099999999993
2025-04-01,00P,634.8468,295.4589999999999
2022-03-01,00P,930.3230300000001,286.16
2024-02-01,00P,937.52893,293.932
2025-10-01,00P,634.8468,295.4690000000001
2022-12-01,00P,593.49854,288.864
2022-06-01,00P,831.65093,286.85300000000007
2022-07-01,00P,771.76694,286.869
2023-12-01,00P,756.53189,293.12899999999996
2023-03-01,00P,893.17115,289.761
2026-03-01,00P,761.8316,295.0640000000001
2021-08-01,00P,809.7941699999999,284.68
2024-03-01,00P,816.9683500000001,294.15900000000005
2026-01-01,00P,550.1944,295.43500000000006
2025-01-01,00P,804.1391999999998,295.54999999999995
2026-05-01,00P,761.8316,294.961
2023-06-01,00P,677.42819,290.381
2022-01-01,00P,811.89226,285.82500000000005
2026-04-01,00P,634.8468,295.086
2023-05-01,00P,738.1244,290.224
2022-05-01,00P,633.47707,286.85499999999996
2021-09-01,00P,651.1416800000001,284.68699999999995
2024-12-01,00P,888.7840000000001,295.615
2024-07-01,00P,889.2412,294.92000000000013
2022-05-01,00Q,282.89541,181.458
2024-05-01,00Q,127.1872,186.659
2023-09-01,00Q,166.99759,184.244
2022-01-01,00Q,302.69388,180.958
2025-04-01,00Q,169.3048,187.77900000000002
2022-12-01,00Q,302.47415,182.32000000000002
2022-02-01,00Q,328.47474,181.088
2025-10-01,00Q,84.6524,188.514
2024-02-01,00Q,209.82386000000002,185.64199999999994
2026-06-01,00Q,84.6524,188.262
2021-09-01,00Q,400.27056,180.553
2022-03-01,00Q,138.5231,181.242
2024-03-01,00Q,89.83738,185.74900000000002
2026-01-01,00Q,84.6524,188.514
2022-10-01,00Q,183.59543,181.977
2024-04-01,00Q,222.64440000000002,185.898
2023-02-01,00Q,223.96454,182.58800000000002
2025-03-01,00Q,169.3048,187.88199999999995
2025-11-01,00Q,84.6524,188.47100000000003
2021-06-01,00Q,275.85646,179.87099999999998
2026-03-01,00Q,84.6524,188.28800000000007
2023-06-01,00Q,224.7955,183.41200000000003
2021-10-01,00Q,321.21085,180.64800000000002
2026-04-01,00Q,169.3048,188.34400000000002
2022-09-01,00Q,466.39281,181.92799999999997
2023-03-01,00Q,283.4611,182.76000000000005
2021-08-01,00Q,157.96814,180.387
2023-12-01,00Q,79.10374999999999,185.13
2021-11-01,00Q,78.94042,180.717
2025-07-01,00Q,169.3048,188.106
2022-08-01,00Q,223.26838,181.67400000000006
2024-06-01,00Q,127.1872,186.94600000000003
2021-07-01,00Q,591.96318,180.11199999999997
2024-01-01,00Q,159.05217,185.34900000000002
2023-05-01,00Q,224.97562000000002,183.187
2022-04-01,00Q,223.54388,181.34400000000002
2026-02-01,00Q,84.6524,188.47700000000003
2023-04-01,00Q,224.88628,183.00499999999997
2024-08-01,00Q,190.6796,186.79900000000004
2023-07-01,00Q,303.09187,183.66200000000003
2023-08-01,00Q,158.66586,183.935
2024-07-01,00Q,127.1872,187.05300000000003
2025-06-01,00Q,84.6524,188.06
2025-12-01,00Q,169.3048,188.486
2024-09-01,00Q,190.792,187.096
2023-10-01,00Q,192.67207,184.393
2025-08-01,00Q,169.3048,188.393
2023-11-01,00Q,221.87660000000002,184.748
2022-06-01,00Q,302.70194,181.46
2023-01-01,00Q,223.83427,182.406
2022-07-01,00Q,223.3867,181.615
2025-09-01,00Q,84.6524,188.582
2022-11-01,00Q,262.94804999999997,182.08800000000002
2021-12-01,00Q,321.7634,180.82799999999997
2023-12-01,00R,318.32409,178.54099999999997
2022-07-01,00R,257.32855,176.589
2024-02-01,00R,216.33781,178.59500000000003
2022-01-01,00R,395.92677000000003,175.74499999999995
2024-03-01,00R,238.90215,178.55599999999998
2025-09-01,00R,126.9972,178.938
2024-10-01,00R,507.7448,179.063
2026-03-01,00R,42.3324,177.821
2024-06-01,00R,253.8724,178.79699999999997
2024-12-01,00R,232.7572,179.096
2022-08-01,00R,296.8451,176.638
2021-06-01,00R,216.97717,175.03999999999996
2024-04-01,00R,253.8724,178.663
2021-08-01,00R,217.4513,175.083
2024-01-01,00R,170.53306,178.497
2023-04-01,00R,290.23091,177.38100000000003
2023-09-01,00R,297.024,178.242
2022-05-01,00R,237.54849000000002,176.47200000000004
2024-08-01,00R,253.8724,178.941
2022-02-01,00R,396.18056,176.13400000000001
2022-06-01,00R,395.88366999999994,176.533
2022-12-01,00R,296.95547,177.016
2021-10-01,00R,453.74914,175.17799999999997
2022-03-01,00R,395.74396,176.208
2025-12-01,00R,84.6648,178.55900000000003
2022-04-01,00R,395.96744,176.35
2022-11-01,00R,296.97773,176.82899999999998
2023-02-01,00R,297.77047000000005,177.04500000000002
2023-01-01,00R,416.97848999999997,176.993
2022-09-01,00R,396.09646999999995,176.676
2023-03-01,00R,238.02370000000002,177.30199999999996
2025-08-01,00R,42.3324,178.89600000000002
2024-05-01,00R,253.8724,178.647
2021-11-01,00R,513.60286,175.469
2024-07-01,00R,253.8724,179.001
2021-09-01,00R,690.70619,175.18000000000004
2025-01-01,00R,84.7648,178.957
2025-06-01,00R,42.3324,178.79099999999997
2023-11-01,00R,411.76282,178.46699999999998
2026-04-01,00R,211.662,177.69599999999997
2021-07-01,00R,987.05718,175.072
2023-08-01,00R,337.23776,178.08700000000002
2022-10-01,00R,533.73766,176.73100000000002
2025-07-01,00R,42.3324,178.79
2021-12-01,00R,849.55041,175.47600000000003
2023-10-01,00R,172.65783,178.29300000000003
2023-06-01,00R,59.94611999999999,177.711
2024-11-01,00R,253.91719999999998,179.078
2023-07-01,00R,523.54258,177.953
2024-09-01,00R,253.8724,178.93800000000005
2026-02-01,00R,42.3324,178.103
2023-05-01,00R,59.994009999999996,177.45200000000003
2023-10-01,00T,1167.50108,327.19599999999997
2023-11-01,00T,964.8909699999999,327.8480000000001
2023-03-01,00T,1170.78586,323.642
2025-11-01,00T,931.2188,335.1890000000001
