month,code,numerator,denominator
2024-07-01,00N,40.39386,160.011
2023-01-01,00P,26.00233,289.361
2025-11-01,00Q,61.582170000000005,188.47099999999995
2026-03-01,00Q,35.14963,188.28799999999998
2026-04-01,00T,218.52886999999998,334.687
2024-05-01,00V,325.54221,211.795
2021-10-01,00Y,315.77182999999997,261.50100000000003
2023-04-01,00Y,347.15374,264.38599999999997
2022-02-01,01A,7.24624,395.1080000000001
2026-03-01,01D,186.55847,253.377
2024-10-01,01D,53.70559,251.85499999999993
2022-12-01,01D,160.30225000000002,244.38500000000002
2024-07-01,01E,113.52108000000001,230.897
2025-08-01,01G,59.20462,323.68499999999995
2022-12-01,01J,125.97635,170.50599999999997
2024-03-01,01T,983.70586,159.50699999999998
2025-07-01,01T,953.04148,161.53399999999996
2021-11-01,01Y,318.67805,219.63699999999997
2021-09-01,02A,403.01716,245.173
2021-08-01,02A,75.54971,244.92200000000003
2023-08-01,02G,367.11193000000003,116.83099999999999
2022-09-01,02G,155.27508,115.83
2024-01-01,02M,194.02414,185.34300000000002
2023-10-01,02P,18.47197,268.69
2023-02-01,02X,628.4488,331.35600000000005
2024-02-01,02Y,97.14705000000001,313.91700000000003
2023-10-01,03F,64.75162,311.995
2023-05-01,03F,116.10076000000001,311.238
2026-02-01,03K,178.01100000000002,185.03300000000002
2025-03-01,03K,127.30738,185.69800000000004
2022-03-01,03L,46.78318,266.776
2026-06-01,03N,969.5347899999999,631.0159999999997
2023-12-01,03N,968.22831,639.162
2021-07-01,03W,128.0584,345.2129999999999
2023-07-01,03W,12.26269,355.55500000000006
2024-02-01,04C,22.14689,448.7569999999999
2022-06-01,04Y,38.93846,136.217
2021-08-01,05G,534.15154,216.79500000000002
2022-01-01,05G,638.4696799999999,218.14900000000003
2021-06-01,05Q,96.03601,216.553
2024-07-01,05V,124.27032,155.81699999999998
2023-04-01,06K,59.83316000000001,622.98
2021-11-01,06L,41.89526,409.17999999999995
2025-07-01,06L,23.99979,419.942
2023-09-01,06N,771.6424499999999,683.175
2023-10-01,06N,125.03209,683.1969999999997
2023-01-01,06N,759.1355500000001,676.041
2022-06-01,06Q,35.63325,406.2540000000001
2022-02-01,06T,26.35401,365.29
2022-03-01,07G,291.70312,184.35999999999999
2024-03-01,07H,200.94838,332.31
2025-03-01,10R,38.26634,235.745
2021-11-01,11J,207.67011000000002,817.6070000000002
2023-03-01,11N,106.11965999999998,600.265
2026-06-01,11N,48.57413,604.8889999999999
2021-11-01,12F,159.78976,339.17300000000006
2023-05-01,13T,229.257,547.7640000000001
2025-02-01,13T,211.42016,561.2460000000004
2022-05-01,14L,1089.88513,699.6
2022-10-01,14L,614.42787,705.4440000000003
2021-11-01,15C,228.79348,1052.3739999999998
2021-12-01,15C,190.36031,1055.04
2023-01-01,15C,102.43531999999999,1068.9500000000007
2025-03-01,15C,129.7884,1096.5279999999998
