name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,0,,,,,,,,,,,,
00N,0,,,,,,,,,,,,
00P,15,2.0,2.0,3.0,3.0,3.0,-2.94736263354765,-0.8823494967028059,2.18606799281183,1.4401260218823897,0.0918776402039043,1.34824838167849,0.936201666515399
00Q,0,,,,,,,,,,,,
00R,15,2.0,2.0,4.0,4.0,4.0,1.10728761319891,1.3476014837931,26.178804061519,8.005859395222251e-14,0.0422971045812019,-0.0422971045811219,-528326847788.05896
00T,0,,,,,,,,,,,,
00V,0,,,,,,,,,,,,
00X,5,17.0,17.0,22.0,22.0,17.0,1.1047561288149,0.9539266504636671,193.026057370678,0.0533582065775763,0.0590815588744746,-0.005723352296898379,-0.10726283104319399
00Y,0,,,,,,,,,,,,
01A,1,6.0,6.0,6.0,6.0,6.0,-0.0103591029210214,-0.0208842870942628,0.5178571428571429,0.5063828778416021,0.009145937632575209,0.497236940209026,0.981938690992952
01D,1,4.0,4.0,4.0,4.0,4.0,-0.0419420845091582,-0.0149030310854699,0.517241379310345,2.856274569533,0.42363366800182395,2.43264090153117,0.851683142607999
01E,0,,,,,,,,,,,,
01F,17,2.0,2.0,3.0,3.0,10.0,-13.327560611074901,-4.88611090067044,1.74555198417001,8.7120097829732,1.0768544098078698,7.63515537316533,0.8763942607235721
01G,0,,,,,,,,,,,,
01H,1,13.0,13.0,13.0,13.0,13.0,-0.0329957422443677,-0.0167392607254218,0.510204081632653,2.00415461154003,0.38736324156601004,1.6167913699740202,0.806719881123167
01J,2,8.0,8.0,8.0,8.0,8.0,-1.0743105983116301,-0.125057002842812,0.617712080540861,9.664877890748349,0.9689932532730908,8.69588463747526,0.899740766078312
01K,0,,,,,,,,,,,,
01T,15,2.0,2.0,2.0,2.0,6.0,-7.082110336779809,-1.42366285862871,1.35262868993186,6.15415273305657,0.918340133860131,5.23581259919644,0.8507771623984342
01V,17,2.0,2.0,2.0,2.0,5.0,-4.4383850105057,-0.70688176515459,1.29229476740082,3.34445979165187,0.009775869868505541,3.3346839217833595,0.997076995844618
01W,0,,,,,,,,,,,,
01X,1,4.0,4.0,4.0,4.0,4.0,-0.0213148707945012,-0.0196601441804218,0.517241379310345,1.1054814261815802,0.0184230156620198,1.0870584105195602,0.983334848306177
01Y,1,4.0,4.0,4.0,4.0,4.0,-0.0501413829753562,-0.0145063950667613,0.517241379310345,3.50664334260044,0.598443130029777,2.90820021257066,0.829340177610995
02A,2,5.0,5.0,5.0,5.0,5.0,-1.8012211041235802,-0.58909335341935,0.820309866153685,4.85883683458212,0.467274137502201,4.39156269707991,0.9038300413431379
02E,4,2.0,2.0,26.0,26.0,26.0,-5.12497064569613,-2.49349030857137,2.5172956033100897,2.12215648131538,0.0862530939829185,2.03590338733246,0.9593559217982571
02G,0,,,,,,,,,,,,
02H,0,,,,,,,,,,,,
02M,0,,,,,,,,,,,,
02P,0,,,,,,,,,,,,
02Q,15,2.0,2.0,4.0,4.0,4.0,-1.31039336961902,-90099039559159.8,1.30244424323303,0.9676816721355871,0.000709377356599816,0.966972294778987,0.9992669310817529
02T,15,17.0,17.0,17.0,17.0,20.0,-5.6694743293297005,-4.80187292977331,3.30623180569086,1.4292733884526203,0.007641897893130079,1.42163149055949,0.9946532986936791
02X,0,,,,,,,,,,,,
02Y,0,,,,,,,,,,,,
03F,0,,,,,,,,,,,,
03H,3,12.0,12.0,13.0,13.0,13.0,-3.5639713481224304,-0.902274308146154,7.3321262361310895,0.653929799984832,0.16785369690848,0.48607610307635096,0.743315418700335
03K,15,2.0,2.0,2.0,2.0,5.0,-2.03506775499831,-1.7458486695971498,4.680814665656349,0.628496027372203,0.19372817169742998,0.43476785567477294,0.691759114998031
03L,0,,,,,,,,,,,,
03N,0,,,,,,,,,,,,
03Q,0,,,,,,,,,,,,
03R,0,,,,,,,,,,,,
03W,0,,,,,,,,,,,,
04C,0,,,,,,,,,,,,
04V,0,,,,,,,,,,,,
04Y,2,32.0,32.0,36.0,36.0,36.0,-0.43512377174541494,-0.0857704860826706,0.7158611846931792,2.54872949599073,1.3330642775115,1.21566521847923,0.476969101817801
05D,0,,,,,,,,,,,,
05G,0,,,,,,,,,,,,
05Q,0,,,,,,,,,,,,
05V,0,,,,,,,,,,,,
05W,1,8.0,8.0,8.0,8.0,8.0,-0.107781355350086,-0.0114357002307403,0.5185185185185189,9.53277092095261,3.71257773204798,5.820193188904639,0.610545793785111
