"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.26A",2,2,2,2,2,2,-0.0175557277664826,-0.0292287840383787,0.522172275102539,0.618187206086999,0.0802581400358343,0.537929066051165,0.8701717873719
"2","ratio_quantity.27D",1,20,20,20,20,20,-0.0225357293399228,-0.0252644667379907,0.523809523809524,0.91452880299682,0.0130996293999087,0.901429173596912,0.985676088760701
"3","ratio_quantity.36J",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.36L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ratio_quantity.42D",2,9,9,9,9,9,-1.87234695596973,-1.68007234079637,0.651446672946917,2.98679120369909,0.112654250170905,2.87413695352819,0.962282515754237
"6","ratio_quantity.52R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.70F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.71E",1,6,6,6,6,6,-0.0189462155961522,-0.0169321876167459,0.517857142857143,1.13789292378255,0.0769048503980228,1.06098807338452,0.932414686135513
"9","ratio_quantity.72Q",2,13,13,13,13,13,1.77621025830696,0.70548705999443,3.12988460648172,0.741497519807335,1.30899775755687,-0.567500237749532,-0.765343406538955
"10","ratio_quantity.78H",3,17,17,18,18,18,-1.62910971061316,-0.86795121633672,6.32433490630274,0.38645811166466,0.128864272193951,0.257593839470709,0.666550479070368
"11","ratio_quantity.84H",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.91Q",3,5,5,5,5,33,-0.0203725502735957,-0.0266403034617877,0.524540267014553,0.778360735289434,0.0792611084641237,0.699099626825311,0.898169184453208
"13","ratio_quantity.92A",15,17,17,19,19,22,-0.715501179515207,-2.75029530273242,2.61012555681524,0.392948170167791,0.118822974294748,0.274125195873044,0.697611585151269
"14","ratio_quantity.92G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.93C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
