"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.01K",2,28,28,28,28,28,-0.629638702296472,-0.48455582614734,0.628499764109528,1.92905286330795,0.927240709585735,1.00181215372222,0.519328512337554
"2","ratio_quantity.01T",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.01V",3,8,8,9,9,9,-6.47947876229591,-0.7502917819075,1.95605142064852,3.70796287239472,0.395433000277251,3.31252987211747,0.89335572822986
"4","ratio_quantity.01W",2,23,23,23,23,23,-0.181199965090453,-0.084464381073537,0.597391257083623,2.32648254204671,0.506570084923939,1.81991245712277,0.782259236521807
"5","ratio_quantity.01X",2,28,28,28,28,28,-1.50854562239087,-4.60949610815852,1.44268087211943,1.83581471796963,0.790160303646744,1.04565441432289,0.569586028528716
"6","ratio_quantity.01Y",3,11,11,20,20,20,-0.126862394050892,-0.0541477415328767,0.536685927823464,2.33978878847429,0.448740225820388,1.8910485626539,0.808213361808183
"7","ratio_quantity.02A",3,18,18,19,19,19,-1.74478708371858,-0.317516171692754,0.856777537269125,2.5588815127048,0.522428632205759,2.03645288049904,0.795837114922316
"8","ratio_quantity.02E",15,2,2,3,3,6,-3.20116176648587,-2.03152141921595,3.15685357438593,1.51958393771911,0.505548382678072,1.01403555504104,0.667311314545152
"9","ratio_quantity.02G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.02H",2,24,24,24,24,24,-0.240684570626148,-0.125903586163331,0.572921915730654,2.15234235544821,0.892041968863066,1.26030038658514,0.585548290398576
"11","ratio_quantity.02M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ratio_quantity.02P",5,6,6,11,11,11,-1.71683190829149,-0.911167948643076,2.01379491989542,1.49450334972361,0.64196772589721,0.852535623826399,0.570447449304189
"13","ratio_quantity.02Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.02T",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ratio_quantity.02X",1,22,22,22,22,22,-0.0419741492254102,-0.0156571808295517,0.525,2.7227983462729,1.04383237725649,1.67896596901641,0.616632506522071
