name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,2,5.0,5.0,5.0,5.0,5.0,-0.46052430835795,-0.0397013604212661,0.530295651374901,12.0602353376875,3.3759418277568902,8.684293509930662,0.7200766209588579
00N,0,,,,,,,,,,,,
00P,1,2.0,2.0,2.0,2.0,2.0,-0.22395821185786602,-0.0107078611065684,0.516666666666667,21.1392660991152,7.70177338764317,13.437492711472,0.635665053293144
00Q,2,9.0,9.0,9.0,9.0,9.0,-3.04362114421016,-0.0860898922148974,0.500731040447542,53.888493319751205,11.3400066303122,42.548486689439,0.789565342585744
00R,1,21.0,21.0,21.0,21.0,21.0,-0.30649640311831894,-0.011577999324591998,0.51219512195122,26.778807769324104,14.2124552414731,12.5663525278511,0.469264824487302
00T,1,2.0,2.0,2.0,2.0,2.0,-0.305438706902784,-0.0108427269565693,0.516666666666667,28.475354644676,10.149032230508901,18.3263224141671,0.643585396664884
00V,2,7.0,7.0,7.0,7.0,7.0,-2.03662382492072,-0.0781382039109935,0.505890450824972,41.2804700089266,5.04809125104373,36.2323787578829,0.877712360107525
00X,15,2.0,2.0,2.0,2.0,8.0,-5.45213256640875,-1.417095480255,0.791006670021731,6.81386423703622,0.0153758108319035,6.798488426204309,0.997743452129802
00Y,3,12.0,12.0,12.0,12.0,22.0,-0.5820615508291259,-0.0253172884270247,0.544958679298088,23.284391110049,12.6035528567923,10.680838253256699,0.45871237099462203
01A,1,2.0,2.0,2.0,2.0,2.0,-0.156106794165822,-0.00883535329560769,0.516666666666667,17.8245337311426,8.45812608119333,9.366407649949311,0.525478410331964
01D,2,6.0,6.0,6.0,6.0,6.0,-0.721176457706493,-0.027434080811381,0.508030264526875,27.008787938653697,5.71547606151238,21.2933118771414,0.7883845778457671
01E,3,2.0,2.0,2.0,2.0,2.0,-7.675729242079361,-1.0508734419702799,0.500956332255462,14.9798716207165,0.0150917166861895,14.964779904030301,0.9989925336432579
01F,1,54.0,54.0,54.0,54.0,54.0,-0.255729846829038,-0.207025216971729,0.625,1.49098925420819,0.21234002006299696,1.27864923414519,0.8575844732189141
01G,2,3.0,3.0,3.0,3.0,3.0,-1.55481916621234,-0.0569200686458316,0.55460027108935,28.870653514318,6.4426923716615,22.427961142656496,0.7768428633433481
01H,16,2.0,2.0,4.0,4.0,13.0,-10.3389637213837,-1.44839073399555,1.13469714648997,12.685669566774099,3.5740191555908503,9.111650411183211,0.718263262591057
01J,2,36.0,36.0,36.0,36.0,36.0,-3.5965478309768097,-1.4115754239703602,1.01692460695841,6.14444415298895,2.60775342255815,3.5366907304307995,0.575591647083388
01K,3,6.0,6.0,6.0,6.0,6.0,-0.5933712863110461,-0.0211357042081908,0.512950321320728,28.7222596274848,9.05697929133982,19.665280336145,0.6846703773030091
01T,0,,,,,,,,,,,,
01V,1,11.0,11.0,11.0,11.0,11.0,-0.237030874008909,-0.00911310876204218,0.509803921568627,26.246911826619396,14.1583372521651,12.0885745744544,0.460571310419621
01W,2,5.0,5.0,5.0,5.0,5.0,-1.01504250042035,-0.0501086221321646,0.51441637569072,21.271885678887898,3.5131537732077796,17.7587319056801,0.834845211833075
01X,3,11.0,11.0,11.0,11.0,11.0,-0.18283571248296998,-0.0480126350713647,0.508086704298775,4.06430148563641,0.8256388746598691,3.2386626109765397,0.796855898220703
01Y,0,,,,,,,,,,,,
02A,6,3.0,3.0,5.0,5.0,3.0,-9.53262794784616,-2.9231535961297204,0.789869619186967,12.793704601658499,0.725095154876175,12.0686094467823,0.943324066214396
02E,0,,,,,,,,,,,,
02G,0,,,,,,,,,,,,
02H,3,5.0,5.0,5.0,5.0,12.0,-0.7842507421318481,-0.04418438262176799,0.514296348732339,18.3562731663815,3.10726850078537,15.249004665596098,0.8307244355855329
02M,2,4.0,4.0,4.0,4.0,4.0,-2.71266383319888,-0.126517027185081,0.5243979050002929,24.153760684380398,8.63502687175753,15.5187338126229,0.642497622436842
02P,4,8.0,8.0,8.0,8.0,21.0,-7.98369836054497,-0.155616938848806,0.530054109713379,52.0589174833286,6.87278527017363,45.186132213155005,0.867980634204033
02T,0,,,,,,,,,,,,
02X,0,,,,,,,,,,,,
02Y,0,,,,,,,,,,,,
03F,1,11.0,11.0,11.0,11.0,11.0,-0.23719384065507101,-0.00961303801249561,0.509803921568627,24.9113749212616,12.814489047853,12.096885873408599,0.48559687739611795
03H,3,5.0,5.0,5.0,5.0,5.0,-0.796895632212109,-0.0358773616952883,0.5130972809536211,23.008552079535605,5.92436106990614,17.0841910096295,0.7425148245127771
03K,0,,,,,,,,,,,,
03L,0,,,,,,,,,,,,
03N,2,3.0,3.0,3.0,3.0,3.0,-0.308672609271299,-0.0314683904611724,0.538467511155236,10.1176461458161,3.23873286967654,6.87891327613958,0.679892652599258
03Q,2,7.0,7.0,13.0,13.0,13.0,-0.15822108958184,-0.0265815618948208,0.582685176162672,4.976942440191,3.07617737462551,1.9007650655654902,0.38191421508434104
03R,0,,,,,,,,,,,,
03W,0,,,,,,,,,,,,
04C,0,,,,,,,,,,,,
04V,0,,,,,,,,,,,,
04Y,1,52.0,52.0,52.0,52.0,52.0,-2.20969154352523,-0.10524816548286801,0.6,23.204751489581298,1.10783605432897,22.0969154352523,0.9522582237165359
05D,2,2.0,2.0,2.0,2.0,2.0,-25.0156078177453,-1.25186235493021,0.6982514381238081,44.9983221467019,9.17224796780442,35.8260741788975,0.7961646672535608
05G,5,8.0,8.0,9.0,9.0,9.0,-38.997323586529795,-0.36299247488141706,0.531061140521403,78.0371819240987,4.60434978683895,73.4328321372598,0.9409980002697009
05Q,0,,,,,,,,,,,,
05V,0,,,,,,,,,,,,
05W,17,2.0,2.0,2.0,2.0,12.0,-8.40531535397459,-0.312624707695104,0.824231037808277,30.9070945962213,0.313796230540177,30.5932983656812,0.989847113271574
06H,1,6.0,6.0,6.0,6.0,6.0,-0.145179625238548,-0.0114082816947022,0.5178571428571429,12.870989622196,4.740930608837309,8.1300590133587,0.6316576465370171
06K,1,12.0,12.0,12.0,12.0,12.0,-0.210230966435632,-0.00687058639449271,0.52,30.8089243478547,20.2973760260731,10.5115483217816,0.34118517748619603
06L,4,14.0,14.0,18.0,18.0,18.0,-6.643906554348249,-0.682599864458556,0.945242097370131,16.0262113733705,8.9974231160204,7.02878825735012,0.43858077830105796
06N,3,2.0,2.0,2.0,2.0,2.0,-0.855217843444067,-0.0316588758081287,0.5238445887149461,27.8687431697124,6.64521198454491,21.2235311851674,0.7615532231189058
06Q,2,21.0,21.0,21.0,21.0,21.0,-9.563862884554382,-0.6119534126560621,0.551785397710572,25.192279503793998,7.8597025196329495,17.332576984161,0.688011459286593
06T,1,22.0,22.0,22.0,22.0,22.0,-0.19958039659395496,-0.0107417057298444,0.525,18.7795342338553,10.7963183700971,7.9832158637582005,0.42510190957591704
07G,4,2.0,2.0,2.0,2.0,32.0,-0.783869582070573,-0.0300824323146491,0.5116541125399029,26.229455926722103,9.37712308809206,16.852332838629998,0.6424964698357
07H,2,2.0,2.0,2.0,2.0,2.0,-1.03920124304723,-0.0771992985492925,0.5198233406263529,14.5004795522496,4.5047640674941505,9.99571548475547,0.6893368904619929
07K,1,2.0,2.0,2.0,2.0,2.0,-0.25358349243634803,-0.0106145609008741,0.516666666666667,24.143737291965298,8.92872774578441,15.215009546180902,0.6301845220642049
09D,1,4.0,4.0,4.0,4.0,4.0,-0.16915760929067197,-0.0120889505304707,0.517241379310345,14.161903204890802,4.350761866031879,9.811141338858961,0.6927840980773451
10Q,1,11.0,11.0,11.0,11.0,11.0,-0.23290735849821698,-0.0145400117746756,0.509803921568627,16.2512821787905,4.37300689538144,11.8782752834091,0.730913115207079
10R,16,2.0,2.0,2.0,2.0,5.0,-19.0456704968553,-0.798953883460589,2.21495166049975,11.814087132604401,3.2154026391657995,8.59868449343858,0.7278331704282109
11J,2,8.0,8.0,8.0,8.0,8.0,-0.308328959698595,-0.0171296169741381,0.503930734355063,18.3819566868519,11.039781931191499,7.3421747556603805,0.399422916762286
11M,2,15.0,15.0,15.0,15.0,15.0,-2.10606106814013,-0.302284321625359,0.5007993298427911,11.0859710564116,2.6751727879663996,8.41079826844522,0.758688456396501
11N,2,17.0,17.0,17.0,17.0,17.0,-2.39915219481165,-0.138509795068852,0.7002056951170079,19.7203257162875,9.44126538497702,10.2790603313105,0.5212419145197371
11X,2,17.0,17.0,17.0,17.0,17.0,-1.00111029052285,-0.0631509814455469,0.507302723785181,16.8537584617325,8.960165594316571,7.893592867415941,0.46835801553337897
12F,17,2.0,2.0,2.0,2.0,2.0,-17.2073564125043,-1.2889798510393,0.7057769908128259,30.5569494248622,6.176222032932321,24.380727391929803,0.7978783173981651
13T,15,2.0,2.0,4.0,4.0,4.0,-9.98630059826208,-0.938478553942287,0.9452588693550971,15.5667662062483,5.00214637350829,10.56461983274,0.6786650286107271
14L,1,2.0,2.0,2.0,2.0,2.0,-0.0527424946835071,-0.007548882906067341,0.516666666666667,7.039537142288361,3.87498746127794,3.1645496810104303,0.449539453666654
14Y,2,19.0,19.0,19.0,19.0,19.0,-1.38107027716811,-0.0845593175450665,0.507468070804469,22.532428058590497,8.92496823379057,13.6074598247999,0.603905615028119
15A,1,27.0,27.0,27.0,27.0,27.0,-0.20160454881643303,-0.0154010172488194,0.5142857142857139,13.291944333475001,6.2357851248998,7.056159208575151,0.53085982242678
15C,2,13.0,13.0,13.0,13.0,13.0,-1.43506040090926,-0.134769920961711,0.517475418285764,12.0832850987406,3.76369918103742,8.31958591770315,0.688520203712672
15E,2,2.0,2.0,2.0,2.0,2.0,-0.4397063572558879,-0.0400736458158858,0.512073520958543,11.4121633998737,1.1080252808127902,10.3041381190609,0.9029083932652902
15F,2,12.0,12.0,12.0,12.0,12.0,-0.9232568934251609,-0.0863676145887609,0.503747349573446,14.1456118471274,6.8145011686736705,7.33111067845372,0.518260415857691
15M,2,6.0,6.0,6.0,6.0,6.0,-0.302687727831112,-0.0312683097716165,0.532741720096769,9.98302318702097,3.7331559801924104,6.24986720682856,0.626049553301055
15N,1,11.0,11.0,11.0,11.0,11.0,-0.19936194979482896,-0.0103626934520522,0.509803921568628,19.43779168018,9.27033224064372,10.167459439536302,0.523076880688235
16C,1,9.0,9.0,9.0,9.0,9.0,-0.11991372643019099,-0.0105366041767646,0.5094339622641509,11.500594296610998,5.14516679581089,6.35542750080015,0.552617311496063
18C,2,4.0,4.0,4.0,4.0,4.0,-4.41097619802186,-0.0908293563743643,0.501708880508349,52.974308297849596,9.01478944747069,43.959518850379,0.8298271419272758
26A,2,6.0,6.0,6.0,6.0,6.0,-0.890777293433164,-0.0276991132922971,0.5077619513054871,33.0498317741007,11.997983572960301,21.0518482011404,0.636972930604674
27D,1,23.0,23.0,23.0,23.0,23.0,-0.18760200379524,-0.0236642544306639,0.512820512820513,8.11525526432424,0.798777116309862,7.3164781480143795,0.901570919177195
36J,1,3.0,3.0,3.0,3.0,3.0,-0.10987842308375999,-0.00853096955942531,0.508474576271186,12.9898239343607,6.5069969724188494,6.482826961941861,0.49906965596304
36L,2,11.0,11.0,11.0,11.0,11.0,-0.558634181855715,-0.0202484941133418,0.512728835238756,28.147559004054198,11.804587530772901,16.3429714732813,0.5806177178961529
42D,2,14.0,14.0,14.0,14.0,14.0,-1.83486398505479,-0.21441387959315097,0.6877938771582709,10.392444252416402,2.3891860991053195,8.00325815331108,0.7701035443562959
52R,2,12.0,12.0,12.0,12.0,12.0,-0.34225740920773307,-0.0242129357596422,0.53466071293248,14.4775697317309,8.076175334702281,6.4013943970286595,0.442159458779779
70F,2,5.0,5.0,5.0,5.0,5.0,-0.8020586439589108,-0.0366870974735479,0.570934689893678,22.6642036265978,12.8304860279038,9.83371759869404,0.43388763005789294
71E,1,4.0,4.0,4.0,4.0,4.0,-0.11960215377800001,-0.00586013675153855,0.517241379310345,20.529049722829896,13.5921248037059,6.936924919124009,0.33790774598834
72Q,2,2.0,2.0,2.0,2.0,2.0,-1.31249229104663,-0.0458683990565971,0.53752982907784,29.9267957775742,7.95140021732324,21.975395560251002,0.734304992875928
78H,4,7.0,7.0,7.0,7.0,9.0,-0.268958994176638,-0.0177051657309399,0.522437573733712,15.4452772639145,6.69341267591041,8.7518645880041,0.566636936227197
84H,1,21.0,21.0,21.0,21.0,21.0,-0.137457445385819,-0.0103772491857301,0.51219512195122,13.3834962486979,7.74774098787926,5.63575526081859,0.421097384128376
91Q,2,17.0,17.0,17.0,17.0,17.0,-0.828070831279429,-0.0207707652284154,0.5342626607978189,40.695202454653,20.546085556689,20.149116897964102,0.49512266023043794
92A,2,18.0,18.0,18.0,18.0,18.0,-1.0538794588921,-0.0512520793994289,0.508033639898687,27.9481673050765,9.278310852420189,18.6698564526563,0.6680171994413779
92G,3,5.0,5.0,5.0,5.0,5.0,-0.3627602126373661,-0.0304613011414897,0.5139011429395971,12.271647851822,4.506803593672389,7.76484425814957,0.632746665477101
93C,1,7.0,7.0,7.0,7.0,7.0,-0.22295436041081398,-0.0111087044430603,0.509090909090909,20.2931940137933,8.0307041911985,12.2624898225948,0.604266130519423
97R,1,2.0,2.0,2.0,2.0,2.0,-0.14948711086057997,-0.0041703093521151206,0.516666666666667,35.9950559257405,27.0258292741057,8.969226651634779,0.24917940592004395
99A,0,,,,,,,,,,,,
99C,0,,,,,,,,,,,,
99E,1,6.0,6.0,6.0,6.0,6.0,-0.5824680642086529,-0.0132133414704701,0.5178571428571429,44.6642823055485,12.046070709863901,32.6182115956846,0.730297452728408
