"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00L",2,5,5,5,5,5,-2.97741203129504,-0.0180038093002767,0.519661936892129,168.354193224444,70.9523999841545,97.4017932402898,0.578552819949289
"2","ratio_quantity.00N",2,12,12,12,12,12,-17.0411537925368,-0.0747441171276365,0.623087549866445,245.034398577762,108.286731286148,136.747667291615,0.558075388946738
"3","ratio_quantity.00P",2,14,14,14,14,14,-5.1570431125861,-0.0258323200867967,0.50626220601592,209.665126195873,87.4270515071862,122.238074688686,0.583015768556997
"4","ratio_quantity.00Q",1,9,9,9,9,9,-2.25302629200684,-0.011761851754803,0.509433962264151,193.806732202881,74.3963387265191,119.410393476362,0.616131298015802
"5","ratio_quantity.00R",2,13,13,13,13,13,-10.4657768052636,-0.0701364343728158,0.508694750516132,173.661743558727,70.7928148480918,102.868928710635,0.592352274039262
"6","ratio_quantity.00T",2,17,17,17,17,17,-4.0461531835568,-0.0253359875834142,0.510540602302497,193.389318515988,90.3612906784042,103.028027837584,0.532749319498048
"7","ratio_quantity.00V",5,7,7,7,7,8,-5.77680990593449,-0.0296604567012309,0.507443481627763,199.724137318539,74.4985481328389,125.2255891857,0.626992765456177
"8","ratio_quantity.00X",2,14,14,14,14,14,-3.62105802190462,-0.0252478832876144,0.512436347099952,147.041319461444,62.2450388916349,84.7962805698087,0.576683349145568
"9","ratio_quantity.00Y",3,12,12,12,12,12,-7.85799427827456,-0.0312624335652411,0.520018953638772,265.982352151493,99.7616087416988,166.220743409794,0.624931474081865
"10","ratio_quantity.01A",6,15,15,15,15,15,-5.07639596865521,-0.0271740717815555,0.530144965478673,194.999888018943,80.094049822668,114.905838196275,0.589261047088975
"11","ratio_quantity.01D",2,14,14,14,14,14,-5.03082227613462,-0.0236073518698941,0.529517761890378,218.134871551153,94.6249644306261,123.509907120527,0.566208906637671
"12","ratio_quantity.01E",2,2,2,2,2,2,-2.79658818929578,-0.0152728587327233,0.522112581268335,185.904953049888,84.135377860679,101.769575189209,0.547427992205775
"13","ratio_quantity.01F",3,12,12,12,12,12,-12.6544014755896,-0.0401812070624556,0.522922678676107,336.334098051212,118.539732030134,217.794366021077,0.647553629807451
"14","ratio_quantity.01G",5,8,8,8,8,8,-3.33460142350686,-0.0209355389702161,0.511298478914879,165.682858648014,54.8117597941211,110.871098853893,0.669176641196382
"15","ratio_quantity.01H",2,13,13,13,13,13,-3.00707698805121,-0.0165076966387088,0.511363500126459,188.722555936879,88.7539254338634,99.9686305030152,0.529712148114671
"16","ratio_quantity.01J",2,12,12,12,12,12,-5.93274693581714,-0.0176940313164714,0.508887589019915,348.353703164818,161.821445312172,186.532257852646,0.535467991750876
