month,code,numerator,denominator
2021-11-01,01D,10,512
2021-09-01,01D,12,534
2021-06-01,01D,13,521
2021-07-01,01D,12,529
2022-01-01,01D,10,481
2021-08-01,01D,11,485
2022-07-01,01D,10,518
2022-05-01,01D,12,523
2021-08-01,01H,18,1304
2021-11-01,01H,15,1346
2021-12-01,01H,15,1458
2022-04-01,01H,11,1412
2022-01-01,01H,10,1383
2021-09-01,01H,15,1389
2021-07-01,01H,19,1357
2021-10-01,01H,16,1336
2022-05-01,01H,10,1379
2021-06-01,01H,16,1380
2022-03-01,01H,10,1427
2023-09-01,03W,10,1132
2021-10-01,03W,14,1111
2022-12-01,03W,11,1200
2021-07-01,03W,11,1108
2022-06-01,03W,11,1092
2021-09-01,03W,10,1165
2021-06-01,03W,13,1125
2021-11-01,03W,11,1121
2021-08-01,03W,10,1056
2023-03-01,03W,11,1163
2022-07-01,04C,11,1048
2021-09-01,04C,31,1030
2021-07-01,04C,53,1016
2021-08-01,04C,48,1013
2021-06-01,04C,52,1028
2022-03-01,04C,11,1063
2021-12-01,04C,24,1076
2021-11-01,04C,26,996
2022-02-01,04C,17,935
2021-10-01,04C,24,970
2022-01-01,04C,26,1018
2022-06-01,04V,14,1177
2021-06-01,04V,36,1160
2022-03-01,04V,17,1252
2022-01-01,04V,24,1138
2022-02-01,04V,17,1061
2021-07-01,04V,45,1200
2022-04-01,04V,11,1155
2021-09-01,04V,31,1184
2021-08-01,04V,33,1187
2021-10-01,04V,23,1108
2022-05-01,04V,15,1193
2021-11-01,04V,25,1182
2022-10-01,04V,10,1186
2022-07-01,04V,15,1137
2021-12-01,04V,26,1251
2022-06-01,05V,10,389
2021-08-01,06K,19,1695
2022-01-01,06K,20,1707
2022-06-01,06K,18,1728
2023-02-01,06K,15,1613
2022-07-01,06K,16,1677
2021-06-01,06K,17,1819
2022-09-01,06K,15,1794
2021-09-01,06K,27,1730
2023-03-01,06K,18,1775
2021-07-01,06K,25,1813
2023-01-01,06K,14,1711
2022-04-01,06K,19,1734
2022-11-01,06K,19,1738
2023-05-01,06K,14,1778
2022-10-01,06K,16,1734
2021-11-01,06K,18,1760
2022-12-01,06K,13,1694
2023-06-01,06K,15,1743
2022-05-01,06K,14,1819
2021-12-01,06K,22,1862
2022-02-01,06K,18,1590
2022-08-01,06K,17,1814
2022-03-01,06K,18,1760
2023-04-01,06K,14,1650
2021-10-01,06K,14,1711
2021-08-01,06N,23,1644
2023-06-01,06N,13,1652
2021-09-01,06N,29,1705
2022-06-01,06N,26,1659
2023-03-01,06N,16,1663
2022-04-01,06N,33,1613
2023-02-01,06N,12,1473
2023-05-01,06N,17,1582
2021-12-01,06N,29,1802
2022-05-01,06N,29,1690
2022-01-01,06N,30,1694
2022-08-01,06N,24,1646
2022-09-01,06N,19,1629
2021-07-01,06N,29,1715
2021-10-01,06N,25,1633
2024-03-01,06N,11,1432
2024-06-01,06N,11,1404
2021-06-01,06N,24,1735
2022-12-01,06N,14,1644
2025-06-01,06N,10,1427
2022-07-01,06N,30,1650
2021-11-01,06N,27,1684
2022-02-01,06N,21,1536
2022-11-01,06N,24,1652
2024-09-01,06N,12,1480
2022-03-01,06N,29,1750
2023-01-01,06N,17,1588
2023-04-01,06N,13,1436
2022-10-01,06N,22,1580
2024-04-01,06N,12,1534
2024-07-01,06N,10,1562
2021-08-01,06T,10,1268
2023-02-01,06T,10,1293
2022-04-01,06T,10,1344
2023-05-01,06T,10,1388
2021-07-01,06T,11,1319
2021-06-01,07H,11,845
2021-07-01,07H,12,854
2022-11-01,07H,14,847
2022-01-01,07H,12,838
2022-03-01,07H,11,871
2021-10-01,07H,10,804
2023-03-01,07H,12,847
2022-07-01,07H,11,859
2021-12-01,07H,13,860
2023-02-01,07H,14,758
2023-05-01,07H,13,816
2022-04-01,07H,15,824
2023-06-01,07H,10,861
2021-11-01,07H,12,832
2022-05-01,07H,16,868
2022-10-01,07H,13,826
2023-04-01,07H,11,796
2022-12-01,07H,12,806
2021-09-01,07H,15,866
2022-06-01,07H,13,788
2022-02-01,07H,13,746
2023-01-01,07H,11,793
2022-08-01,07H,17,827
2021-12-01,11M,10,2615
2023-03-01,11M,10,2576
2024-10-01,11M,11,2607
2023-01-01,11X,15,2295
2022-12-01,11X,12,2211
2022-07-01,11X,11,2290
2022-08-01,11X,10,2290
