"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",1,3,3,3,3,3,-0.0017534118943381,-0.0158746263816336,0.508474576271187,0.112207154375279,0.00875585260933075,0.103451301765948,0.921967073685456
"2","ratio_quantity.99A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.99C",2,5,5,5,5,5,-0.00316921802063642,-0.430095076263322,0.728897510614696,0.0105378632238568,0.00184194102770674,0.00869592219615003,0.825207350999133
"4","ratio_quantity.99E",1,26,26,26,26,26,-0.000186646583527964,-0.0284831411875522,0.527777777777778,0.00673952578666629,2.02487796595995e-05,0.00671927700700669,0.996995518631346
"5","ratio_quantity.99F",1,3,3,3,3,3,-0.000238526451856073,-0.0155821257780357,0.508474576271186,0.0155462229275382,0.0014731622680299,0.0140730606595083,0.905239859553257
"6","ratio_quantity.99G",4,7,7,7,7,47,-0.00355025750836819,-0.0393125577360488,0.509379969026774,0.0916348541870642,0.0011586914005513,0.0904761627865129,0.987355341907502
"7","ratio_quantity.A3A8R",3,6,6,6,6,24,-0.00326353866240366,-0.0426165372621169,0.516514536432235,0.0779872192096441,0.0148033505629612,0.0631838686466829,0.810182351505994
"8","ratio_quantity.B2M3M",2,2,2,2,2,2,-0.000251230409833668,-0.0304274069612385,0.5451727818528,0.00850794483028068,0.00343884637166299,0.00506909845861768,0.595807631541783
"9","ratio_quantity.D2P2L",2,17,17,17,17,17,-0.000717838130502545,-0.0390542718200576,0.533710537010826,0.0190983659716048,0.00699340883377744,0.0121049571378274,0.633821613630447
"10","ratio_quantity.D4U1Y",5,3,3,3,3,20,-0.00258126924408124,-0.0360647567148495,0.510207420064484,0.0726311082439585,0.0119200528754184,0.0607110553685401,0.835882266378471
"11","ratio_quantity.D9Y0V",6,15,15,15,15,15,-0.000816070996700172,-0.065050540635269,0.50044355361106,0.0137018248379383,0.00554834787923199,0.00815347695870627,0.595065040981296
"12","ratio_quantity.M1J4Y",5,2,2,2,2,2,-0.00251361406277229,-0.0264134750378166,0.50924921516842,0.0971823303355925,0.00833574641903691,0.0888465839165556,0.914225699360658
"13","ratio_quantity.M2L0M",2,20,20,20,20,20,-0.000416061162259432,-0.0521106783019873,0.519259157246805,0.00840024359504816,0.000387651877543279,0.00801259171750488,0.953852305215078
"14","ratio_quantity.W2U3Z",2,13,13,13,13,13,-0.00351556625443933,-0.027306733755601,0.50656229492965,0.132259131336376,0.0212183755713995,0.111040755764976,0.8395696738894
"15","ratio_quantity.X2C4Y",1,6,6,6,6,6,-0.000382126640610846,-0.0171833551293983,0.517857142857143,0.0226203122413427,0.00122122036713531,0.0213990918742074,0.94601222325732
