name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,5,2.0,2.0,2.0,2.0,10.0,-0.493236950907889,-45.0375843643315,1.53787194037846,0.34476389829461795,0.0240369652142824,0.320726933080336,0.9302799239329241
00N,3,10.0,10.0,11.0,11.0,10.0,0.0380614057345853,114275555122317.0,25631900214351.5,2.2204460492503099e-16,8.88178419700125e-16,-6.66133814775094e-16,-3.0
00P,4,9.0,9.0,9.0,9.0,11.0,-0.19702631004904603,-0.500065089048852,23313430773280.4,3.6390269978283e-15,0.0,3.6390269978283e-15,1.0
00Q,0,,,,,,,,,,,,
00R,0,,,,,,,,,,,,
00T,17,15.0,15.0,16.0,16.0,21.0,1.20757447568572,64392432536363.0,5.2068886567719295,3.0643658707317994e-14,0.231918628433757,-0.23191862843372602,-7568242116544.06
00V,3,6.0,6.0,7.0,7.0,6.0,0.48950980488138796,inf,86453183327765.7,0.0,3.5527136788005e-15,-3.5527136788005e-15,-inf
00X,0,,,,,,,,,,,,
00Y,7,6.0,6.0,7.0,7.0,10.0,0.8728451635026,2.23087003958981,84.1464559074293,1.81951349891415e-15,0.0103729284149949,-0.0103729284149931,-5700935124242.54
01A,0,,,,,,,,,,,,
01D,2,3.0,3.0,3.0,3.0,3.0,-0.423209066120306,-0.974440615625393,0.9908397997629659,0.857518822234784,0.00327565149911635,0.8542431707356679,0.9961800820994459
01E,1,57.0,57.0,57.0,57.0,57.0,0.19873279204888397,0.82081866183626,0.6,0.0433825511918477,1.0370465114362701,-0.9936639602444219,-22.9046917008226
01G,5,33.0,33.0,36.0,36.0,34.0,-1.5706787926809298,-1.00000000000001,22.0257997974154,0.0488712543730858,0.0026908649886543397,0.0461803893844315,0.9449397192036009
01H,7,2.0,2.0,5.0,5.0,3.0,-1.13613443906404,-0.8678914902637249,11.5960408943646,0.172895003334477,0.0749189398302263,0.0979760635042508,0.5666795547278449
01J,0,,,,,,,,,,,,
01K,2,59.0,59.0,59.0,59.0,59.0,0.5874220583701489,0.8243511000720402,18.280509057206398,0.125165161224529,0.157298952276621,-0.0321337910520922,-0.25673111221778894
01W,0,,,,,,,,,,,,
01X,8,23.0,23.0,26.0,26.0,26.0,-0.151285167497895,-1.0003429130463102,18795250316419.3,2.9567094357354897e-15,8.88178419700125e-16,2.06853101603536e-15,0.6996057816958979
01Y,15,32.0,32.0,33.0,33.0,43.0,-1.15158411362297,-209202454411928.0,391901970034181.0,2.6131409085707997e-15,4.58084626476756e-16,2.15505628209405e-15,0.8246996076735509
02A,3,18.0,18.0,19.0,19.0,18.0,0.9274455689094749,0.944864303075123,8.69741254597252,0.0541192609724906,0.16075391398074898,-0.106634653008259,-1.97036417519564
02G,3,28.0,28.0,29.0,29.0,29.0,-0.7839538897262259,,20.011166850726198,,0.00195879104796504,,
02H,9,7.0,7.0,7.0,7.0,9.0,-1.02201903510454,-0.9990601074945159,94902361766234.0,7.27805399565659e-15,0.0,7.27805399565659e-15,1.0
02M,0,,,,,,,,,,,,
02P,3,39.0,39.0,40.0,40.0,39.0,0.876404100355474,0.95046852578243,27.299373754349798,0.0456717775743228,0.0777752283069959,-0.0321034507326731,-0.7029166027188299
02T,3,32.0,32.0,33.0,33.0,32.0,0.37013679109852393,0.978505077563026,9.67993534356691,0.00813083324569745,0.0463683604565084,-0.0382375272108109,-4.70278089038966
02X,15,2.0,2.0,2.0,2.0,9.0,-1.5671943055820001,-0.7465861801279409,1.48807899296407,1.05026256564142,0.000518806899853841,1.0497437587415699,0.999506021716068
02Y,3,33.0,33.0,35.0,35.0,35.0,-0.869482998372773,-1.9027548415229498,288.0683616911,0.00305290277068668,3.4581031815861306e-05,0.00301832173887082,0.9886727372558659
03H,0,,,,,,,,,,,,
03K,3,48.0,48.0,49.0,49.0,49.0,-0.599477909239044,-1.0,253.174837732559,0.0023678415857146104,1.77635683940025e-15,0.0023678415857128396,0.99999999999925
03L,6,12.0,12.0,12.0,12.0,16.0,-0.350656412917346,-0.8873215461483951,90.4181427800913,0.00131179903320435,0.00012831826307824198,0.00118348077012611,0.902181462380867
03N,0,,,,,,,,,,,,
03Q,4,49.0,49.0,49.0,49.0,51.0,-1.35528901538253,-4.99686928237445,235.00451311265098,0.00576707654432994,3.5527136788005e-15,0.00576707654432639,0.9999999999993839
03R,3,47.0,47.0,51.0,51.0,51.0,-0.175414047132693,-3.58229533651108,59.76236422393829,0.006429635236267339,0.0034944426713383603,0.00293519256492898,0.456509966284336
03W,2,46.0,46.0,46.0,46.0,46.0,0.40701347639447294,0.9768125439989491,2.00556640774732,0.00966163583147188,0.21260354532009199,-0.20294190948862,-21.004922254216602
04C,3,27.0,27.0,28.0,28.0,28.0,-0.47243843713966205,-0.49999962549829297,5.15630628840668,0.0916230864354671,2.1775893088715698e-08,0.09162306465957401,0.99999976233181
04V,0,,,,,,,,,,,,
04Y,7,47.0,47.0,48.0,48.0,54.0,-0.8816009873931059,-1.19784889359076,108925377523059.0,1.81951349891415e-15,0.881600987393104,-0.8816009873931031,-484525664645646.0
05D,15,2.0,2.0,3.0,3.0,12.0,0.69825082424573,137351948172478.0,32723446224346.3,2.87961414695746e-16,2.06043655132982e-14,-2.0316404098602403e-14,-70.5525221845029
05G,3,25.0,25.0,26.0,26.0,26.0,-0.424896738905868,-0.20814652592399602,16.8242473698778,0.450243600600417,0.4249885785144579,0.0252550220859588,0.0560919068084037
05V,3,33.0,33.0,34.0,34.0,33.0,1.48912407594533,1.0,13.8703620375105,0.0,0.107360144740149,-0.107360144740149,-inf
05W,6,52.0,52.0,53.0,53.0,57.0,0.18729723402120496,,1687023506690843.0,,0.0,,
06H,3,37.0,37.0,38.0,38.0,37.0,0.299163997333394,0.9903505023458259,10.421213330845301,0.00291490970484101,0.0316221233311005,-0.0287072136262595,-9.84840579403994
06K,1,2.0,2.0,2.0,2.0,2.0,-0.00826945021026209,-0.0170374647179007,0.516666666666667,0.49363803921010596,0.005740476804642679,0.48789756240546295,0.988371080936493
06L,3,19.0,19.0,20.0,20.0,20.0,-1.63087795596628,-0.999999999999987,23.9829903089431,0.0680014433128093,0.0,0.0680014433128093,1.0
06N,3,6.0,6.0,7.0,7.0,7.0,-1.17712873234051,-0.952058775895177,9.467934590903669,0.18596346436727598,0.0616355319086495,0.124327932458627,0.66856106860367
06Q,3,22.0,22.0,23.0,23.0,22.0,0.504781543167655,0.999999999999996,196.47796250076598,1.81951349891415e-15,0.0025691509456962102,-0.0025691509456943896,-1411998837726.46
06T,3,57.0,57.0,59.0,59.0,60.0,0.30309672844968705,0.957706422395743,0.5743844872962789,0.0280552083587928,0.5557448224645161,-0.527689614105723,-18.8089714878321
07G,7,7.0,7.0,10.0,10.0,7.0,1.89676195637449,inf,161174649810164.0,3.1086244689504403e-15,0.0,3.1086244689504403e-15,1.0
07H,3,48.0,48.0,49.0,49.0,49.0,-0.6171563287838621,-1.0,202.96561057377,0.00304069407147218,2.66453525910038e-15,0.00304069407146952,0.9999999999991239
07K,15,17.0,17.0,18.0,18.0,22.0,1.3767061322424499,3.48503520434268,13.8858363414359,0.0904098777408229,0.18955450960821102,-0.0991446318673881,-1.09661282975744
09D,15,17.0,17.0,17.0,17.0,23.0,1.03348681842928,657847815949206.0,94149583466171.7,2.9173869441693804e-15,1.51825971430306e-14,-1.22652101988613e-14,-4.20417669427575
10Q,15,2.0,2.0,4.0,4.0,3.0,0.22593521038866896,4407240841651.47,2573.11766884005,0.0215519854092986,0.0216397914249845,-8.780601568591371e-05,-0.00407414973694395
10R,0,,,,,,,,,,,,
11J,15,47.0,47.0,47.0,47.0,51.0,-0.15619428525215398,-1.5203040593113997,97.5239057773022,0.00160159997702255,0.033955939742759,-0.0323543397657364,-20.2012613823113
11M,3,37.0,37.0,38.0,38.0,37.0,0.150695686637361,,8.29825493049042,,0.0181599249359832,,
11N,0,,,,,,,,,,,,
11X,15,17.0,17.0,17.0,17.0,25.0,0.287919218093667,1.0,403661191721561.0,2.10099617032847e-16,3.5527136788005e-15,-3.34261406176765e-15,-15.9096628017417
12F,15,17.0,17.0,17.0,17.0,26.0,-3.0163949939672,-18.012751502298,25.786548255844803,0.181680588638383,0.0110199528541308,0.170660635784252,0.9393443573872109
13T,17,30.0,30.0,30.0,30.0,38.0,-0.300161538355977,,15.087388140195198,,0.000826891663523455,,
14L,1,61.0,61.0,61.0,61.0,61.0,0.6935140187711979,0.889843347106785,1.0,0.085852395582601,0.779366414353799,-0.6935140187711979,-8.077980981951141
14Y,3,5.0,5.0,6.0,6.0,5.0,0.300214975366286,0.999999999999994,28.166499771190004,1.81951349891415e-15,0.0106585829906152,-0.0106585829906134,-5857930153842.88
15A,0,,,,,,,,,,,,
15C,4,13.0,13.0,20.0,20.0,20.0,-0.392826121557426,-11.132855127301301,1.19269085029681,0.330318822387813,0.000957595662825383,0.32936122672498697,0.997100995771591
15E,0,,,,,,,,,,,,
15F,0,,,,,,,,,,,,
15M,0,,,,,,,,,,,,
15N,3,25.0,25.0,26.0,26.0,25.0,0.320748903420712,0.9447852598428861,32.200235261334,0.0187450716165905,0.0287061449074404,-0.00996107329084992,-0.531396918325657
16C,15,2.0,2.0,3.0,3.0,15.0,-0.9533794606312449,-3.3427390648661803,2.98340949492144,0.319560376225317,0.0,0.319560376225317,1.0
18C,7,4.0,4.0,5.0,5.0,12.0,-0.25114017640086,-3.3177375283787995,32431105515603.5,7.27805399565659e-15,1.77635683940025e-15,5.50169715625634e-15,0.755929697627917
26A,0,,,,,,,,,,,,
27D,0,,,,,,,,,,,,
36J,3,29.0,29.0,30.0,30.0,29.0,0.38489595149162603,0.9831388124761271,11.483409760973101,0.00660110528942957,0.0401186718923139,-0.0335175666028843,-5.07756885147043
36L,0,,,,,,,,,,,,
42D,2,41.0,41.0,42.0,42.0,42.0,-0.0323162108863682,-0.0544259405487097,0.6927282140822479,0.0407419102027034,0.0120730625037417,0.0286688476989617,0.7036696992439829
70F,3,47.0,47.0,53.0,53.0,53.0,-0.204378436389073,-4.68651289964762,17.8399654568,0.0114562125629664,6.66133814775094e-16,0.0114562125629658,0.999999999999942
71E,0,,,,,,,,,,,,
72Q,2,9.0,9.0,9.0,9.0,9.0,-0.0112198324015748,-0.0598234176912771,0.5006023294171721,0.199885302188197,0.00046075856588789803,0.19942454362230902,0.9976948852124499
78H,15,2.0,2.0,2.0,2.0,2.0,-0.581140083453776,-2.00620453184801,0.64657142989306,0.8708114874548729,0.00137420863491489,0.869437278819958,0.998421921788226
84H,0,,,,,,,,,,,,
91Q,0,,,,,,,,,,,,
92A,2,52.0,52.0,54.0,54.0,54.0,-0.077303171136337,-0.27456702508392,0.7147249366785741,0.0804909688560995,0.0187814470270518,0.0617095218290478,0.766663921506164
92G,16,2.0,2.0,2.0,2.0,6.0,-0.173192748524659,-1.6167785544618503,0.694769968658807,0.23815475124091504,0.000156050547068465,0.237998700693847,0.9993447514850942
93C,0,,,,,,,,,,,,
97R,0,,,,,,,,,,,,
99A,15,2.0,2.0,3.0,3.0,3.0,-0.6316466237923559,-1.00000000000001,34191669739427.4,2.18341619869698e-14,5.951207286756679e-15,1.58829547002131e-14,0.727435965240697
99C,3,25.0,25.0,27.0,27.0,25.0,0.24819691036375602,0.989402656707283,4.94140923674863,0.00265839983901972,0.0528863608259278,-0.0502279609869081,-18.894058090760897
99E,5,4.0,4.0,7.0,7.0,7.0,-0.588208312953213,-1.9528095841251698,1284.66342533044,3.6390269978283e-15,5.08743986458171e-05,-5.08743986421781e-05,-13980220172.1886
99F,3,7.0,7.0,8.0,8.0,7.0,0.107827755942658,242806520741776.0,32239869974011.7,0.0,0.0,0.0,
A3A8R,1,45.0,45.0,45.0,45.0,45.0,0.009065056243372359,0.135839281046655,0.529411764705882,0.0576686320795134,0.211774588216843,-0.15410595613733,-2.6722665438786404
B2M3M,0,,,,,,,,,,,,
D2P2L,0,,,,,,,,,,,,
D4U1Y,0,,,,,,,,,,,,
D9Y0V,1,26.0,26.0,26.0,26.0,26.0,-0.005283815978983079,-0.0375242328458018,0.527777777777778,0.146094582202928,0.0034315507703850897,0.142663031432543,0.976511444034122
M1J4Y,4,33.0,33.0,34.0,34.0,61.0,0.32177818638302097,0.997211668410802,1.0118873302663,0.0107855988610298,0.328783637534307,-0.317998038673277,-29.483577385976897
W2U3Z,0,,,,,,,,,,,,
X2C4Y,0,,,,,,,,,,,,
