"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.27D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.36J",3,29,29,30,30,29,0.384895951491626,0.983138812476127,11.4834097609731,0.00660110528942957,0.0401186718923139,-0.0335175666028843,-5.07756885147043
"3","ratio_quantity.36L",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.42D",2,41,41,42,42,42,-0.0323162108863682,-0.0544259405487097,0.692728214082248,0.0407419102027034,0.0120730625037417,0.0286688476989617,0.703669699243983
"5","ratio_quantity.70F",3,47,47,53,53,53,-0.204378436389073,-4.68651289964762,17.8399654568,0.0114562125629664,6.66133814775094e-16,0.0114562125629658,0.999999999999942
"6","ratio_quantity.71E",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.72Q",2,9,9,9,9,9,-0.0112198324015748,-0.0598234176912771,0.500602329417172,0.199885302188197,0.000460758565887898,0.199424543622309,0.99769488521245
"8","ratio_quantity.78H",15,2,2,2,2,2,-0.581140083453776,-2.00620453184801,0.64657142989306,0.870811487454873,0.00137420863491489,0.869437278819958,0.998421921788226
"9","ratio_quantity.84H",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.91Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.92A",2,52,52,54,54,54,-0.077303171136337,-0.27456702508392,0.714724936678574,0.0804909688560995,0.0187814470270518,0.0617095218290478,0.766663921506164
"12","ratio_quantity.92G",16,2,2,2,2,6,-0.173192748524659,-1.61677855446185,0.694769968658807,0.238154751240915,0.000156050547068465,0.237998700693847,0.999344751485094
"13","ratio_quantity.93C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
