month,code,numerator,denominator
2019-12-01,W2U3Z,25378650.639999986,2583.398000000002
2021-10-01,W2U3Z,23642591.71999999,2719.506000000003
2022-04-01,W2U3Z,23846487.379999995,2771.1639999999984
2020-04-01,W2U3Z,25742557.22000001,2608.741
2023-11-01,W2U3Z,23454826.799999975,2862.9979999999996
2024-01-01,W2U3Z,23777269.879999995,2880.7480000000014
2020-03-01,W2U3Z,26607049.112000003,2603.8099999999995
2020-08-01,W2U3Z,23212263.759999998,2612.102
2021-07-01,W2U3Z,25116821.199999984,2694.3789999999995
2021-12-01,W2U3Z,25129186.28,2741.375000000001
2020-02-01,W2U3Z,23747021.819999997,2596.9700000000003
2020-07-01,W2U3Z,26025016.499999993,2610.339000000001
2020-10-01,W2U3Z,25196236.560000002,2615.64
2021-11-01,W2U3Z,24364041.87999999,2731.5100000000007
2023-12-01,W2U3Z,23257590.559999987,2874.508
2019-11-01,W2U3Z,24765511.539999984,2575.344999999998
2020-06-01,W2U3Z,25133624.699999988,2608.577999999998
2023-03-01,W2U3Z,24821979.880000014,2831.613999999998
2019-06-01,W2U3Z,24637235.59385967,2530.176000000001
2022-01-01,W2U3Z,23947769.42,2751.8349999999987
2022-06-01,W2U3Z,23821359.41999999,2777.101999999999
2023-04-01,W2U3Z,22310432.71999999,2834.0819999999985
2023-08-01,W2U3Z,23446474.419999998,2848.0269999999987
2024-02-01,W2U3Z,22361288.180000007,2885.324
2022-05-01,W2U3Z,24262219.000000007,2773.2240000000006
2020-11-01,W2U3Z,24035978.819999997,2623.745000000001
2022-02-01,W2U3Z,22027879.279999994,2757.5840000000003
2022-03-01,W2U3Z,25440617.720000006,2765.2170000000037
2020-12-01,W2U3Z,25757017.36000001,2629.345999999999
2021-06-01,W2U3Z,24778707.38,2679.004999999999
2021-01-01,W2U3Z,24582542.580000002,2636.9559999999997
2023-06-01,W2U3Z,24031450.019999985,2839.250999999999
2021-05-01,W2U3Z,23399756.19999999,2672.606999999998
2019-08-01,W2U3Z,25229046.780000005,2545.7380000000003
2019-05-01,W2U3Z,25863661.227719273,2521.9239999999986
2020-05-01,W2U3Z,24604505.879999995,2607.2880000000027
2020-09-01,W2U3Z,25169802.679999992,2611.037999999997
2022-10-01,W2U3Z,23388936.5,2798.1679999999988
2023-02-01,W2U3Z,21717445.779999997,2830.2369999999983
2023-09-01,W2U3Z,23242422.019999996,2851.012999999996
2021-03-01,W2U3Z,25666783.530000005,2649.980000000002
