month,ratio_quantity.11M,ratio_quantity.11N,ratio_quantity.11X,ratio_quantity.12F,ratio_quantity.13T,ratio_quantity.14L,ratio_quantity.14Y,ratio_quantity.15A,ratio_quantity.15C,ratio_quantity.15E,ratio_quantity.15F,ratio_quantity.15M,ratio_quantity.15N,ratio_quantity.16C,ratio_quantity.18C
1514764800,29842.837737299582,42813.82470272146,30092.424201740447,42056.63231119865,39145.10657075363,37217.449926538575,18965.253942716936,17412.730922659288,29803.646997003398,25703.917119491205,33288.66013637151,34555.136898714394,35027.05043779007,56831.55946890208,35428.59606256735
1517443200,27164.428180144576,38706.316927711356,28956.286976424977,38514.44767450509,35003.002206329904,33941.56596657241,17027.881433815288,15938.077228728154,26682.697249220037,23604.00749058698,28780.869727370195,31073.43804376082,32930.48468166784,50267.807056072095,30954.277853952215
1519862400,29501.346442275088,41548.288262570844,31208.32791042801,42421.545222206034,38887.55588942879,37527.45956900671,19115.537910661533,17110.71828806233,28610.637647600874,25430.990010824786,32481.98082268373,35129.40494889228,35851.53636792847,56682.4386397437,33332.55653455814
1522540800,28113.673203625218,41970.70262180108,29474.011527738614,40269.73808036643,36252.10271115152,35488.918199713604,17611.284568722553,16904.920185754865,28245.230593106746,24349.375652718565,30645.531572542008,32350.21529231056,34238.71364983953,52838.80278006977,33072.75191069867
1525132800,28751.61860519744,42444.03396038073,31538.71373645578,41615.894837322594,37845.069985276285,36827.1610950968,19109.21184633998,17366.087213898343,29489.28856496287,25383.551152642165,31429.384428279176,34302.03031291679,35659.44352213699,55978.59049747317,34528.62688892588
1527811200,28069.85468132411,41940.9368233368,30736.837803178525,41243.097155461226,37208.435881137186,35838.184970179944,18671.983304203754,17216.116487376185,28786.82911404305,25476.227821269702,31927.55531707848,34257.39538622149,35170.715166229784,54275.49873587205,33094.46363591707
1530403200,28234.210630261427,40969.36641013214,30364.724686082085,41215.604813549246,36285.87633146914,35862.42744170181,18026.460734478394,17072.857465303587,28445.017039423627,24637.53086395216,31428.70555309056,33657.906441151266,34953.57587073806,54085.05277123734,33386.515683256985
1533081600,28674.322878939645,43500.483896716854,31509.688498790194,42760.94560850837,38041.87645698755,36140.71395748406,19147.800465061613,17178.525292328002,29520.4868810545,25720.88723311584,32032.494511834986,34659.51113522249,35990.07631920225,55603.34132170869,34176.3528804063
1535760000,26735.364800923264,39037.12098614705,29129.97574386069,38333.603701671374,34123.7353655211,33977.64222998056,16703.882634453556,16026.808729506467,27381.719326688097,23310.706784995673,29282.36369862158,31946.427344282845,33265.9138620806,50990.90949416941,31087.75749204177
1538352000,29126.24875661603,42925.661768904756,30923.095877865224,42241.3281658041,36435.40021456171,36315.3439507536,18774.42047749984,17577.676243069705,29260.10962482504,25849.89320314541,31903.36854058656,34369.259642333134,35812.13408291565,55394.00929151159,33819.50387507346
