month,ratio_quantity.97R,ratio_quantity.99A,ratio_quantity.99C,ratio_quantity.99E,ratio_quantity.99F,ratio_quantity.99G,ratio_quantity.A3A8R,ratio_quantity.B2M3M,ratio_quantity.D2P2L,ratio_quantity.D4U1Y,ratio_quantity.D9Y0V,ratio_quantity.M1J4Y,ratio_quantity.M2L0M,ratio_quantity.W2U3Z,ratio_quantity.X2C4Y
1514764800,38559.593234884225,41631.274763669746,44948.21919059932,30617.322169414503,31894.696522957565,31337.460342757564,14645.887472799284,32532.05005835427,37327.41897273887,21896.194399377113,31687.37020486805,27560.452333283523,42856.74004840932,11210.061252450882,35322.89862093319
1517443200,35404.391261318604,37230.20876296896,38700.33891182811,29235.960208010114,28599.716154844285,26282.958065132865,12989.326899162692,29713.569168089158,34487.223796437465,19349.979358636032,29125.77304419435,24230.655360667224,37762.45590099219,10430.358668612724,31638.404173744653
1519862400,39108.295921456694,41063.97917534984,45913.65127670854,31476.00809548073,34309.32517393678,31237.62309972271,14160.213687524922,32031.17626527052,36726.05205471435,21103.471592577942,31705.84542739116,27013.66440454754,42474.00675329495,11185.751846922005,35320.56535711941
1522540800,36655.61056837166,39610.37422981379,41858.743865997756,30140.27417399971,29773.604506713626,30650.8715686535,13572.643585816893,30324.177040054925,35540.53368988014,20205.095083683347,31025.229306941335,25897.91912537085,40140.17045030881,10622.546111220938,33124.34434459332
1525132800,38447.89329251822,41113.308170581724,44963.56480423957,31281.443525736555,32868.20218773959,31488.947060823743,14318.981394061544,32570.02855247891,37243.196357128996,22169.234775600144,32056.12992109903,26723.96072979639,42205.13204310428,11151.988566597889,35549.45642300305
1527811200,37370.46955107153,40354.21108376278,43212.06260761541,31014.472195569047,30855.2603245156,30630.48128569531,14189.247453171205,31233.485063610868,36822.69421191518,21392.901664060475,31337.370273473807,26533.412641950596,41499.95183747864,10832.80884103663,34262.62787855237
1530403200,36722.804470519695,40073.73904070394,42191.38677338249,29730.044102971322,29949.10573050609,29903.164075149554,13684.161663534127,31461.904042976133,36209.02711761263,21385.9429003905,31449.655762270737,25895.22337584818,42074.99218231876,10877.14997291229,33805.814429638514
1533081600,37420.33386427426,40599.74794331351,43663.178432391505,31467.888190546295,31794.413079782345,31475.383857329038,14264.239715956346,32147.123344570195,37528.32489408277,21536.035640207007,31989.487617129722,26996.513319389076,42340.55437014612,10839.471176468202,35542.81746855319
1535760000,34124.52542670873,37243.879385133085,39063.38082777765,28075.8202489366,31531.423925217547,29046.72147048067,13388.627622381598,29484.451455100476,34381.66615142936,19901.939204152965,29740.35545762028,25519.050814909577,39367.838875269845,10318.39305074073,32353.952964999986
1538352000,36899.836550829634,40323.38054487456,42669.51303295433,31190.44200176243,32078.647307104242,31230.8191971984,14089.189148384577,32213.477327993704,37752.34477715219,21301.94426925571,31415.793447617816,26828.83028835396,42803.56802040723,11114.951484449148,34562.383111095114
1541030400,36226.18756065665,39371.85406285825,40178.23101229853,29966.666785515623,31107.976681971588,29813.596847600395,13861.920992070143,31087.675107905943,36197.73119211216,20606.17859068107,31371.366083188313,26174.47225756677,40959.32651735476,10720.769741860868,34534.945311498435
1543622400,34848.26947144954,38808.74317871127,41154.92614754135,31417.488301811478,30884.5757530088,30440.689593019244,13691.670064134476,31274.64579339595,36355.33932248503,21207.902465965817,30953.53064855742,25832.117020471498,41798.909926859764,10395.405245164937,33825.151256895
1546300800,35921.88216950904,40154.875857662686,40564.45950365175,30348.918482963418,33121.30191400952,31652.635052114223,14050.725165601847,31911.678145075846,37526.36170170966,20745.898721061752,30945.70441288818,26672.710730395884,41928.015186113735,10758.33333868055,34518.05226903193
1548979200,31388.905017423487,35791.318599802806,36297.993409705705,27781.423999317227,28933.297958788287,27338.682786035977,12534.283957051552,28590.38162802953,33253.62056634863,19041.547667976385,28109.062620072404,23370.04655869653,38019.828178009186,9611.446901627016,30805.02805495397
