month,code,numerator,denominator
2018-07-01,36L,679,1667.807
2020-01-01,36L,611,1708.8490000000004
2022-04-01,36L,514,1729.5939999999996
2022-06-01,36L,498,1732.3809999999999
2019-01-01,36L,688,1679.1390000000004
2019-06-01,36L,646,1692.3339999999998
2023-01-01,36L,471,1743.2730000000013
2018-10-01,36L,710,1674.9460000000004
2019-05-01,36L,671,1689.6880000000006
2022-02-01,36L,486,1727.7179999999994
2019-12-01,36L,633,1707.3329999999996
2022-05-01,36L,510,1730.5729999999999
2019-02-01,36L,627,1682.1779999999999
2019-07-01,36L,659,1694.6399999999999
2022-07-01,36L,477,1734.1569999999988
2018-09-01,36L,646,1672.7740000000008
2020-08-01,36L,555,1713.3139999999994
2020-06-01,36L,578,1712.636000000001
2020-11-01,36L,551,1711.7980000000002
2020-02-01,36L,559,1711.612
2022-03-01,36L,532,1728.7779999999993
2022-10-01,36L,494,1737.8759999999997
2018-01-01,36L,718,1659.5400000000006
2018-03-01,36L,689,1663.4290000000003
2021-07-01,36L,561,1715.706
2021-12-01,36L,579,1724.1039999999998
2018-06-01,36L,715,1665.9990000000005
2020-07-01,36L,624,1713.4700000000003
2019-09-01,36L,589,1699.948
2022-12-01,36L,497,1742.2719999999995
2020-04-01,36L,618,1714.9389999999992
2018-11-01,36L,653,1676.8719999999996
2019-11-01,36L,588,1704.5280000000002
2021-10-01,36L,534,1719.9219999999998
2021-11-01,36L,540,1721.2460000000012
2018-02-01,36L,644,1662.206
2021-08-01,36L,551,1718.524
2019-08-01,36L,627,1697.8180000000002
2021-09-01,36L,545,1719.1129999999991
2022-01-01,36L,540,1726.2480000000003
2022-08-01,36L,497,1735.3249999999994
2018-04-01,36L,673,1664.962
2019-04-01,36L,669,1687.0089999999993
2021-06-01,36L,570,1711.6489999999997
2018-12-01,36L,641,1677.3950000000004
2018-05-01,36L,723,1665.2310000000004
2020-12-01,36L,588,1712.0010000000004
2021-05-01,36L,539,1710.1490000000001
2019-03-01,36L,628,1684.2980000000011
2020-05-01,36L,561,1713.353000000001
2019-10-01,36L,635,1701.6059999999995
2021-01-01,36L,575,1711.0309999999997
2021-02-01,36L,508,1708.8849999999986
2020-09-01,36L,587,1712.518999999999
2018-08-01,36L,698,1669.9000000000005
2020-03-01,36L,594,1713.5649999999994
2022-09-01,36L,520,1736.8979999999995
2020-10-01,36L,587,1711.7449999999997
2022-11-01,36L,491,1740.3490000000002
2021-03-01,36L,586,1708.6040000000003
2021-04-01,36L,566,1710.9719999999995
2018-07-01,00R,695,173.542
2018-02-01,00R,677,173.119
2021-04-01,00R,488,174.97
2021-10-01,00R,469,175.178
2022-10-01,00R,435,176.731
2018-10-01,00R,798,173.881
2019-03-01,00R,608,174.19299999999996
2020-12-01,00R,517,174.90800000000002
2019-05-01,00R,611,174.28399999999996
2022-11-01,00R,430,176.82899999999998
2019-11-01,00R,629,174.744
2020-06-01,00R,521,174.66
2018-12-01,00R,750,174.03499999999997
2019-12-01,00R,560,174.772
2018-05-01,00R,752,173.326
2018-09-01,00R,681,173.82699999999997
2021-03-01,00R,505,174.95999999999998
2021-02-01,00R,466,174.994
2018-08-01,00R,750,173.65699999999998
2021-08-01,00R,437,175.083
2020-01-01,00R,585,174.81300000000002
2021-09-01,00R,466,175.17999999999998
2022-05-01,00R,458,176.472
2022-12-01,00R,426,177.016
2019-10-01,00R,627,174.776
2018-01-01,00R,681,173.16699999999997
2022-08-01,00R,435,176.638
2022-06-01,00R,431,176.53300000000004
2019-01-01,00R,671,174.035
2022-09-01,00R,431,176.676
2018-04-01,00R,631,173.25700000000003
2020-02-01,00R,530,174.728
2019-02-01,00R,553,174.084
2021-06-01,00R,478,175.04
2018-06-01,00R,719,173.407
2021-07-01,00R,478,175.072
2020-05-01,00R,510,174.646
2020-07-01,00R,542,174.73400000000004
2020-11-01,00R,501,175.07799999999997
2022-03-01,00R,455,176.20799999999997
2019-09-01,00R,568,174.76700000000005
2020-09-01,00R,516,174.85500000000002
2021-01-01,00R,485,174.93500000000003
2022-04-01,00R,425,176.35000000000002
2019-07-01,00R,612,174.51199999999997
2020-04-01,00R,538,174.729
2020-10-01,00R,508,174.937
2018-03-01,00R,737,173.157
2018-11-01,00R,648,173.96900000000002
2021-11-01,02M,476,182.032
2021-12-01,02M,473,182.239
2019-06-01,02M,577,178.19500000000002
2022-07-01,03K,468,183.78900000000007
2022-02-01,03K,404,183.73200000000003
2022-01-01,03K,486,183.59300000000002
2019-04-01,03R,1225,377.9840000000001
2021-05-01,03R,952,385.517
2023-01-01,03R,868,391.344
2019-08-01,03R,1291,379.6259999999999
2020-03-01,03R,1156,382.15
2020-08-01,03R,992,383.105
2019-06-01,04C,281,416.88800000000003
2018-12-01,04C,313,414.09900000000005
2020-02-01,04C,278,423.1430000000001
2019-03-01,06N,490,652.087
2020-11-01,06N,410,660.745
2018-06-01,06N,498,647.038
2018-05-01,06N,503,646.518
2021-05-01,07H,181,321.875
2021-04-01,07H,191,321.55999999999995
2020-04-01,10Q,556,774.8599999999998
2019-07-01,10Q,525,761.8710000000003
2018-07-01,10Q,572,745.948
2020-06-01,10Q,528,773.7000000000003
2018-09-01,10Q,533,748.5110000000001
2022-06-01,15A,287,569.9839999999998
2023-01-01,15A,273,577.0840000000001
2022-03-01,15A,318,568.374
2021-09-01,15A,305,561.5840000000001
2022-11-01,15A,296,575.7260000000002
2022-12-01,15A,302,576.8490000000002
2022-07-01,15A,292,570.902
2021-12-01,15A,328,566.24
2018-04-01,15A,413,543.5120000000001
2022-10-01,15A,272,574.103
2022-09-01,15A,292,572.414
2019-01-01,92A,779,1094.318
2019-11-01,92A,779,1100.8360000000005
2019-04-01,92A,766,1096.266
2022-05-01,92A,566,1125.0280000000002
2019-08-01,92A,803,1098.9580000000005
2019-12-01,92A,795,1101.6699999999992
2021-01-01,92A,700,1109.0779999999997
2021-03-01,92A,695,1110.5879999999997
2021-10-01,92A,621,1120.5619999999997
