name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,2,9.0,9.0,9.0,9.0,9.0,-0.0456882717703496,-0.016160872615119,0.50151607286651,2.9172269298095,1.36852158990571,1.54870533990379,0.530882710590131
00N,5,6.0,6.0,6.0,6.0,6.0,-0.0579717043440499,-0.0217412926122096,0.509203607793743,2.7540119466030197,1.0462951279252901,1.7077168186777198,0.620083300939974
00P,2,18.0,18.0,18.0,18.0,18.0,-0.0720723135130504,-0.0303777712826471,0.5051955231847779,2.4446069159517996,1.16064696015424,1.28395995579756,0.525221436386902
00Q,2,21.0,21.0,21.0,21.0,21.0,-0.0656537032856822,-0.0234706061624174,0.51976414840356,2.8629271452818594,1.85241184156443,1.01051530371744,0.35296577678645297
00R,2,13.0,13.0,13.0,13.0,13.0,-0.0730340442968392,-0.0194324370593738,0.512315545048818,4.09499888414124,2.24176100167871,1.8532378824625302,0.4525612667782629
00T,1,6.0,6.0,6.0,6.0,6.0,-0.021761266325999,-0.008083616739580909,0.5178571428571429,2.7137823043158797,1.49515139005994,1.21863091425594,0.449052568556397
00V,5,11.0,11.0,11.0,11.0,32.0,-0.0363687030061152,-0.0151309254002994,0.503822863296811,2.4470216758713197,1.21986825322141,1.22715342264991,0.5014885788508401
00X,4,4.0,4.0,4.0,4.0,32.0,-0.0152026993469931,-0.00941782010674325,0.502851586094971,1.6390164945776697,0.822726174094736,0.816290320482932,0.498036672103943
00Y,6,7.0,7.0,7.0,7.0,26.0,-0.0570235843938128,-0.025473838750842005,0.535779337108678,2.24629035246721,1.50127265001012,0.74501770245709,0.331665806977624
01A,1,14.0,14.0,14.0,14.0,14.0,-0.0178968191194003,-0.0100287176089577,0.5208333333333329,1.80245390979018,0.9434065920589649,0.8590473177312149,0.476598770745386
01D,2,8.0,8.0,8.0,8.0,8.0,-0.0749355995221054,-0.0227078079580389,0.506167274453318,3.42427552084821,1.35164371263313,2.07263180821508,0.60527600527357
01E,5,6.0,6.0,6.0,6.0,6.0,-0.0213156017581533,-0.0136244205089102,0.5203089384998401,1.5913321074062199,0.6490864449522111,0.942245662454013,0.592111262048132
01F,1,26.0,26.0,26.0,26.0,26.0,-0.0128031992666773,-0.007467146595720391,0.527777777777778,1.7274071785182898,1.26649200491791,0.460915173600384,0.266824857122419
01G,2,2.0,2.0,2.0,2.0,2.0,-0.0315988485011479,-0.0125955565383553,0.504391714999192,2.5403286854817404,1.09943762023583,1.44089106524592,0.5672065483024971
01H,1,2.0,2.0,2.0,2.0,2.0,-0.0156474043305219,-0.00721546869005347,0.516666666666667,2.18423894046897,1.24539468063766,0.9388442598313159,0.42982672016173296
