name,is.nbreak,is.tfirst,is.tfirst.pknown,is.tfirst.pknown.offs,is.tfirst.offs,is.tfirst.big,is.slope.ma,is.slope.ma.prop,is.slope.ma.prop.lev,is.intlev.initlev,is.intlev.finallev,is.intlev.levd,is.intlev.levdprop
00L,2,9,9,9,9,9,-0.00282290284358659,-0.0169487899524291,0.5074623826458161,0.171034112519164,0.0987179404803808,0.0723161720387832,0.422817243727799
00N,5,5,5,5,5,5,-0.00468500920770542,-0.0246506622501759,0.5204656677274051,0.194741128599467,0.0957238360472303,0.0990172925522366,0.508455985976594
00P,2,16,16,16,16,16,-0.0038043031778810603,-0.0253208693443738,0.554539388237828,0.15404808533800501,0.0923054403119578,0.0617426450260471,0.400801119277623
00Q,2,22,22,22,22,22,-0.0045713109486338705,-0.0248495612170657,0.5392335905212171,0.188530734163499,0.12918877698032902,0.0593419571831701,0.314760123575964
00R,5,14,14,14,14,14,-0.0128635540761824,-0.073576583545919,0.51957411781107,0.201715436360847,0.127441793957089,0.0742736424037574,0.368210007839411
00T,2,8,8,8,8,8,-0.00165839243134797,-0.00776503731048835,0.503939112088591,0.22059083822542197,0.148191945949639,0.0723988922757824,0.328204438852524
00V,5,12,12,12,12,32,-0.00253217900149735,-0.0135432808759828,0.511111015132628,0.19025690606935602,0.110988678963266,0.0792682271060904,0.416637843764757
00X,3,2,2,2,2,32,-0.00127578210676414,-0.0100019589404088,0.506962581488185,0.129257752595876,0.0587951577342698,0.07046259486160601,0.545132446189957
00Y,4,8,8,8,8,9,-0.00100230088342744,-0.00540304575209676,0.5036510829041071,0.186121631747123,0.14035002298594298,0.0457716087611792,0.24592310056344
01A,1,8,8,8,8,8,-0.00124485382302856,-0.00806763521628414,0.5185185185185189,0.155547048909376,0.0883249424658336,0.0672221064435423,0.4321657460869411
01D,2,7,7,7,7,7,-0.0038678437488767797,-0.0181061742217755,0.500922035565524,0.217974373815141,0.11759554205017099,0.10037883176496999,0.46050748997723495
01E,6,6,6,6,6,6,-0.00196590301504398,-0.0155814688450817,0.50765294006765,0.12867542665055,0.0550972902157292,0.0735781364348211,0.5718118707672181
01F,1,8,8,8,8,8,-0.0009110434903212641,-0.0071349471860788095,0.5185185185185179,0.128598532487973,0.0794021840106246,0.0491963484773483,0.382557619636517
01G,2,3,3,3,3,3,-0.00144967433160015,-0.0093477436767726,0.518069346854364,0.15653248166213501,0.103366216435974,0.0531662652261605,0.339650050019116
01H,1,2,2,2,2,2,-0.00121640062113704,-0.005674596177401179,0.516666666666667,0.21557537579919503,0.14259133853097197,0.0729840372682223,0.33855460994861497
01J,1,35,35,35,35,35,-0.0012659279548232199,-0.0100173692922181,0.5185185185185189,0.127639221969914,0.0934591671896873,0.0341800547802269,0.267786455077918
01K,6,12,12,12,12,12,-0.00288218201397376,-0.014299850161583,0.5238727352910201,0.211649512063547,0.14562930937353302,0.0660202026900138,0.311931750025445
01T,1,15,15,15,15,15,-0.000505150842960809,-0.00410738333369616,0.51063829787234,0.12349119863077,0.0997491090116123,0.023742089619158,0.192257342081075
01V,2,5,5,5,5,5,-0.0013895789744304199,-0.00766604303441038,0.5039971110966811,0.182653755054978,0.13026853313033598,0.0523852219246416,0.28680068421738103
01W,2,21,21,21,21,21,-0.00158802426209505,-0.0104160115008587,0.509551987388246,0.158820796710583,0.115189645778792,0.0436311509317912,0.274719380808166
01X,2,14,14,14,14,14,-0.00124911255166272,-0.00912132702383511,0.51692002875256,0.13819328179355403,0.106779402917934,0.0314138788756207,0.227318422921236
01Y,2,17,17,17,17,17,-0.00200091090262079,-0.0114263081631247,0.50200786504031,0.17733248347143,0.125516877490871,0.0518156059805588,0.292194667137264
02A,4,9,9,9,9,32,-0.00168406314152089,-0.0112274283241208,0.515242531081938,0.150790610476911,0.101763316340752,0.0490272941361592,0.325134927042863
02E,5,6,6,6,6,15,-0.0017757244144571802,-0.0110981863435851,0.505921537013771,0.161110368468935,0.0979325096078694,0.0631778588610652,0.39214024188174607
02G,1,2,2,2,2,2,-0.0008533047848816549,-0.00440023690415801,0.516666666666667,0.19477576929476398,0.143577482201864,0.0511982870928993,0.262857578631449
02H,5,8,8,8,8,8,-0.00141134548298874,-0.0076062767936516205,0.504461842213851,0.186925291938917,0.11977989310542,0.0671453988334973,0.359209811240733
02M,6,7,7,7,7,14,-0.00167724169055752,-0.00905927323359208,0.5004040549776649,0.18667971968556799,0.12299599889314801,0.0636837207924208,0.341138935175635
02P,6,5,5,5,5,19,-0.00228668096330477,-0.0127803855262304,0.5141123712654411,0.179777037863977,0.12195533548052401,0.0578217023834538,0.321630076179154
02Q,6,14,14,14,14,14,-0.0030528243756159,-0.0213512905055836,0.506127812111113,0.165381160088942,0.111095624453309,0.0542855356356338,0.328244980301498
