"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",2,4,4,4,4,4,-0.00140041840674914,-0.00867124336475218,0.508027573641684,0.162901871870933,0.102257122359343,0.0606447495115906,0.372277794079857
"2","ratio_quantity.99A",4,2,2,2,2,34,-0.000862536671627168,-0.00521739990496226,0.504088706071722,0.166648650459565,0.118738378885014,0.0479102715745519,0.287492706616166
"3","ratio_quantity.99C",6,10,10,10,10,10,-0.0037392520211843,-0.0239749380456884,0.505171338234769,0.164682602639586,0.0684572774949414,0.0962253251446445,0.584307775091685
"4","ratio_quantity.99E",6,9,9,9,9,15,-0.0013701140498253,-0.00862143975909365,0.516292439751788,0.160047236408839,0.112279632241108,0.0477676041677308,0.298459412605595
"5","ratio_quantity.99F",4,16,16,20,20,47,-0.00221583736291032,-0.014155987371895,0.526161342917608,0.154522611358503,0.108198016592843,0.0463245947656598,0.299791689762371
"6","ratio_quantity.99G",1,7,7,7,7,7,-0.00126072831226473,-0.00630303754821487,0.509090909090909,0.201279894090801,0.131939836916241,0.0693400571745603,0.344495695845704
"7","ratio_quantity.A3A8R",2,9,9,9,9,9,-0.00165503804868584,-0.0113180185580115,0.507169049946631,0.148388678565611,0.105965950610938,0.0424227279546731,0.285889249535407
"8","ratio_quantity.B2M3M",5,5,5,5,5,7,-0.00119927476181299,-0.0068492857502088,0.503590123327082,0.176179979794149,0.116643726685683,0.059536253108466,0.337928595394487
"9","ratio_quantity.D2P2L",2,3,3,3,3,3,-0.00109923146270323,-0.00629711863606983,0.519904934761747,0.175660253134876,0.120688630210425,0.0549716229244507,0.312942865237945
"10","ratio_quantity.D4U1Y",2,8,8,8,8,8,-0.00199060882677939,-0.0105699509597812,0.50046489384546,0.190317767046688,0.114744898352151,0.0755728686945369,0.397087827727601
"11","ratio_quantity.D9Y0V",5,4,4,4,4,8,-0.00118736202245676,-0.00754771831760626,0.514982632056678,0.158195120228069,0.102859878289607,0.055335241938462,0.349791079893523
"12","ratio_quantity.M1J4Y",2,3,3,3,3,3,-0.00131279570691802,-0.00645358913401935,0.519542783867772,0.204733819211153,0.144089926264597,0.0606438929465554,0.296208477818754
"13","ratio_quantity.M2L0M",2,19,19,19,19,19,-0.00144212060530103,-0.00781117211902269,0.526543521478245,0.186064938196148,0.144982277034948,0.0410826611611995,0.22079743534427
"14","ratio_quantity.W2U3Z",1,3,3,3,3,3,-0.000739381624451071,-0.0050750763123497,0.508474576271186,0.146428151397599,0.102804635554986,0.0436235158426132,0.297917548137048
"15","ratio_quantity.X2C4Y",2,6,6,6,6,6,-0.00212849897604749,-0.0113340431351942,0.506428647762066,0.190317382933961,0.131475953255076,0.0588414296788858,0.309175277485311
