month,code,numerator,denominator
2020-04-01,00Q,6442.514549999999,178.557
2020-02-01,00Q,5764.68358,178.37
2022-08-01,00Q,8151.384329999999,181.67400000000004
2019-07-01,00Q,6954.892500000001,177.37399999999997
2020-10-01,00Q,7266.059650000001,178.88000000000002
2021-10-01,00Q,7849.4505500000005,180.648
2023-01-01,00Q,7530.62067,182.40599999999998
2020-12-01,00Q,8015.16135,179.05000000000004
2019-02-01,00Q,6392.415129999999,176.51799999999997
2021-02-01,00Q,6310.910359999999,179.39699999999993
2023-06-01,00Q,8797.56693,183.412
2019-09-01,00Q,7031.110160000002,177.75700000000003
2019-06-01,00Q,5427.136920000001,177.18099999999998
2022-09-01,00Q,8607.77216,181.92799999999997
2022-11-01,00Q,7550.0351,182.088
2020-11-01,00Q,6868.828550000001,179.053
2020-08-01,00Q,6473.898150000001,178.82999999999998
2023-10-01,00Q,8708.833139999999,184.393
2020-06-01,00Q,7145.250120000002,178.527
2022-05-01,00Q,8787.959980000001,181.458
2019-11-01,00Q,7073.564499999999,177.97300000000004
2021-12-01,00Q,8291.04905,180.82800000000003
2022-03-01,00Q,7962.84933,181.242
2023-07-01,00Q,8084.995790000001,183.66200000000003
2021-08-01,00Q,7169.7523599999995,180.38699999999997
2022-04-01,00Q,7016.45437,181.34400000000005
2023-02-01,00Q,6675.306640000001,182.58800000000002
2024-01-01,00Q,6896.746259999999,185.349
2019-10-01,00Q,7493.63276,177.81500000000003
2020-03-01,00Q,8105.531199999999,178.50399999999996
2022-06-01,00Q,7755.5276,181.45999999999998
2020-01-01,00Q,7322.195460000001,178.316
2021-03-01,00Q,7532.45476,179.44700000000003
2020-07-01,00Q,7215.69535,178.66600000000003
2021-07-01,00Q,6617.454870000001,180.112
2021-11-01,00Q,7168.299069999998,180.71699999999998
2023-08-01,00Q,10025.501849999999,183.93500000000006
2021-01-01,00Q,6592.675400000001,179.30200000000002
2023-09-01,00Q,9318.408019999999,184.244
2020-09-01,00Q,7580.573340000001,178.871
2019-04-01,00Q,6911.411109999999,176.92100000000005
2021-09-01,00Q,7267.81845,180.55299999999997
2019-12-01,00Q,6599.660969999998,178.12900000000002
2023-12-01,00Q,9775.68242,185.13000000000002
2024-02-01,00Q,6043.8305,185.64199999999997
2023-03-01,00Q,7732.76311,182.76
2019-03-01,00Q,6125.28802,176.69700000000003
2022-02-01,00Q,6580.885420000001,181.088
2020-05-01,00Q,6648.254960000001,178.512
2021-06-01,00Q,7835.110999999999,179.871
2022-12-01,00Q,7144.49654,182.32
2023-05-01,00Q,8935.933009999999,183.18700000000004
2019-08-01,00Q,6659.3975199999995,177.59
2023-11-01,00Q,8928.96129,184.748
2022-10-01,00Q,6698.022070000001,181.97700000000003
2022-01-01,00Q,7499.799509999998,180.95800000000003
2022-07-01,00Q,7887.032559999999,181.61499999999998
2019-05-01,00Q,6977.255529999999,177.00799999999998
2023-04-01,00Q,7457.664639999997,183.00500000000002
2021-04-01,00Q,7033.16274,179.55200000000002
2021-05-01,00Q,6474.648619999999,179.667
2022-09-01,00R,7144.158949999999,176.676
2022-03-01,00R,6181.04009,176.20799999999997
2019-08-01,00R,4652.685930000001,174.665
2023-01-01,00R,7547.748339999999,176.993
2021-01-01,00R,5586.320830000001,174.93500000000003
2021-08-01,00R,5103.4934699999985,175.083
2020-08-01,00R,5386.2028199999995,174.80399999999997
2020-10-01,00R,5445.37967,174.937
2022-02-01,00R,5472.358309999999,176.13400000000001
2019-04-01,00R,4251.074009999999,174.194
2020-05-01,00R,5324.50271,174.646
2023-02-01,00R,7142.14146,177.045
2023-05-01,00R,10428.23007,177.452
2023-11-01,00R,9944.24685,178.46700000000004
2019-10-01,00R,4736.597809999998,174.776
2021-04-01,00R,5450.03646,174.97
2019-03-01,00R,4553.165169999999,174.19299999999996
2021-12-01,00R,6631.700069999999,175.476
2020-01-01,00R,4586.96215,174.81300000000002
2024-01-01,00R,6759.290869999999,178.497
2022-06-01,00R,5873.5219,176.53300000000004
2020-11-01,00R,5415.427890000001,175.07799999999997
2019-12-01,00R,4844.933330000001,174.772
2020-03-01,00R,5741.401440000001,174.76299999999998
2022-11-01,00R,7043.3941700000005,176.82899999999998
2021-03-01,00R,5204.00778,174.95999999999998
2021-02-01,00R,5141.801729999999,174.994
2019-02-01,00R,4063.1039400000004,174.084
2023-06-01,00R,10560.29861,177.71099999999998
2022-08-01,00R,7116.2208,176.638
2022-01-01,00R,5673.897710000001,175.74499999999995
2019-07-01,00R,4689.69418,174.51199999999997
2021-11-01,00R,5727.9405000000015,175.469
2023-09-01,00R,9187.092620000001,178.24199999999996
2022-12-01,00R,8520.43625,177.016
2020-09-01,00R,5459.38365,174.85500000000002
2023-12-01,00R,10718.243960000002,178.541
2019-11-01,00R,4858.29145,174.744
2020-02-01,00R,5049.120159999999,174.728
2022-07-01,00R,7108.571759999999,176.58899999999997
2021-07-01,00R,5247.1415099999995,175.072
2024-02-01,00R,7446.80618,178.59499999999997
2019-05-01,00R,3929.0594199999996,174.28399999999996
2023-04-01,00R,8973.454529999999,177.381
2019-09-01,00R,5004.34232,174.76700000000005
2022-10-01,00R,6892.02219,176.731
2020-04-01,00R,5483.3557,174.729
2020-07-01,00R,6141.40077,174.73400000000004
2023-10-01,00R,9196.99161,178.293
2019-06-01,00R,3900.8757299999993,174.43099999999998
2021-05-01,00R,5317.40759,175.022
2021-10-01,00R,5931.25927,175.178
