"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.26A",4,15,15,18,18,18,0.622308798047615,0.0211278279868417,0.535868321915467,29.5726584349849,45.8309868644848,-16.2583284294998,-0.549775680980577
"2","ratio_quantity.27D",1,15,15,15,15,15,0.224810342269995,0.00717625899250133,0.51063829787234,31.1021446219956,41.6682307086854,-10.5660860866898,-0.339722106469062
"3","ratio_quantity.36J",1,12,12,12,12,12,0.156864585386006,0.00431521744340978,0.52,36.1946257956075,44.0378550649077,-7.84322926930029,-0.216695962367212
"4","ratio_quantity.36L",1,19,19,19,19,19,0.10630376780528,0.00428047291954485,0.511627906976744,24.7282810557294,29.2993430713565,-4.57106201562704,-0.184851587755953
"5","ratio_quantity.42D",4,4,4,4,4,14,0.403728660968743,0.0152914441264096,0.501914769895261,26.3095261077875,40.7883108204865,-14.4787847126991,-0.550324800734949
"6","ratio_quantity.52R",4,15,15,18,18,18,0.516900835769776,0.0167301213650456,0.500987133196619,31.2613899590592,43.6425662772201,-12.3811763181609,-0.396053289197174
"7","ratio_quantity.70F",1,15,15,15,15,15,0.402753641456269,0.0129011101498562,0.51063829787234,30.8157722666229,49.7451934150675,-18.9294211484446,-0.614277032704691
"8","ratio_quantity.71E",2,19,19,19,19,19,1.05730750920552,0.0262257562496496,0.514613977183678,37.8516916269033,64.5610276128668,-26.7093359859635,-0.705631237019263
"9","ratio_quantity.72Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.78H",4,15,15,15,15,47,0.592818643158711,0.0231078364344346,0.521557191455682,25.3888868092927,40.1651040435979,-14.7762172343052,-0.581995474842829
"11","ratio_quantity.84H",4,13,13,13,13,18,0.692894329101304,0.0180438427454948,0.506334735274568,38.2925265780678,56.0823909716935,-17.7898643936258,-0.464577973390113
"12","ratio_quantity.91Q",1,15,15,15,15,15,0.208202407784393,0.00578013756371959,0.51063829787234,35.8121181277034,45.5976312935699,-9.78551316586649,-0.27324586417849
"13","ratio_quantity.92A",4,3,3,3,3,19,0.714014814589253,0.0182796287537291,0.54373639255513,38.9829903487851,54.740953016701,-15.757962667916,-0.404226626201011
"14","ratio_quantity.92G",2,18,18,18,18,18,0.660361065224799,0.021934633181187,0.50613184584233,29.4455021042208,37.2738306788727,-7.82832857465185,-0.265858213147253
"15","ratio_quantity.93C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
