month,ratio_quantity.01K,ratio_quantity.01T,ratio_quantity.01V,ratio_quantity.01W,ratio_quantity.01X,ratio_quantity.01Y,ratio_quantity.02A,ratio_quantity.02E,ratio_quantity.02G,ratio_quantity.02H,ratio_quantity.02M,ratio_quantity.02P,ratio_quantity.02Q,ratio_quantity.02T,ratio_quantity.02X
1514764800,61331.911386181586,107541.38055889617,85623.36352062265,70505.1299754339,125353.47600354563,74443.7446254677,81293.2380010019,86610.4970346841,91371.11091580246,112724.61459922297,71366.88116108476,102356.97279304687,103819.08839212469,63659.62508455802,83988.04388597149
1517443200,55270.741840448914,96672.17186542366,79480.46956326775,62933.341895710226,108451.15704028735,65760.74882763301,71080.94291982282,80022.85735267794,81549.9569261063,103006.43572975432,65304.016179643615,90235.14465554077,99104.90692295217,56455.82598044776,76626.65167275793
1519862400,62621.74109130437,108984.41628749305,86657.13713713714,67947.01040723694,129937.32717493695,74437.48461899214,81152.57940120157,88803.11864904416,88592.71726901983,114991.34240116297,75970.04114762414,99908.24806094235,100327.97863809313,61194.94258922375,84150.21453866377
1522540800,58905.35863502702,105251.04467602144,83104.36549522812,66057.56463955149,120669.00392355397,73205.52588808916,77298.10875682837,83395.15034214534,86203.1979735613,112029.89725013655,70738.02839134504,97082.6386274404,101090.08901469936,65205.3595322656,82907.72528840727
1525132800,62228.59612304954,116363.10329273791,92107.98467531016,68829.82440954226,127245.5280766933,76736.18233882682,80757.95151590304,89041.56599162811,92519.72902828486,117479.5101961167,77544.5771722035,103201.861136491,108607.47472510625,62890.49612993275,85272.53766799788
1527811200,61240.2574320946,108661.74642735238,85756.29848836278,68512.2475386419,126273.21934439497,79362.78603641225,79449.97873017052,88548.73361765283,83483.1124223876,113883.82438073185,72680.7502212003,102804.75034235149,106959.37492020529,65997.57693788355,86058.91697425595
1530403200,64373.1092728339,116454.00182808297,88010.11150633468,69489.78514575283,129409.71484639736,69483.90208609671,81730.88271098032,88885.4888102573,94626.41066591372,113765.57305177012,75600.4234639577,102061.2678296936,108398.90148197903,64402.85608275038,85790.34120800269
1533081600,64688.59846908099,119376.17447936778,93357.94860331627,71681.29528826269,132507.10241633808,81176.11216910623,86327.82433846737,88669.93496931394,93310.10914485536,118162.5861948345,78452.30526878395,108051.5898083807,110137.49776996202,65648.14772958435,89684.91221744212
1535760000,59471.858680376834,109540.60241273761,82524.69682110651,65016.61654567395,122057.70600807409,75269.14188591517,75080.81971935311,85278.6304874149,85546.1780345187,111431.05088619981,75836.42433234422,95341.65114170623,105772.71261793253,62754.02651968646,81155.43341562252
1538352000,66762.56741556834,118062.2424776145,90571.73867935069,75911.15263603405,136186.27104079258,80073.4078372708,88076.65555418364,97688.72580379828,92684.2420084094,116178.20614885355,83958.42932760925,107364.75990051658,117595.63536473701,70901.80455817023,87712.18709236597
1541030400,67538.2598665663,118901.08160879675,94091.09045206082,72423.14497224722,137150.82697876086,80592.42726628666,85291.8186233751,92392.95573797467,98512.14432591083,118170.53244122374,82473.39125941489,104974.16944537916,110711.62254685964,66980.08054564934,88551.00634047284
1543622400,65583.25203205508,121587.95070802596,93431.41479920833,71677.95771838854,136412.8309664903,84122.40109948588,84567.54344105838,92097.71309771312,90608.34497482803,117442.96560639449,86815.91788375474,105138.66437374603,111676.79464361387,67309.45666223753,87064.12623543465
1546300800,67214.27896982199,122228.50184425962,94716.22462657986,74132.9995854724,141732.52149141856,84387.08528394057,87656.38819072222,93381.68541993937,103311.92636354045,119382.3110059459,84650.64116960115,110207.12817416957,118198.24776738476,72909.331224582,90135.5945346547
1548979200,57373.47207511522,98387.88739271216,83018.34862385322,63240.515285178866,114191.50171682486,71003.10589148791,75711.9163104242,87213.8229927007,82628.84241800937,103211.91561089334,73782.43518575687,94022.417485104,104100.9187506345,61448.271815034335,77298.06839948673
1551398400,62915.67020761671,115031.57894736846,90885.81938891948,68173.19602729565,129741.82435367686,81031.7467648227,79663.94994885616,91534.78726555912,89757.10567046574,114013.09714472553,79259.04196188957,104552.757761748,115677.8879897173,66995.43933092142,84405.42733362029
1554076800,65088.8579419114,119878.247482199,95200.57157910704,70066.34330472088,138447.2989147177,80995.77973348601,80144.30876777932,90974.26445460053,98175.19243457225,114683.41199249712,82332.11363406778,106722.67193356389,114910.14549079908,64889.33783076896,83609.04652969743
1556668800,67346.54339315499,126371.59919521229,99259.69508644004,76732.7830263702,150213.2134255028,86964.4290287169,86538.3999507298,97878.45321480292,100585.25236176838,118032.92592950969,86508.39305657666,112196.1865423965,116608.65931691176,70385.33982813705,89887.88260139573
1559347200,62977.92674154344,119309.24106142572,83032.95423731516,67531.28495525727,131436.42111855195,79504.23662397772,78171.93257771515,88856.48367250357,92445.41580828623,108232.97832162549,81998.035859592,102648.61797658671,109049.0029018761,64242.594219549006,82933.46989090843
1561939200,66397.65765146175,127379.6148186064,99574.80892303523,72662.35044580484,136333.26433555133,84612.6684325694,82958.03896734079,90302.71612348745,104422.6856785535,117715.86659059834,80237.56658256237,110447.735927294,120634.15764418419,70563.35872364181,86693.87452689813
1564617600,68085.65663292105,129408.27135883867,93125.86627156718,76835.54438053686,149761.26812435043,85875.48038200437,84684.09116120842,98474.4569315611,94964.05127979205,118700.26953040203,94458.08297728175,115635.68065483315,116612.30160400791,68042.64332871612,90958.67924004821
1567296000,65153.57014711159,118718.06251796034,90152.40795005736,70817.11002286994,136102.13847387288,82211.89616719932,80211.90413527653,93298.18100911766,96121.58054711246,108730.96041453272,86995.65687037214,108875.76840274746,115719.08421335842,60495.795107033635,84258.50289847038
1569888000,69366.68115701628,131322.5458537021,97652.00738935865,75691.53030999034,147478.1094201328,89348.69361727561,84573.77089620352,96696.4707485465,100415.02167008824,117292.40088437461,92363.36779911375,117563.28405230492,121375.61176609094,69356.76896972315,90128.5621432466
1572566400,65624.33797825301,124258.51025824236,92102.25870401187,72329.19805612403,138977.18393498985,84527.87885470649,80660.80789392536,93998.8694973122,95811.95794199925,107787.6224774317,83601.08495050612,109950.64173334397,118364.73545707535,69748.52137590814,84839.19366007543
1575158400,67833.12929788134,127969.48618717601,96939.51311159582,74827.06129204792,150977.60054045057,88373.82139348701,84128.07458371547,96555.02001470469,98791.6768923325,115575.15503642605,90605.7905089747,118032.49652012638,121075.71595386308,68122.67080745341,86765.55093101019
1577836800,67048.95585649312,132575.62039327703,100131.80004618975,76809.72786641581,149013.62070791374,86101.90019176248,86295.69636073605,106108.01036405795,102378.23316475445,115576.48176943132,88512.18735687398,116001.58530295211,121421.35303004867,72195.3580513721,89050.0263069638
