month,ratio_quantity.02Y,ratio_quantity.03F,ratio_quantity.03H,ratio_quantity.03K,ratio_quantity.03L,ratio_quantity.03N,ratio_quantity.03Q,ratio_quantity.03R,ratio_quantity.03W,ratio_quantity.04C,ratio_quantity.04V,ratio_quantity.04Y,ratio_quantity.05D,ratio_quantity.05G,ratio_quantity.05Q
1514764800,62739.12556828844,56662.20463470533,51214.70093540678,78451.07697253607,75142.79187527366,67208.36702841034,66610.89151407867,88896.13407809217,50482.79268795307,43514.140521431735,63389.61615718181,83612.16672812239,55318.50103859035,63033.16362769853,87613.4386830034
1517443200,57509.22260286371,52214.413189712635,47860.936688541624,75448.08749440535,65908.60153693981,57885.49469711844,61108.21975779893,78454.5659484135,46650.66925773234,39113.38873861832,56528.52931726496,73631.25277336965,49499.47417084859,58182.26600985222,79958.04080478726
1519862400,62577.89133217292,59349.67942178863,56010.42705487335,82772.86753234835,72446.69237908318,65424.74506142329,67521.87295203633,90936.19594717816,52447.565033272855,43242.521354443365,61790.95712698851,82219.0269977671,51385.86515601519,65264.435196303995,90998.5724247107
1522540800,58666.438617495754,59393.24347814457,52823.127245270545,76288.06727011476,71580.88738498974,64182.77508934013,66950.89878388296,86610.44309054177,50840.40611039574,42827.882088697705,61613.6986580532,80088.76539501351,51881.83028825491,60557.74389544882,83601.54826314823
1525132800,59716.03440851735,58040.21712971629,53582.58178603006,83195.07778969956,74101.77194602462,67981.3364600231,68945.62126335118,90540.4125024758,52699.56190430402,43826.15838103306,65032.56682559954,83964.64096693067,55074.265611257695,65501.75168289954,89472.1040957319
1527811200,60397.25928383924,58390.94185592079,53985.862810355495,80821.18133095131,75511.21280595484,65712.16236695771,65624.35318665706,86231.24415341437,53299.669917479376,44926.07633684839,65535.49681300325,89103.15364649752,56261.26411089085,65227.803229371595,91413.99190512049
1530403200,60576.55945323118,59778.054238193836,55306.27023844567,82811.06234909024,73153.5608393095,67748.03727101498,66655.24960823818,85688.43133172093,51865.039169029194,46490.13742056368,62570.5340306685,86363.24446710252,53091.0290793187,64419.88012079711,90232.12756547186
1533081600,64031.40064932936,58426.43474777149,54488.991165859356,86948.56525299567,79966.43620793622,69089.9355815839,69054.72678581924,93988.85734468923,55602.11594289649,46698.171850909195,69725.82939592541,90556.6913036641,58277.075578175485,69943.73470926916,96766.48621700052
1535760000,60069.52064329114,56481.01831472516,55977.91872348686,77897.6185176942,71485.31863302267,61801.25432164751,65082.59375734444,85155.04051303203,52608.60272907977,45308.16266157484,63653.28523667971,86408.7178374496,52979.57912127916,62086.775718990946,86876.78544579762
1538352000,64325.70799677691,60426.37763020296,59159.83534150737,85568.57322508664,78221.02793643333,70389.65516109225,71099.0078043806,93880.71934558498,57421.67008227329,48423.3675686737,71019.62230038713,91154.16551342377,58301.12372129475,70056.47275172574,96374.04651906024
