"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.05V",3,3,3,3,3,17,913.998032694495,0.0140478116235616,0.506418573531352,64645.2377035247,79083.855565757,-14438.6178622323,-0.223351609107704
"2","ratio_quantity.05W",1,3,3,3,3,3,429.870906769056,0.00633073605157262,0.508474576271186,67472.3292903583,92834.7127897326,-25362.3834993743,-0.37589310708736
"3","ratio_quantity.06H",3,3,3,3,3,3,407.852863925721,0.00928466195110719,0.500293404765796,43487.1745675425,56530.8120823453,-13043.6375148028,-0.299942170180404
"4","ratio_quantity.06K",3,3,3,3,3,3,306.307788188151,0.00794262730344475,0.512725831066534,38207.0401925653,49557.8394364202,-11350.7992438549,-0.297086588928279
"5","ratio_quantity.06L",1,3,3,3,3,3,290.87516767809,0.00450139747560915,0.508474576271187,64327.983587675,81489.6184806824,-17161.6348930073,-0.266783348954458
"6","ratio_quantity.06N",1,3,3,3,3,3,124.621150436192,0.00408835887659048,0.508474576271187,30357.3287463207,37709.976622056,-7352.64787573535,-0.242203388090479
"7","ratio_quantity.06Q",1,3,3,3,3,3,154.712011879174,0.00194934552146785,0.508474576271186,79211.4189153237,88339.4276161949,-9128.00870087126,-0.115236020587247
"8","ratio_quantity.06T",1,3,3,3,3,3,176.846208869901,0.00170577143495716,0.508474576271186,103498.362113717,113932.288437041,-10433.9263233242,-0.100812477707233
"9","ratio_quantity.07G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ratio_quantity.07H",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ratio_quantity.07K",1,3,3,3,3,3,146.824169424709,0.00197110552216592,0.508474576271186,74341.4098564094,83004.0358524673,-8662.62599605785,-0.116524908698796
"12","ratio_quantity.09D",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ratio_quantity.10Q",3,3,3,3,3,3,307.26816956979,0.00887391141644604,0.502040708384402,34278.323635553,46519.0907461962,-12240.7671106432,-0.357099350621313
"14","ratio_quantity.10R",1,3,3,3,3,3,326.99311815408,0.00617283929698588,0.508474576271187,52645.8938179672,71938.4877890579,-19292.5939710907,-0.366459614833369
"15","ratio_quantity.11J",1,3,3,3,3,3,211.444202348157,0.00485022659536356,0.508474576271186,43383.2617749522,55858.4697134935,-12475.2079385413,-0.287558091027262
