"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.00L",4,14,14,14,14,21,-0.91967708295101,-0.0426966774479828,1.49046107223472,21.8642387605537,21.2471967592003,0.617042001353369,0.0282215177080212
"2","ratio_quantity.00N",2,23,23,23,23,23,0.185310965986457,0.00948660032530842,0.501017258220819,19.2905141812647,24.0988167263282,-4.80830254506359,-0.249257355189294
"3","ratio_quantity.00P",2,22,22,23,23,23,0.104891957122077,0.00535397427432703,0.533172108642254,22.8952784735338,23.6822060372369,-0.786927563703131,-0.0343707356349823
"4","ratio_quantity.00Q",3,10,10,10,10,10,0.161364639695963,0.00816301688789204,0.519558685407321,19.6064052806764,22.4016270680383,-2.79522178736194,-0.142566765674116
"5","ratio_quantity.00R",5,8,8,8,8,16,0.0823866537545844,0.00344853589609065,0.600702541078849,23.9848494229884,24.5334514222849,-0.548601999296491,-0.0228728556774127
"6","ratio_quantity.00T",2,21,21,21,21,21,-0.544299023881433,-0.0252058359100495,0.727825435363121,22.1384657804945,19.8949373294317,2.24352845106276,0.101340737579
"7","ratio_quantity.00V",1,40,40,40,40,40,0.0525289670400358,0.0024468325145087,0.545454545454545,21.4156208669027,22.5712581417835,-1.15563727488079,-0.0539623521570087
"8","ratio_quantity.00X",4,22,22,22,22,40,0.14187521854052,0.00731718866749401,0.545503803530871,21.1492281037356,22.1895524250123,-1.04032432127664,-0.0491897064126366
"9","ratio_quantity.00Y",2,22,22,22,22,22,-2.49852240817819,-0.130084447813606,2.96563976198578,21.7054487561937,20.8629585656436,0.842490190550048,0.0388146865800065
"10","ratio_quantity.01A",1,24,24,24,24,24,0.0584538083971655,0.00293763944348138,0.526315789473684,19.8397704365402,22.0610151556325,-2.22124471909229,-0.111959194598405
"11","ratio_quantity.01D",2,21,21,21,21,21,-0.659017528700496,-0.0308197998589229,1.26182541111094,22.0419444690809,21.519671321863,0.522273147217952,0.0236945133379936
"12","ratio_quantity.01E",2,22,22,23,23,23,0.065978299641952,0.00330585845764866,0.649884782149488,22.3281004464691,22.531146590814,-0.203046144344935,-0.00909374914501713
"13","ratio_quantity.01F",4,9,9,9,9,22,-2.28925325110733,-0.0944719602669428,3.9333117162887,24.3527339929375,23.7707172558385,0.582016737098915,0.023899441322182
"14","ratio_quantity.01G",2,22,22,23,23,23,0.0709434608852137,0.003672008451347,0.503141531842728,21.3818601108516,22.0868651282806,-0.705005017429063,-0.0329721087769751
"15","ratio_quantity.01H",4,5,5,5,5,21,-1.69261599690552,-0.0721984114549052,0.651704712500187,23.6240058280556,21.0267927583326,2.59721306972294,0.109939571155986
"16","ratio_quantity.01J",2,26,26,26,26,26,0.116854902980355,0.00513108906590205,0.518143335082283,22.5995109300405,25.0802992481606,-2.48078831812008,-0.109771770097135
