"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.02Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ratio_quantity.03F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.03H",1,2,2,2,2,2,1.84099791854654,0.00530194429299225,0.516666666666667,345.389719118568,455.84959423136,-110.459875112792,-0.319812284496148
"4","ratio_quantity.03K",1,2,2,2,2,2,2.0363598730655,0.00477193723720907,0.516666666666667,424.700156522631,546.881748906561,-122.18159238393,-0.287689068410832
"5","ratio_quantity.03L",2,2,2,2,2,2,3.46700653862877,0.00806770849295012,0.502447845557,426.271690844696,522.874934285803,-96.6032434411075,-0.226623642892352
"6","ratio_quantity.03N",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.03Q",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ratio_quantity.03R",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.03W",1,2,2,2,2,2,1.15304496394901,0.0039740559345651,0.516666666666667,288.990069006889,358.17276684383,-69.1826978369406,-0.239394724097911
"10","ratio_quantity.04C",2,2,2,2,2,2,2.35978428884923,0.0105599197528601,0.54456097438534,221.106335158706,273.106777346385,-52.0004421876787,-0.235182959142051
"11","ratio_quantity.04V",3,2,2,2,2,2,3.88533368165708,0.0122982461023153,0.53978386068263,312.040502354884,405.613766656759,-93.5732643018746,-0.299875380265391
"12","ratio_quantity.04Y",1,2,2,2,2,2,3.29961194589693,0.00807727831814305,0.516666666666667,405.205804845969,603.182521599785,-197.976716753816,-0.488583120937946
"13","ratio_quantity.05D",1,2,2,2,2,2,1.40163665386437,0.00441181422225991,0.516666666666667,316.299105773679,400.397305005541,-84.0981992318621,-0.265881874772155
"14","ratio_quantity.05G",1,2,2,2,2,2,1.36390137506883,0.00335303865535127,0.516666666666667,405.401875957118,487.235958461247,-81.8340825041298,-0.201859160890479
"15","ratio_quantity.05Q",2,2,2,2,2,2,3.99073034539859,0.00950653672330874,0.517394248609229,415.797301989644,516.068023261933,-100.27072127229,-0.241152890585103
