month,code,numerator,denominator
2019-12-01,00Y,800,2061
2020-01-01,00Y,818,2158
2020-07-01,00Y,829,2071
2020-03-01,00Y,865,2096
2019-05-01,01E,622,1527
2020-04-01,01E,606,1454
2019-06-01,01G,661,1687
2021-05-01,01G,599,1580
2020-06-01,01G,712,1780
2020-12-01,01G,725,1944
2021-01-01,01G,751,1851
2019-09-01,01G,693,1898
2021-06-01,01G,719,1768
2021-08-01,01G,737,1874
2019-08-01,01G,727,2012
2021-04-01,01G,667,1719
2020-05-01,01G,699,1754
2020-02-01,01G,675,1789
2020-09-01,01G,705,1914
2021-02-01,01G,678,1751
2019-11-01,01G,671,1802
2020-11-01,01G,756,1990
2021-10-01,01G,683,1867
2021-07-01,01G,731,2023
2021-09-01,01G,794,2056
2020-10-01,01G,769,1981
2019-04-01,01Y,668,1619
2018-05-01,01Y,670,1724
2019-01-01,01Y,713,1844
2018-01-01,01Y,709,1816
2019-03-01,01Y,661,1704
2019-07-01,01Y,608,1581
2018-04-01,01Y,666,1723
2018-08-01,01Y,791,2058
2021-03-01,01Y,704,1762
2017-08-01,01Y,701,1876
2018-12-01,01Y,674,1714
2019-02-01,01Y,565,1522
2022-01-01,04C,796,1984
2021-11-01,04C,809,2039
2021-12-01,04C,858,2065
2022-03-01,04C,828,2002
2017-06-01,13T,1444,3501
2017-12-01,13T,1205,2970
2018-07-01,13T,1246,3235
2017-07-01,13T,1291,3347
2017-10-01,13T,1334,3606
2017-03-01,13T,1510,3738
2017-05-01,13T,1387,3343
2017-09-01,13T,1373,3530
2017-11-01,13T,1299,3343
2019-10-01,13T,1288,3331
2017-04-01,13T,1155,2968
2020-08-01,15F,2179,5624
2018-11-01,15F,2437,6364
2018-06-01,15F,2340,6006
2018-09-01,15F,2457,6343
2018-03-01,15F,2319,5764
2022-02-01,15F,2235,5525
2018-10-01,15F,2454,6560
2018-02-01,15F,2158,5503
2021-05-01,07K,1323,1722
2017-03-01,99E,1412,1823
2019-03-01,99E,1314,1663
2017-05-01,99E,1341,1684
2018-01-01,99E,1487,1874
2018-03-01,99E,1340,1705
2017-04-01,99E,1218,1531
2018-11-01,99E,1401,1740
2017-06-01,99E,1406,1757
2018-08-01,99E,1453,1855
2017-07-01,99E,1472,1836
2017-11-01,99E,1407,1783
2018-09-01,99E,1366,1736
2017-09-01,99E,1399,1827
2018-05-01,99E,1289,1622
2018-02-01,99E,1294,1639
2019-02-01,99E,1200,1553
2017-08-01,99E,1504,1889
2018-10-01,99E,1478,1880
2017-10-01,99E,1421,1835
2018-06-01,99E,1297,1670
2019-04-01,99E,1311,1623
2018-04-01,99E,1235,1586
2021-03-01,99F,1017,1306
2021-04-01,99G,749,948
2020-12-01,99G,909,1130
2019-05-01,99G,796,1011
2021-11-01,99G,844,1135
2021-02-01,99G,722,950
2020-11-01,99G,903,1150
2021-07-01,99G,857,1126
2022-02-01,99G,751,977
2019-10-01,99G,894,1125
2021-08-01,99G,843,1093
2021-10-01,99G,849,1081
2020-06-01,99G,880,1091
2019-11-01,99G,811,1031
2020-03-01,99G,885,1125
2019-08-01,99G,899,1089
2020-05-01,99G,813,1024
2021-01-01,99G,813,1026
2019-06-01,99G,762,974
2019-12-01,99G,786,1037
2021-06-01,99G,843,1067
2017-12-01,99G,767,978
2020-02-01,99G,830,1054
2020-09-01,99G,885,1109
2021-09-01,99G,862,1147
2018-12-01,99G,911,1098
2020-08-01,99G,842,1054
2020-10-01,99G,909,1146
2020-04-01,99G,861,1107
2019-01-01,99G,917,1144
2022-03-01,99G,821,1103
2019-07-01,99G,884,1100
2019-09-01,99G,764,999
2020-01-01,99G,894,1167
2018-07-01,99G,820,1059
2022-01-01,99G,784,1018
2020-07-01,99G,913,1164
2021-12-01,99G,843,1109
2017-09-01,00L,1255,2849
2017-12-01,00L,1228,2684
2017-04-01,00L,1139,2441
2017-11-01,00L,1225,2794
2022-02-01,00N,553,1260
2022-03-01,00N,531,1239
2020-10-01,00N,571,1328
2019-12-01,00X,638,1490
2019-11-01,00X,612,1472
2021-07-01,00X,603,1402
2021-09-01,00Y,906,2141
2021-01-01,00Y,805,1883
2021-12-01,00Y,858,1922
2019-07-01,01D,709,1653
2017-05-01,01E,615,1333
2018-09-01,01E,597,1442
2020-06-01,01E,656,1508
2019-06-01,01E,594,1405
2021-06-01,01E,626,1440
2020-08-01,01E,601,1454
2021-05-01,01E,599,1374
2018-10-01,01G,836,2015
2019-02-01,01G,687,1654
2019-01-01,01G,793,1914
2019-08-01,01H,1147,2725
2018-08-01,01H,1170,2775
2018-03-01,01H,1016,2308
2017-08-01,01H,1194,2693
2018-04-01,02P,804,1755
2018-02-01,03N,1547,3437
2017-10-01,03N,1807,4148
2020-09-01,04C,831,2064
2018-12-01,04C,734,1741
2018-11-01,04C,824,1949
2019-05-01,04C,803,1869
2020-07-01,04C,902,2132
2020-05-01,04C,839,1912
2017-03-01,05G,922,2010
2021-11-01,13T,1369,3188
2018-06-01,13T,1283,3013
2019-10-01,15F,2680,6498
2019-09-01,15F,2504,6003
2020-11-01,84H,2104,4894
2021-10-01,84H,1917,4489
2020-04-01,84H,2070,4600
2017-06-01,84H,2054,4545
2017-07-01,84H,1983,4357
2020-02-01,84H,1676,3967
2021-03-01,84H,1949,4667
2021-02-01,84H,1858,4200
2020-03-01,99C,684,1580
2018-07-01,99C,658,1574
2019-04-01,99C,654,1508
2022-01-01,99C,712,1660
2019-03-01,99C,646,1571
2018-01-01,99C,703,1597
2021-04-01,99C,660,1495
2021-08-01,99C,755,1746
2020-12-01,99C,775,1786
2018-05-01,99C,648,1470
2020-01-01,99C,724,1750
2021-01-01,00L,1352,2865
2019-03-01,00L,1227,2739
2019-04-01,00L,1224,2616
2020-11-01,00L,1445,3069
2017-04-01,00N,614,1231
2021-06-01,00P,953,1990
2021-03-01,00P,1000,2089
2020-08-01,00P,935,2044
2020-06-01,00P,1032,2235
2021-09-01,00Q,570,1257
2018-04-01,00X,633,1310
2019-09-01,00X,683,1545
2017-12-01,00X,652,1360
2018-07-01,00Y,1078,2322
2021-05-01,01D,745,1553
2017-05-01,01D,826,1678
2019-02-01,01D,702,1522
2020-02-01,01D,719,1588
2017-09-01,01D,850,1821
2018-06-01,01D,759,1616
2018-11-01,01D,867,1870
2020-03-01,01H,1189,2523
2021-10-01,01H,1249,2665
2020-01-01,01H,1249,2850
2019-12-01,01H,1158,2570
2020-04-01,01H,1218,2537
2021-02-01,01H,1159,2420
2017-08-01,01K,1419,2936
2022-02-01,02A,726,1566
2020-12-01,02A,928,1921
2021-11-01,02P,1002,2158
2018-05-01,02P,872,1805
2019-08-01,02P,897,2005
2017-03-01,02P,1045,2101
2021-07-01,02P,950,2060
2019-11-01,02P,792,1771
2021-08-01,02P,956,2073
2018-08-01,02P,977,2132
2018-12-01,02P,852,1809
2019-10-01,02P,897,2028
2018-10-01,02P,931,2091
2017-06-01,02P,940,1938
2019-07-01,02P,903,2038
2020-09-01,02P,901,1992
2022-01-01,02T,845,1780
2019-01-01,03N,1762,3899
2018-03-01,03W,1179,2440
2018-09-01,03W,1179,2540
2018-01-01,03W,1218,2573
2020-10-01,03W,1304,2850
2017-07-01,04C,998,2059
2022-03-01,04V,1399,2925
2017-11-01,05W,1013,2136
2017-10-01,05W,957,2056
2018-02-01,09D,808,1702
2019-05-01,14L,1732,3730
2021-04-01,14L,1745,3566
2020-07-01,15C,3413,7507
2019-06-01,15E,3303,7150
2020-05-01,15F,2611,5588
2021-12-01,52R,3514,7317
2021-04-01,00P,906,1728
2017-03-01,00P,1129,2109
2019-10-01,00Q,590,1205
2021-09-01,00R,727,1438
2020-04-01,00R,688,1316
2022-03-01,00R,687,1356
2019-06-01,00R,655,1301
2022-02-01,00T,1007,1951
2017-12-01,00Y,1097,2060
2018-08-01,01A,1520,2989
2020-03-01,01A,1323,2562
2019-01-01,01A,1392,2738
2019-09-01,01A,1355,2765
2021-03-01,01A,1353,2643
2022-01-01,01D,890,1745
2021-07-01,01D,890,1765
2021-11-01,01D,876,1741
2018-01-01,01K,1435,2769
2020-08-01,01W,1243,2489
2021-02-01,02A,846,1664
2019-07-01,02T,940,1874
2020-05-01,02T,832,1602
2021-05-01,02T,806,1542
2020-02-01,02T,740,1508
2020-09-01,02X,1021,2086
2017-06-01,03Q,1472,2732
2018-03-01,03Q,1399,2677
2021-08-01,03Q,1411,2800
2020-11-01,03Q,1458,2891
2020-01-01,04V,1511,3037
2021-01-01,04V,1355,2674
2019-12-01,04V,1385,2736
2019-11-01,04V,1346,2747
2020-10-01,05G,943,1911
2020-06-01,05W,944,1845
2019-02-01,05W,933,1817
2018-05-01,05W,945,1817
2020-07-01,10R,779,1561
2017-11-01,11X,2400,4619
2018-06-01,14L,1833,3535
2018-09-01,14L,1918,3823
2017-08-01,15C,3813,7237
2021-10-01,15E,3785,7598
2021-12-01,15E,3953,7599
2017-07-01,15M,4124,7799
2018-04-01,15M,3780,7155
2019-05-01,15M,3878,7651
2017-04-01,27D,2689,4931
2019-04-01,42D,1622,3166
2019-08-01,42D,1832,3658
2017-09-01,42D,1881,3575
2020-12-01,52R,4089,8012
2017-05-01,52R,3879,7180
2021-06-01,52R,3469,6899
2018-10-01,92G,4122,8125
2018-02-01,92G,3554,6820
2018-07-01,92G,3845,7520
2018-11-01,92G,3834,7577
2017-10-01,99A,1689,3284
2018-12-01,D2P2L,4308,8418
2019-03-01,D2P2L,4639,9012
2020-05-01,01F,527,880
2020-01-01,01F,542,964
2019-04-01,01F,502,865
2020-06-01,01F,525,893
2018-08-01,01J,671,1156
2021-06-01,01J,508,870
2021-12-01,01K,1641,2756
2019-07-01,01T,637,1110
2021-07-01,01T,663,1144
2017-06-01,01V,614,1031
