"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",2,3,3,3,3,3,-0.00727163204604333,-0.00983881594947947,0.736580003850599,0.746347561851198,0.716731096532985,0.0296164653182124,0.0396818678482092
"2","ratio_quantity.99A",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ratio_quantity.99C",2,15,15,15,15,15,-0.013426910575719,-0.0302842561895514,0.540820790810562,0.456789643068769,0.431962730339331,0.0248269127294373,0.0543508661068737
"4","ratio_quantity.99E",2,32,32,32,32,32,-0.00925007425612054,-0.0119208084553254,0.509517069744628,0.785210386913289,0.63997365502901,0.14523673188428,0.184965372726683
"5","ratio_quantity.99F",2,12,12,12,12,12,0.046056444020472,0.0623078642439436,1.10749590272626,0.693119012871372,0.734705120690911,-0.0415861078195392,-0.0599985097036383
"6","ratio_quantity.99G",2,13,13,13,13,13,0.00502311642018892,0.00667453512997873,0.571665434190128,0.747556100314704,0.765129723345822,-0.0175736230311182,-0.0235080992901003
"7","ratio_quantity.A3A8R",1,5,5,5,5,5,-0.000444988295860819,-0.000701082064096882,0.508771929824561,0.635161405458868,0.609797072594801,0.0253643328640667,0.0399336808661137
"8","ratio_quantity.B2M3M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ratio_quantity.D2P2L",1,36,36,36,36,36,0.00136709970786578,0.00268388063924157,0.538461538461538,0.508007157804607,0.543551750209118,-0.0355445924045102,-0.0699686842172047
"10","ratio_quantity.D4U1Y",2,5,5,5,5,5,-0.0020516987223701,-0.00338381809929596,0.506533766840178,0.608611728831177,0.551905179350055,0.0567065494811216,0.0931736060854842
"11","ratio_quantity.D9Y0V",2,2,2,2,2,2,-0.00352665519796124,-0.00541321396809257,0.558711358619657,0.655016734612633,0.623456116204282,0.0315606184083508,0.0481829192150568
"12","ratio_quantity.M1J4Y",2,3,3,3,3,3,-0.0110301640767583,-0.0159820120087178,0.706692771983821,0.701191332191363,0.654366893705338,0.046824438486025,0.0667784046041888
"13","ratio_quantity.M2L0M",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ratio_quantity.W2U3Z",2,5,5,5,5,5,-0.0169692741310158,-0.0272308462209944,0.520479116059822,0.640132946434848,0.574926587111622,0.0652063593232255,0.101863776402051
"15","ratio_quantity.X2C4Y",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
