month,code,numerator,denominator
2024-10-01,00L,275.25092,341.043
2024-07-01,00L,157.28719999999998,339.934
2023-11-01,00L,266.55691,337.59800000000007
2022-12-01,00L,117.6463,335.12100000000004
2026-05-01,00L,87.8524,345.01599999999996
2021-12-01,00L,217.16578,332.994
2022-08-01,00L,170.94313999999997,334.232
2025-10-01,00L,276.86418,343.72900000000004
2021-10-01,00L,95.09262,332.816
2025-11-01,00L,146.6748,343.92400000000004
2022-05-01,00L,303.98479,333.508
2025-06-01,00L,245.44310000000002,342.463
2024-02-01,00L,219.57583,338.33299999999997
2025-04-01,00L,213.99908000000002,341.8989999999999
2022-06-01,00L,152.5888,333.64000000000004
2024-09-01,00L,127.68719999999999,340.837
2023-07-01,00L,129.89637,336.464
2022-09-01,00L,164.98946,334.575
2023-09-01,00L,141.56254,337.17400000000004
2021-08-01,00L,275.33669,332.39300000000003
2025-07-01,00L,178.1372,342.70500000000004
2022-01-01,00L,280.20079,333.05000000000007
2021-06-01,00L,86.81390999999999,331.626
2022-02-01,00L,183.89104,333.16300000000007
2025-01-01,00L,338.19689999999997,341.5370000000001
2023-12-01,00L,219.09515,337.82399999999996
2025-12-01,00L,245.43282,344.04300000000006
2026-02-01,00L,146.6748,344.3920000000001
2024-05-01,00L,94.3748,339.42900000000003
2024-03-01,00L,29.60624,338.532
2024-11-01,00L,170.10719999999998,341.329
2024-08-01,00L,176.5172,340.36099999999993
2024-04-01,00L,103.01840999999999,338.729
2025-03-01,00L,161.68477000000001,341.8359999999999
2025-05-01,00L,119.3148,342.13900000000007
2023-03-01,00L,318.91232,335.54600000000005
2023-01-01,00L,141.84814,335.14500000000004
2026-03-01,00L,252.16199999999998,344.60399999999987
2024-01-01,00L,237.23514999999998,338.041
2023-05-01,00L,225.48428,336.00299999999993
2022-10-01,00L,158.83954,334.68500000000006
2022-11-01,00L,376.91292,334.9600000000001
2024-12-01,00L,315.1744,341.423
2025-09-01,00L,340.172,343.58200000000005
2022-03-01,00L,312.23024999999996,333.25200000000007
2022-04-01,00L,123.18105,333.346
2023-10-01,00L,318.70011000000005,337.246
2023-06-01,00L,130.45759,336.178
2021-09-01,00L,275.04573,332.71799999999996
2021-11-01,00L,218.4126,332.846
2024-06-01,00L,127.68719999999999,339.63000000000005
2026-01-01,00L,209.5996,344.235
2025-02-01,00L,295.832,341.74600000000004
2023-04-01,00L,160.12715,335.87600000000003
2022-07-01,00L,183.66286,333.92799999999994
2021-07-01,00L,418.31804999999997,332.09000000000003
2023-08-01,00L,200.72521,336.76199999999994
2026-04-01,00L,155.15195,344.83699999999993
2023-02-01,00L,171.47639999999998,335.363
2025-08-01,00L,224.75781,343.192
2023-02-01,00N,71.00908,159.109
2022-02-01,00N,32.18021,158.757
2024-07-01,00N,151.4648,160.01099999999997
2025-06-01,00N,151.4648,159.684
2023-10-01,00N,141.88051,159.65800000000002
2024-04-01,00N,189.3372,159.837
2021-11-01,00N,32.06117,158.679
2023-01-01,00N,141.91072,159.12199999999999
2025-12-01,00N,151.4648,159.47299999999998
2025-04-01,00N,151.4648,159.81999999999996
2022-08-01,00N,35.39415,158.96300000000002
2024-12-01,00N,189.3372,159.92999999999995
2023-12-01,00N,35.60953,159.79299999999998
2022-04-01,00N,32.1629,158.82699999999997
2024-01-01,00N,178.48264999999998,159.854
2022-10-01,00N,35.36682,159.12099999999995
2022-12-01,00N,70.81462,159.177
2026-03-01,00N,189.3372,159.097
2021-06-01,00N,64.0178,158.615
2022-05-01,00N,64.31242,158.79500000000002
2022-03-01,00N,32.14475,158.81899999999996
2023-09-01,00N,70.83098,159.605
2024-09-01,00N,151.4648,159.98899999999998
2022-11-01,00N,70.81994,159.17599999999996
2021-12-01,00N,32.08603,158.71299999999997
2021-08-01,00N,32.07889,158.71399999999997
2024-03-01,00N,71.27586,159.841
2021-09-01,00N,32.04644,158.766
2023-08-01,00N,141.86328,159.49499999999998
2023-04-01,00N,35.6507,159.17300000000003
2024-11-01,00N,43.9324,159.88799999999998
2022-06-01,00N,64.3122,158.89199999999997
2021-07-01,00N,32.05344,158.73099999999997
2022-01-01,00N,32.15656,158.713
2025-09-01,00N,189.3372,159.6
2023-05-01,00N,178.29953,159.16800000000003
2022-09-01,00N,70.79874,159.03099999999998
2021-10-01,00N,32.03093,158.75499999999997
2022-07-01,00N,96.42084,158.91800000000003
2024-02-01,00N,71.3753,159.92900000000003
2025-11-01,00P,233.2572,295.684
2022-06-01,00P,160.74329,286.853
2026-02-01,00P,43.9324,295.24799999999993
2022-03-01,00P,192.83132,286.16
2024-04-01,00P,265.06960000000004,294.3539999999999
2025-06-01,00P,151.4524,295.37999999999994
2023-09-01,00P,35.41549,291.15400000000005
2025-07-01,00P,81.8048,295.3230000000001
2025-08-01,00P,151.4524,295.2989999999999
2023-03-01,00P,71.00266,289.761
2022-10-01,00P,35.36682,287.51500000000004
2025-02-01,00P,119.6772,295.519
2025-03-01,00P,189.3248,295.479
2021-09-01,00P,160.19501,284.68700000000007
2026-05-01,00P,151.4524,294.961
2022-12-01,00P,35.40731,288.86400000000003
2022-07-01,00P,152.19926,286.8690000000001
2021-07-01,00P,151.7882,284.68999999999994
2023-05-01,00P,209.29646,290.22399999999993
2025-09-01,00P,81.8048,295.229
2025-12-01,00P,81.8048,295.60600000000005
2022-08-01,00P,243.09,286.982
2023-07-01,00P,177.36097,290.57300000000004
2022-04-01,00P,160.7773,286.63800000000003
2023-10-01,00P,248.29709,291.58500000000004
2021-12-01,00P,160.39297,285.70699999999994
2023-02-01,00P,212.99003,289.3890000000001
2024-01-01,00P,35.70149,293.52200000000005
2025-05-01,00P,43.9324,295.413
2023-08-01,00P,70.94404,290.91800000000006
2022-11-01,00P,177.01265,288.0969999999999
2023-06-01,00P,178.15671,290.3810000000001
2024-07-01,00P,227.1972,294.92
2024-12-01,00P,277.18960000000004,295.61499999999995
2022-02-01,00P,160.86383999999998,286.0049999999999
2024-03-01,00P,35.63793,294.15900000000005
2024-02-01,00P,225.99564999999998,293.932
2026-01-01,00P,189.3248,295.43499999999995
2021-08-01,00P,288.63563,284.67999999999995
2022-09-01,00P,70.79874,287.164
2025-04-01,00P,43.9324,295.45899999999995
2023-01-01,00P,141.92311999999998,289.3610000000001
2023-11-01,00P,106.75287,292.445
2026-03-01,00P,43.9324,295.064
2021-11-01,00P,160.26864,285.2479999999999
2023-04-01,00P,71.3014,290.14000000000004
2024-09-01,00P,227.1972,295.09099999999995
2021-06-01,00P,160.0073,284.451
2023-12-01,00P,213.62000999999998,293.129
2022-05-01,00P,225.05628,286.85499999999996
2023-05-01,00Q,35.66487,183.187
2024-02-01,00Q,107.03815,185.64199999999997
2023-02-01,00Q,106.48882,182.58799999999997
2024-12-01,00Q,113.5924,187.66199999999998
2022-03-01,00Q,96.40946,181.24199999999996
2026-04-01,00Q,113.5924,188.34400000000002
2023-10-01,00Q,106.40418,184.39300000000003
2023-12-01,00Q,35.60953,185.13
2021-10-01,00T,96.06799,318.6429999999999
2025-05-01,00T,43.9324,334.11099999999993
2021-08-01,00T,96.21188,318.181
2022-09-01,00T,8.36562,321.76599999999996
2025-06-01,00T,43.9324,334.366
2022-01-01,00T,96.44488,319.37299999999993
2021-06-01,00T,96.0019,317.644
2021-12-01,00T,96.2333,319.027
2021-09-01,00T,96.11453,318.67300000000006
2025-04-01,00T,43.9324,333.8860000000001
2022-02-01,00T,96.51582,319.58099999999996
2025-07-01,00T,43.9324,334.46999999999986
2021-12-01,00V,59.98443,208.399
2021-08-01,00V,156.19538,208.15499999999997
2022-03-01,00V,124.37115,208.676
2021-11-01,00V,124.04794000000001,208.24499999999998
2022-06-01,00V,124.41502,209.17200000000003
2023-09-01,00V,207.83346,210.53
2023-04-01,00V,137.92434,209.71700000000004
2022-07-01,00V,184.43954,209.20899999999997
2023-06-01,00V,137.86867999999998,209.974
2023-11-01,00V,279.97992999999997,210.68299999999996
2025-10-01,00V,227.1724,212.62999999999997
2022-04-01,00V,124.44132,208.87499999999997
2022-12-01,00V,136.98327,209.40500000000003
2026-05-01,00V,113.5924,211.638
2022-01-01,00V,124.4168,208.532
2023-05-01,00V,137.97912,209.89400000000003
2026-03-01,00V,113.5924,211.806
2024-01-01,00V,209.51132,211.05900000000003
2022-08-01,00V,136.93236,209.35
2023-10-01,00V,203.55996,210.50300000000001
2023-03-01,00V,203.70329,209.699
2024-10-01,00V,151.4648,212.36300000000003
2024-03-01,00V,142.52691,211.58600000000004
2023-12-01,00V,66.5585,210.857
2022-05-01,00V,220.87168000000003,209.01200000000003
2025-03-01,00V,113.6048,212.721
2025-11-01,00V,227.1724,212.584
2022-09-01,00V,207.73889,209.43100000000004
2022-02-01,00V,184.66845,208.62699999999998
2021-06-01,00V,155.85474,207.89999999999998
2026-01-01,00V,113.5924,212.231
2023-02-01,00V,137.3592,209.63400000000001
2023-01-01,00V,137.27931999999998,209.535
2021-09-01,00V,256.88862,208.284
2022-10-01,00V,202.93213,209.404
2025-08-01,00V,302.9048,212.76600000000002
2022-11-01,00V,207.80108,209.325
2023-07-01,00V,137.2629,210.136
