"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.97R",2,7,7,7,7,7,-0.0758698122060046,-0.0476190066286371,0.536304472747513,1.66913724001451,0.537394865130777,1.13174237488373,0.678040335900656
"2","ratio_quantity.99A",2,9,9,9,9,9,-0.0715483717724541,-0.105995788225334,0.55495217137614,0.746559831853782,0.101924352772474,0.644635479081308,0.863474636025641
"3","ratio_quantity.99C",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ratio_quantity.99E",2,12,12,12,12,12,-0.25826121535031,-0.191244156426335,0.524140666312595,1.60868791688349,0.130489990548854,1.47819792633463,0.91888421043054
"5","ratio_quantity.99F",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ratio_quantity.99G",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ratio_quantity.A3A8R",2,6,6,6,6,6,-0.169019814908983,-0.0914410864378794,0.531024473185078,2.01742102593141,0.744260759737245,1.27316026619417,0.631083075783037
"8","ratio_quantity.B2M3M",1,10,10,10,10,10,-0.00497413893248628,-0.0131177196926579,0.519230769230769,0.384166487071343,0.125511262582057,0.258655224489287,0.673289402365938
"9","ratio_quantity.D2P2L",2,12,12,12,12,12,-0.276205633858891,-0.627210286724876,0.78352026416465,0.716577291825732,0.364058478348243,0.352518813477489,0.491948066871229
"10","ratio_quantity.D4U1Y",15,2,2,3,3,11,-0.604603354240238,-0.847837340898785,0.573682254428256,1.29716685652474,0.243267507933606,1.05389934859114,0.812462439423293
"11","ratio_quantity.D9Y0V",2,11,11,11,11,11,-0.258080732268525,-0.195203741807667,0.747202483377613,1.58019028753929,0.544002354509772,1.03618793302952,0.655736173801635
"12","ratio_quantity.M1J4Y",15,2,2,2,2,4,-1.68357862787477,-0.786399538499136,2.47390799722756,1.35614769659845,0.675613646924209,0.680534049674245,0.50181411020436
"13","ratio_quantity.M2L0M",2,12,12,12,12,12,-1.08141807959839,-1.5083656156097,1.74736452153543,1.79836499777728,1.17947977590719,0.618885221870089,0.344137715444313
"14","ratio_quantity.W2U3Z",2,9,9,9,9,9,-0.155694398331843,-0.0720102203122331,0.541371099105205,2.31780968775546,1.16743872344519,1.15037096431028,0.496318127578577
"15","ratio_quantity.X2C4Y",4,12,12,12,12,17,-0.641786616423341,-0.606776464616634,0.624516008127762,1.3078133395503,0.280158951078572,1.02765438847173,0.785780628927591
